contract_id,segment,booked_month,term_months,acv,tcv,billing
K00053,enterprise,2024-03,24,360703.41,721406.82,quarterly
K00054,mid_market,2024-03,12,48662.99,48662.99,quarterly
K00055,enterprise,2024-03,12,94098.34,94098.34,annual
K00056,mid_market,2024-04,12,56011.75,56011.75,annual
K00057,smb,2024-04,12,12477.52,12477.52,monthly
K00058,smb,2024-04,12,9388.62,9388.62,monthly
K00059,mid_market,2024-04,12,18137.77,18137.77,annual
K00060,smb,2024-04,12,17329.28,17329.28,monthly
K00061,mid_market,2024-04,24,18421.03,36842.06,annual
K00062,mid_market,2024-04,24,73378.16,146756.32,annual
K00063,enterprise,2024-04,24,134658.94,269317.88,annual
K00064,enterprise,2024-04,36,320217.9,960653.7,annual
K00065,mid_market,2024-04,24,53226.39,106452.78,quarterly
K00066,mid_market,2024-04,12,39994.2,39994.2,annual
K00067,mid_market,2024-04,24,65896.83,131793.66,annual
K00068,mid_market,2024-04,24,35749.33,71498.66,annual
K00069,smb,2024-04,12,13199.81,13199.81,annual
K00070,mid_market,2024-04,24,69792.37,139584.74,monthly
K00071,mid_market,2024-05,24,23136.44,46272.88,annual
K00072,smb,2024-05,12,11287.36,11287.36,monthly
K00073,mid_market,2024-05,24,28584.01,57168.02,annual
K00074,enterprise,2024-05,24,254302.84,508605.68,annual
K00075,smb,2024-05,12,16820.52,16820.52,monthly
K00076,enterprise,2024-05,12,123701.74,123701.74,annual
K00077,smb,2024-05,12,12109.69,12109.69,quarterly
K00078,smb,2024-05,12,10949.25,10949.25,monthly
K00079,smb,2024-05,12,3773.89,3773.89,annual
K00080,mid_market,2024-05,24,26973.01,53946.02,monthly
K00081,smb,2024-05,12,15514.11,15514.11,monthly
K00082,smb,2024-05,12,10394.54,10394.54,quarterly
K00083,enterprise,2024-05,36,361649.01,1084947.03,quarterly
K00084,smb,2024-05,12,9291.1,9291.1,annual
K00085,smb,2024-05,12,11962.38,11962.38,monthly
K00086,smb,2024-06,12,3131.42,3131.42,annual
K00087,smb,2024-06,12,3743.92,3743.92,quarterly
K00088,mid_market,2024-06,12,35936.78,35936.78,quarterly
K00089,smb,2024-06,12,9286.44,9286.44,annual
K00090,mid_market,2024-06,24,23816.82,47633.64,annual
K00091,mid_market,2024-06,24,66430.11,132860.22,annual
K00092,enterprise,2024-06,12,88496.86,88496.86,annual
K00093,mid_market,2024-06,12,40175.47,40175.47,annual
K00094,enterprise,2024-06,24,95775.27,191550.54,annual
K00095,smb,2024-06,12,12169.31,12169.31,monthly
K00096,smb,2024-06,12,8611.83,8611.83,monthly
K00097,enterprise,2024-06,36,397138.4,1191415.2,quarterly
K00098,smb,2024-06,12,5225.12,5225.12,monthly
K00099,smb,2024-06,12,17630.56,17630.56,monthly
K00100,enterprise,2024-06,12,115948.22,115948.22,annual
K00101,mid_market,2024-06,12,69025.97,69025.97,monthly
K00102,mid_market,2024-07,24,53902.94,107805.88,annual
K00103,mid_market,2024-07,24,47916.2,95832.4,monthly
K00104,enterprise,2024-07,12,266799.18,266799.18,annual
K00105,mid_market,2024-07,12,40613.64,40613.64,annual
K00106,smb,2024-07,12,13097.45,13097.45,monthly
K00107,mid_market,2024-07,12,40391.44,40391.44,annual
K00108,smb,2024-07,12,17796.64,17796.64,annual
K00109,mid_market,2024-07,24,23172.11,46344.22,quarterly
K00110,mid_market,2024-07,24,47539.22,95078.44,annual
K00111,mid_market,2024-07,12,35696.04,35696.04,annual
K00112,smb,2024-07,12,15084.91,15084.91,quarterly
K00113,mid_market,2024-07,24,53340.51,106681.02,quarterly
K00114,enterprise,2024-07,12,101491.8,101491.8,annual
K00115,mid_market,2024-07,12,77009.32,77009.32,quarterly
K00116,smb,2024-07,12,14287.43,14287.43,quarterly
K00117,mid_market,2024-07,24,65623.21,131246.42,annual
K00118,smb,2024-07,12,8451.68,8451.68,monthly
K00119,smb,2024-07,12,6361.57,6361.57,annual
K00120,mid_market,2024-07,24,32626.88,65253.76,annual
K00121,mid_market,2024-07,12,78526.25,78526.25,annual
K00122,mid_market,2024-07,12,46511.53,46511.53,annual
K00123,smb,2024-07,12,6737.72,6737.72,monthly
K00124,mid_market,2024-07,24,40480.03,80960.06,annual
K00125,smb,2024-07,12,9661.09,9661.09,monthly
K00126,mid_market,2024-07,12,38683.29,38683.29,annual
K00127,enterprise,2024-07,36,183229.62,549688.86,annual
K00128,enterprise,2024-08,24,362252.76,724505.52,annual
K00129,smb,2024-08,12,9405.37,9405.37,monthly
K00130,mid_market,2024-08,24,72754.08,145508.16,annual
K00131,smb,2024-08,12,12707.18,12707.18,monthly
K00132,smb,2024-08,12,8566.84,8566.84,annual
K00133,enterprise,2024-08,36,230898.54,692695.62,annual
K00134,mid_market,2024-08,24,41766.47,83532.94,quarterly
K00135,mid_market,2024-08,24,62082.88,124165.76,quarterly
K00136,smb,2024-08,12,10158.7,10158.7,quarterly
K00137,enterprise,2024-08,12,136831.36,136831.36,annual
K00138,enterprise,2024-08,36,166994.45,500983.35,annual
K00139,enterprise,2024-08,12,316694.22,316694.22,quarterly
K00140,smb,2024-08,12,8804.06,8804.06,monthly
K00141,mid_market,2024-08,12,27340.11,27340.11,quarterly
K00142,smb,2024-08,12,15197.83,15197.83,quarterly
K00143,mid_market,2024-08,24,19347.79,38695.58,annual
K00144,enterprise,2024-08,36,245570.37,736711.11,annual
K00145,mid_market,2024-08,12,64946.43,64946.43,annual
K00146,mid_market,2024-08,24,20076.77,40153.54,annual
K00147,mid_market,2024-08,24,75234.18,150468.36,monthly
K00148,mid_market,2024-08,12,47886.12,47886.12,annual
K00149,smb,2024-08,12,5184.53,5184.53,monthly
K00150,smb,2024-08,12,12591.22,12591.22,monthly
K00151,mid_market,2024-08,24,75950.91,151901.82,annual
K00152,mid_market,2024-08,24,63411.05,126822.1,annual
K00153,smb,2024-08,12,10526.02,10526.02,monthly
K00154,mid_market,2024-08,24,58686.46,117372.92,annual
K00155,enterprise,2024-09,12,395335.63,395335.63,annual
K00156,smb,2024-09,12,6947.81,6947.81,annual
K00157,mid_market,2024-09,24,35102.55,70205.1,annual
K00158,mid_market,2024-09,12,34658.27,34658.27,quarterly
K00159,smb,2024-09,12,13727.54,13727.54,quarterly
K00160,smb,2024-09,12,14462.11,14462.11,monthly
K00161,mid_market,2024-09,24,68711.14,137422.28,annual
K00162,smb,2024-09,12,3695.63,3695.63,monthly
K00163,smb,2024-09,12,14448.13,14448.13,monthly
K00164,mid_market,2024-09,12,48097.64,48097.64,monthly
K00165,mid_market,2024-09,12,45321.62,45321.62,monthly
K00166,mid_market,2024-09,24,19526.11,39052.22,annual
K00167,mid_market,2024-09,12,45342.77,45342.77,monthly
K00168,smb,2024-09,12,3477.59,3477.59,quarterly
K00169,smb,2024-09,12,10876.59,10876.59,monthly
K00170,mid_market,2024-09,12,42689.27,42689.27,annual
K00171,smb,2024-09,12,8307.58,8307.58,monthly
K00172,smb,2024-09,12,15484.35,15484.35,annual
K00173,enterprise,2024-09,24,210769.0,421538.0,annual
K00174,smb,2024-09,12,9585.33,9585.33,monthly
K00175,mid_market,2024-09,12,52220.64,52220.64,quarterly
K00176,smb,2024-09,12,11308.25,11308.25,annual
K00177,enterprise,2024-09,24,116672.72,233345.44,annual
K00178,mid_market,2024-09,24,62875.02,125750.04,monthly
K00179,mid_market,2024-10,24,36085.8,72171.6,monthly
K00180,smb,2024-10,12,17903.89,17903.89,quarterly
K00181,smb,2024-10,12,16224.95,16224.95,annual
K00182,enterprise,2024-10,24,373977.0,747954.0,annual
K00183,mid_market,2024-10,24,22272.51,44545.02,annual
K00184,smb,2024-10,12,3430.54,3430.54,monthly
K00185,smb,2024-10,12,3931.32,3931.32,annual
K00186,mid_market,2024-10,12,39332.93,39332.93,annual
K00187,smb,2024-10,12,17887.34,17887.34,quarterly
K00188,mid_market,2024-10,24,33311.03,66622.06,annual
K00189,enterprise,2024-10,36,329243.24,987729.72,monthly
K00190,smb,2024-10,12,15197.21,15197.21,annual
K00191,enterprise,2024-10,24,231405.05,462810.1,annual
K00192,mid_market,2024-10,12,20544.04,20544.04,annual
K00193,smb,2024-10,12,4744.46,4744.46,monthly
K00194,enterprise,2024-10,36,172870.0,518610.0,annual
K00195,smb,2024-10,12,10644.63,10644.63,monthly
K00196,mid_market,2024-10,24,62167.79,124335.58,annual
K00197,enterprise,2024-10,36,117623.4,352870.2,annual
K00198,smb,2024-10,12,4450.01,4450.01,annual
K00199,mid_market,2024-10,12,38101.05,38101.05,annual
K00200,smb,2024-10,12,13665.54,13665.54,quarterly
K00201,smb,2024-10,12,11259.34,11259.34,annual
K00202,mid_market,2024-10,12,69426.89,69426.89,monthly
K00203,smb,2024-10,12,13009.15,13009.15,monthly
K00204,mid_market,2024-10,12,46713.62,46713.62,monthly
K00205,smb,2024-10,12,16377.02,16377.02,monthly
K00206,smb,2024-10,12,15530.51,15530.51,annual
K00207,mid_market,2024-10,12,74874.93,74874.93,annual
K00208,mid_market,2024-10,24,53425.46,106850.92,quarterly
K00209,smb,2024-10,12,16901.78,16901.78,annual
K00210,mid_market,2024-11,12,22340.06,22340.06,monthly
K00211,smb,2024-11,12,12500.09,12500.09,monthly
K00212,smb,2024-11,12,15787.08,15787.08,annual
K00213,mid_market,2024-11,24,23807.13,47614.26,monthly
K00214,smb,2024-11,12,9664.75,9664.75,monthly
K00215,smb,2024-11,12,10609.74,10609.74,monthly
K00216,smb,2024-11,12,6597.81,6597.81,annual
K00217,enterprise,2024-11,36,214038.86,642116.58,monthly
K00218,smb,2024-11,12,15838.43,15838.43,annual
K00219,smb,2024-11,12,9269.45,9269.45,monthly
K00220,smb,2024-11,12,6002.56,6002.56,monthly
K00221,mid_market,2024-11,12,53677.23,53677.23,annual
K00222,smb,2024-11,12,7896.27,7896.27,monthly
K00223,smb,2024-11,12,3254.69,3254.69,monthly
K00224,enterprise,2024-11,12,339571.52,339571.52,annual
K00225,smb,2024-11,12,4427.89,4427.89,quarterly
K00226,mid_market,2024-11,12,51664.84,51664.84,annual
K00227,mid_market,2024-11,12,30547.52,30547.52,quarterly
K00228,smb,2024-11,12,3830.8,3830.8,monthly
K00229,enterprise,2024-11,24,363689.83,727379.66,annual
K00230,smb,2024-11,12,8134.08,8134.08,quarterly
K00231,smb,2024-11,12,13745.09,13745.09,quarterly
K00232,enterprise,2024-11,36,239844.58,719533.74,annual
K00233,smb,2024-11,12,17329.88,17329.88,annual
K00234,smb,2024-11,12,12922.87,12922.87,monthly
K00235,smb,2024-11,12,13458.54,13458.54,annual
K00236,smb,2024-11,12,6115.77,6115.77,monthly
K00237,smb,2024-11,12,11095.98,11095.98,annual
K00238,mid_market,2024-11,12,62125.51,62125.51,monthly
K00239,enterprise,2024-12,24,353006.99,706013.98,annual
K00240,mid_market,2024-12,12,29905.28,29905.28,quarterly
K00241,smb,2024-12,12,12384.42,12384.42,monthly
K00242,mid_market,2024-12,24,42279.24,84558.48,annual
K00243,enterprise,2024-12,36,122256.38,366769.14,quarterly
K00244,mid_market,2024-12,24,77716.35,155432.7,annual
K00245,mid_market,2024-12,12,59168.38,59168.38,monthly
K00246,mid_market,2024-12,24,42292.98,84585.96,annual
K00247,enterprise,2024-12,24,157148.54,314297.08,annual
K00248,mid_market,2024-12,24,49346.37,98692.74,monthly
K00249,mid_market,2024-12,24,48632.54,97265.08,monthly
K00250,enterprise,2024-12,36,233915.84,701747.52,quarterly
K00251,enterprise,2024-12,24,157956.92,315913.84,annual
K00252,smb,2024-12,12,14788.33,14788.33,annual
K00253,smb,2024-12,12,17850.26,17850.26,monthly
K00254,smb,2024-12,12,3225.71,3225.71,annual
K00255,smb,2024-12,12,10572.71,10572.71,annual
K00256,smb,2024-12,12,5496.44,5496.44,monthly
K00257,mid_market,2024-12,12,21371.53,21371.53,annual
K00258,smb,2024-12,12,5020.7,5020.7,monthly
K00259,mid_market,2024-12,24,25571.37,51142.74,annual
K00260,smb,2024-12,12,11212.62,11212.62,quarterly
K00261,smb,2024-12,12,8113.39,8113.39,monthly
K00262,smb,2024-12,12,3274.35,3274.35,quarterly
K00263,mid_market,2024-12,12,44557.96,44557.96,quarterly
K00264,smb,2024-12,12,7104.14,7104.14,quarterly
K00265,mid_market,2024-12,24,33627.48,67254.96,annual
K00266,mid_market,2025-01,12,65933.4,65933.4,annual
K00267,smb,2025-01,12,15664.06,15664.06,annual
K00268,smb,2025-01,12,15634.83,15634.83,monthly
K00269,mid_market,2025-01,12,54085.44,54085.44,annual
K00270,smb,2025-01,12,13049.12,13049.12,monthly
K00271,mid_market,2025-01,24,28736.79,57473.58,quarterly
K00272,mid_market,2025-01,12,66214.88,66214.88,annual
K00273,smb,2025-01,12,17568.72,17568.72,annual
K00274,mid_market,2025-01,24,24212.83,48425.66,annual
K00275,mid_market,2025-01,24,71905.4,143810.8,annual
K00276,smb,2025-01,12,7165.62,7165.62,monthly
K00277,mid_market,2025-01,12,75864.66,75864.66,quarterly
K00278,smb,2025-01,12,13457.34,13457.34,monthly
K00279,mid_market,2025-01,24,54973.45,109946.9,annual
K00280,mid_market,2025-01,12,76652.2,76652.2,annual
K00281,enterprise,2025-01,36,228245.17,684735.51,annual
K00282,mid_market,2025-01,12,31264.8,31264.8,annual
K00283,smb,2025-01,12,8604.34,8604.34,monthly
K00284,smb,2025-01,12,15405.18,15405.18,monthly
K00285,mid_market,2025-01,24,36548.69,73097.38,annual
K00286,smb,2025-01,12,4839.88,4839.88,annual
K00287,mid_market,2025-01,12,55570.77,55570.77,annual
K00288,mid_market,2025-01,24,30007.21,60014.42,annual
K00289,smb,2025-02,12,5627.24,5627.24,monthly
K00290,smb,2025-02,12,14036.43,14036.43,annual
K00291,smb,2025-02,12,7831.1,7831.1,annual
K00292,smb,2025-02,12,16721.81,16721.81,monthly
K00293,mid_market,2025-02,24,21094.18,42188.36,annual
K00294,mid_market,2025-02,24,66518.15,133036.3,annual
K00295,smb,2025-02,12,3578.23,3578.23,monthly
K00296,enterprise,2025-02,36,361227.6,1083682.8,annual
K00297,mid_market,2025-02,24,57840.77,115681.54,quarterly
K00298,smb,2025-02,12,9064.0,9064.0,monthly
K00299,enterprise,2025-02,24,283173.63,566347.26,annual
K00300,mid_market,2025-02,12,72431.38,72431.38,monthly
K00301,mid_market,2025-02,12,23376.02,23376.02,annual
K00302,smb,2025-02,12,12010.84,12010.84,quarterly
K00303,mid_market,2025-02,24,58154.93,116309.86,annual
K00304,enterprise,2025-02,24,131710.87,263421.74,annual
K00305,smb,2025-02,12,14381.85,14381.85,monthly
K00306,enterprise,2025-02,36,395617.89,1186853.67,annual
K00307,smb,2025-02,12,15096.2,15096.2,monthly
K00308,smb,2025-02,12,12272.05,12272.05,quarterly
K00309,mid_market,2025-02,24,33471.99,66943.98,annual
K00310,mid_market,2025-02,12,76976.12,76976.12,monthly
K00311,mid_market,2025-02,24,48190.02,96380.04,monthly
K00312,smb,2025-02,12,6620.18,6620.18,annual
K00313,smb,2025-02,12,6583.03,6583.03,annual
K00314,enterprise,2025-02,36,317474.23,952422.69,annual
K00315,enterprise,2025-02,24,217202.66,434405.32,annual
K00316,enterprise,2025-02,36,266333.46,799000.38,annual
K00317,mid_market,2025-02,24,43415.27,86830.54,annual
K00318,smb,2025-02,12,17103.13,17103.13,monthly
K00319,mid_market,2025-02,24,70552.96,141105.92,annual
K00320,enterprise,2025-03,36,264239.76,792719.28,annual
K00321,mid_market,2025-03,12,29314.86,29314.86,quarterly
K00322,mid_market,2025-03,24,70066.89,140133.78,monthly
K00323,enterprise,2025-03,12,243198.7,243198.7,annual
K00324,smb,2025-03,12,8264.01,8264.01,monthly
K00325,mid_market,2025-03,24,18590.43,37180.86,annual
K00326,mid_market,2025-03,24,72362.88,144725.76,annual
K00327,enterprise,2025-03,12,204378.21,204378.21,monthly
K00328,mid_market,2025-03,12,66960.12,66960.12,annual
K00329,smb,2025-03,12,6878.23,6878.23,annual
K00330,mid_market,2025-03,12,51110.14,51110.14,annual
K00331,mid_market,2025-03,24,38294.87,76589.74,monthly
K00332,mid_market,2025-03,12,56111.75,56111.75,quarterly
K00333,mid_market,2025-03,24,21486.83,42973.66,quarterly
K00334,mid_market,2025-03,12,71663.61,71663.61,quarterly
K00335,smb,2025-03,12,7236.5,7236.5,monthly
K00336,mid_market,2025-03,24,40271.05,80542.1,annual
K00337,mid_market,2025-03,24,25003.27,50006.54,quarterly
K00338,mid_market,2025-03,12,57810.84,57810.84,annual
K00339,mid_market,2025-03,24,57500.4,115000.8,annual
K00340,smb,2025-03,12,17475.67,17475.67,monthly
K00341,enterprise,2025-03,24,228699.94,457399.88,annual
K00342,mid_market,2025-03,24,75205.47,150410.94,monthly
K00343,smb,2025-03,12,16948.08,16948.08,quarterly
K00344,mid_market,2025-03,12,68214.2,68214.2,annual
K00345,enterprise,2025-03,36,285535.26,856605.78,monthly
K00346,smb,2025-03,12,12094.33,12094.33,annual
K00347,mid_market,2025-03,24,36332.01,72664.02,monthly
K00348,smb,2025-03,12,16824.2,16824.2,annual
K00349,smb,2025-03,12,10556.96,10556.96,monthly
K00350,smb,2025-03,12,6073.36,6073.36,monthly
K00351,enterprise,2025-03,36,318893.46,956680.38,annual
K00352,mid_market,2025-03,12,55545.51,55545.51,quarterly
K00353,enterprise,2025-03,36,94601.48,283804.44,quarterly
K00354,smb,2025-04,12,8484.99,8484.99,monthly
K00355,mid_market,2025-04,24,61896.7,123793.4,annual
K00356,smb,2025-04,12,6340.63,6340.63,annual
K00357,mid_market,2025-04,12,31697.01,31697.01,annual
K00358,mid_market,2025-04,24,68716.32,137432.64,quarterly
K00359,smb,2025-04,12,4954.07,4954.07,monthly
K00360,smb,2025-04,12,10366.52,10366.52,monthly
K00361,mid_market,2025-04,12,77923.99,77923.99,quarterly
K00362,smb,2025-04,12,14355.84,14355.84,monthly
K00363,mid_market,2025-04,24,31958.19,63916.38,annual
K00364,mid_market,2025-04,24,78222.63,156445.26,quarterly
K00365,mid_market,2025-04,12,51766.3,51766.3,monthly
K00366,enterprise,2025-04,12,121621.3,121621.3,monthly
K00367,mid_market,2025-04,12,38926.06,38926.06,annual
K00368,enterprise,2025-04,36,191856.21,575568.63,annual
K00369,mid_market,2025-04,24,35217.45,70434.9,quarterly
K00370,mid_market,2025-04,12,76353.28,76353.28,quarterly
K00371,smb,2025-04,12,4658.51,4658.51,monthly
K00372,enterprise,2025-04,24,87955.8,175911.6,monthly
K00373,smb,2025-04,12,6744.57,6744.57,quarterly
K00374,enterprise,2025-04,24,361210.07,722420.14,annual
K00375,mid_market,2025-05,12,78494.75,78494.75,quarterly
K00376,mid_market,2025-05,12,19032.55,19032.55,annual
K00377,mid_market,2025-05,12,18557.67,18557.67,annual
K00378,mid_market,2025-05,12,71820.96,71820.96,annual
K00379,smb,2025-05,12,15671.43,15671.43,monthly
K00380,enterprise,2025-05,12,202851.65,202851.65,annual
K00381,mid_market,2025-05,12,44047.28,44047.28,annual
K00382,enterprise,2025-05,36,218534.25,655602.75,monthly
K00383,mid_market,2025-05,24,48822.57,97645.14,quarterly
K00384,mid_market,2025-05,12,79175.49,79175.49,monthly
K00385,mid_market,2025-05,24,33027.94,66055.88,monthly
K00386,smb,2025-05,12,10661.81,10661.81,annual
K00387,enterprise,2025-05,12,344943.06,344943.06,annual
K00388,mid_market,2025-05,24,48412.15,96824.3,annual
K00389,smb,2025-05,12,17214.01,17214.01,annual
K00390,enterprise,2025-05,12,353621.26,353621.26,annual
K00391,smb,2025-05,12,10645.93,10645.93,monthly
K00392,mid_market,2025-05,24,76971.61,153943.22,annual
K00393,smb,2025-05,12,14938.05,14938.05,monthly
K00394,mid_market,2025-05,12,35857.83,35857.83,annual
K00395,mid_market,2025-05,24,38760.6,77521.2,monthly
K00396,enterprise,2025-05,24,118395.9,236791.8,annual
K00397,enterprise,2025-05,36,227558.7,682676.1,annual
K00398,mid_market,2025-05,12,21514.2,21514.2,annual
K00399,enterprise,2025-05,36,277827.27,833481.81,annual
K00400,smb,2025-05,12,13210.2,13210.2,monthly
K00401,smb,2025-05,12,14294.64,14294.64,monthly
K00402,enterprise,2025-06,12,150287.06,150287.06,annual
K00403,smb,2025-06,12,6567.2,6567.2,quarterly
K00404,smb,2025-06,12,12016.94,12016.94,quarterly
K00405,smb,2025-06,12,6200.39,6200.39,monthly
K00406,mid_market,2025-06,24,78734.16,157468.32,annual
K00407,mid_market,2025-06,24,28677.57,57355.14,annual
K00408,enterprise,2025-06,12,364604.53,364604.53,annual
K00409,smb,2025-06,12,14569.93,14569.93,monthly
K00410,smb,2025-06,12,5068.75,5068.75,monthly
K00411,mid_market,2025-06,24,19756.31,39512.62,monthly
K00412,mid_market,2025-06,12,39419.6,39419.6,annual
K00413,mid_market,2025-06,24,46702.08,93404.16,annual
K00414,smb,2025-06,12,3268.93,3268.93,quarterly
K00415,mid_market,2025-06,12,47719.23,47719.23,annual
K00416,mid_market,2025-06,12,23327.5,23327.5,monthly
K00417,smb,2025-06,12,6829.1,6829.1,monthly
K00418,smb,2025-06,12,9799.08,9799.08,monthly
K00419,mid_market,2025-06,24,29529.96,59059.92,quarterly
K00420,enterprise,2025-06,36,270852.72,812558.16,annual
K00421,mid_market,2025-06,24,69929.61,139859.22,monthly
K00422,smb,2025-06,12,11567.55,11567.55,monthly
K00423,enterprise,2025-06,12,359201.83,359201.83,annual
K00424,enterprise,2025-06,12,210786.43,210786.43,annual
K00425,smb,2025-06,12,12731.16,12731.16,annual
K00426,smb,2025-07,12,11024.82,11024.82,monthly
K00427,smb,2025-07,12,6474.08,6474.08,monthly
K00428,mid_market,2025-07,24,46461.59,92923.18,quarterly
K00429,smb,2025-07,12,3280.79,3280.79,monthly
K00430,smb,2025-07,12,4560.99,4560.99,quarterly
K00431,enterprise,2025-07,36,276713.19,830139.57,annual
K00432,mid_market,2025-07,12,72064.44,72064.44,quarterly
K00433,mid_market,2025-07,12,47701.15,47701.15,quarterly
K00434,mid_market,2025-07,24,21402.29,42804.58,annual
K00435,smb,2025-07,12,6254.98,6254.98,monthly
K00436,mid_market,2025-07,12,33074.65,33074.65,quarterly
K00437,mid_market,2025-07,24,62034.52,124069.04,annual
K00438,mid_market,2025-07,12,61493.77,61493.77,quarterly
K00439,smb,2025-07,12,11424.69,11424.69,monthly
K00440,smb,2025-07,12,8690.43,8690.43,quarterly
K00441,enterprise,2025-07,24,316976.26,633952.52,annual
K00442,smb,2025-07,12,10198.95,10198.95,annual
K00443,enterprise,2025-07,36,136026.93,408080.79,quarterly
K00444,mid_market,2025-07,24,75938.13,151876.26,quarterly
K00445,smb,2025-07,12,16669.9,16669.9,annual
K00446,smb,2025-07,12,14932.69,14932.69,quarterly
K00447,smb,2025-07,12,3607.17,3607.17,annual
K00448,smb,2025-07,12,3902.38,3902.38,quarterly
K00449,mid_market,2025-07,12,63396.89,63396.89,annual
K00450,smb,2025-07,12,14072.98,14072.98,monthly
K00451,enterprise,2025-07,12,136278.62,136278.62,annual
K00452,mid_market,2025-07,12,45816.65,45816.65,monthly
K00453,mid_market,2025-07,12,62360.56,62360.56,quarterly
K00454,smb,2025-07,12,3687.8,3687.8,annual
K00455,mid_market,2025-07,24,37904.01,75808.02,annual
K00456,smb,2025-07,12,7137.29,7137.29,annual
K00457,mid_market,2025-07,12,35299.76,35299.76,annual
K00458,mid_market,2025-07,12,41334.84,41334.84,quarterly
K00459,smb,2025-07,12,8673.75,8673.75,monthly
K00460,mid_market,2025-07,12,32263.11,32263.11,annual
K00461,enterprise,2025-07,24,137752.07,275504.14,annual
K00462,enterprise,2025-07,12,91302.12,91302.12,annual
K00463,mid_market,2025-07,24,56344.97,112689.94,quarterly
K00464,smb,2025-07,12,7273.94,7273.94,quarterly
K00465,smb,2025-07,12,8730.82,8730.82,quarterly
K00466,smb,2025-07,12,14543.56,14543.56,monthly
K00467,smb,2025-08,12,9593.79,9593.79,monthly
K00468,mid_market,2025-08,24,29504.59,59009.18,annual
K00469,smb,2025-08,12,9362.95,9362.95,annual
K00470,smb,2025-08,12,6572.79,6572.79,monthly
K00471,enterprise,2025-08,36,242427.59,727282.77,annual
K00472,smb,2025-08,12,17922.71,17922.71,monthly
K00473,mid_market,2025-08,24,26407.91,52815.82,annual
K00474,mid_market,2025-08,24,55426.01,110852.02,quarterly
K00475,mid_market,2025-08,24,24369.94,48739.88,quarterly
K00476,mid_market,2025-08,12,43576.52,43576.52,annual
K00477,smb,2025-08,12,17938.62,17938.62,monthly
K00478,smb,2025-08,12,13541.31,13541.31,monthly
K00479,mid_market,2025-08,24,51721.36,103442.72,quarterly
K00480,mid_market,2025-08,24,76427.6,152855.2,annual
K00481,smb,2025-08,12,4991.96,4991.96,monthly
K00482,enterprise,2025-08,24,205706.01,411412.02,annual
