txn_id,txn_date,rail,region,merchant_segment,gross_usd,revenue_usd,rewards_cost_usd,fraud_loss_usd,chargeback_loss_usd,processing_cost_usd,incentive_cost_usd
T0000057,2026-06-28,ecom_credit,apac,grocery_fuel,7.07,0.1268,0.0523,0.0,0.0,0.026,0.0078
T0000058,2026-06-01,ecom_credit,apac,enterprise_retail,270.79,4.1089,2.0038,0.0,0.0,0.026,0.2979
T0000059,2026-04-07,domestic_credit,europe,enterprise_retail,257.29,3.3133,1.8268,0.0,0.0,0.031,0.2316
T0000060,2026-05-23,domestic_credit,latam,enterprise_retail,101.51,1.3193,0.7207,0.0,0.0,0.031,0.0914
T0000061,2026-04-24,tap_to_pay,apac,digital_goods,8.26,0.1027,0.0289,0.0,0.0,0.024,0.005
T0000062,2026-04-03,tap_to_pay,north_america,grocery_fuel,8.36,0.1036,0.0293,0.0,0.0,0.024,0.005
T0000063,2026-04-30,ecom_credit,north_america,smb_retail,11.65,0.1959,0.0862,0.0,0.0,0.026,0.0128
T0000064,2026-06-04,ecom_credit,north_america,travel,395.9,5.9981,2.9297,0.0,0.0,0.026,0.4355
T0000065,2026-04-20,tap_to_pay,apac,travel,51.01,0.4789,0.1785,0.0,0.0,0.024,0.0306
T0000066,2026-04-03,domestic_debit,apac,restaurants,9.36,0.0937,0.0,0.0,0.0,0.028,0.0037
T0000067,2026-06-15,ecom_credit,europe,enterprise_retail,8.33,0.1458,0.0616,0.0,0.0,0.026,0.0092
T0000068,2026-06-26,cross_border,north_america,digital_goods,23.35,0.7228,0.1611,0.0,0.0,0.038,0.0304
T0000069,2026-05-22,domestic_debit,europe,digital_goods,6.28,0.0777,0.0,0.0,0.0,0.028,0.0025
T0000070,2026-05-31,domestic_credit,north_america,enterprise_retail,126.18,1.6351,0.8959,0.0,0.0,0.031,0.1136
T0000071,2026-04-10,cross_border,europe,digital_goods,54.8,1.6695,0.3781,0.0,0.0,0.038,0.0712
T0000072,2026-04-13,domestic_credit,north_america,enterprise_retail,35.83,0.4786,0.2544,0.0,0.0,0.031,0.0322
T0000073,2026-06-11,domestic_debit,europe,enterprise_retail,21.48,0.1567,0.0,0.0,0.0,0.028,0.0086
T0000074,2026-05-06,ecom_credit,europe,smb_retail,35.14,0.5506,0.26,0.0,0.0,0.026,0.0387
T0000075,2026-05-06,domestic_credit,north_america,restaurants,87.97,1.146,0.6246,0.0,0.0,0.031,0.0792
T0000076,2026-04-06,tap_to_pay,europe,smb_retail,5.89,0.0818,0.0206,0.0,0.0,0.024,0.0035
T0000077,2026-04-01,domestic_debit,north_america,enterprise_retail,118.0,0.6586,0.0,0.0,0.0,0.028,0.0472
T0000078,2026-04-22,domestic_debit,latam,enterprise_retail,8.5,0.0892,0.0,0.0,0.0,0.028,0.0034
T0000079,2026-06-15,domestic_credit,apac,enterprise_retail,16.12,0.2263,0.1145,0.0,0.0,0.031,0.0145
T0000080,2026-06-14,ecom_credit,europe,enterprise_retail,167.04,2.5423,1.2361,0.0,0.0,0.026,0.1837
T0000081,2026-04-21,ecom_credit,north_america,travel,56.31,0.8703,0.4167,0.0,0.0,0.026,0.0619
T0000082,2026-05-20,domestic_debit,europe,grocery_fuel,22.88,0.164,0.0,0.0,0.0,0.028,0.0092
T0000083,2026-04-19,domestic_debit,apac,enterprise_retail,92.07,0.5238,0.0,0.0,0.0,0.028,0.0368
T0000084,2026-04-16,cross_border,north_america,enterprise_retail,176.94,5.3459,1.2209,0.0,0.0,0.038,0.23
T0000085,2026-04-20,domestic_credit,north_america,enterprise_retail,37.48,0.4997,0.2661,0.0,0.0,0.031,0.0337
T0000086,2026-05-15,domestic_debit,europe,smb_retail,29.32,0.1975,0.0,0.0,0.0,0.028,0.0117
T0000087,2026-05-18,domestic_debit,north_america,travel,117.44,0.6557,0.0,0.0,0.0,0.028,0.047
T0000088,2026-04-24,tap_to_pay,north_america,enterprise_retail,72.04,0.664,0.2521,0.0,0.0,0.024,0.0432
T0000089,2026-05-06,domestic_debit,europe,grocery_fuel,10.19,0.098,0.0,0.0,0.0,0.028,0.0041
T0000090,2026-04-22,domestic_credit,latam,smb_retail,59.23,0.7781,0.4205,0.0,0.0,0.031,0.0533
T0000091,2026-04-20,domestic_credit,north_america,digital_goods,60.57,0.7953,0.43,0.0,0.0,0.031,0.0545
T0000092,2026-04-26,domestic_credit,europe,smb_retail,38.44,0.512,0.2729,0.0,0.0,0.031,0.0346
T0000093,2026-05-21,ecom_credit,europe,enterprise_retail,114.8,1.7535,0.8495,0.0,0.0,0.026,0.1263
T0000094,2026-06-30,domestic_credit,latam,travel,133.8,1.7326,0.95,0.0,0.0,0.031,0.1204
T0000095,2026-04-08,domestic_debit,europe,enterprise_retail,26.85,0.1846,0.0,0.0,0.0,0.028,0.0107
T0000096,2026-05-22,ecom_credit,apac,restaurants,42.0,0.6542,0.3108,0.0,0.0,0.026,0.0462
T0000097,2026-06-07,cross_border,latam,smb_retail,23.85,0.7379,0.1646,0.0,0.0,0.038,0.031
T0000098,2026-06-01,domestic_credit,europe,digital_goods,6.99,0.1095,0.0496,0.0,0.0,0.031,0.0063
T0000099,2026-04-15,domestic_credit,apac,smb_retail,2.9,0.0571,0.0206,0.0,0.0,0.031,0.0026
T0000100,2026-04-15,domestic_debit,north_america,smb_retail,36.18,0.2331,0.0,0.0,0.0,0.028,0.0145
T0000101,2026-05-08,domestic_debit,north_america,enterprise_retail,10.86,0.1015,0.0,0.0,0.0,0.028,0.0043
T0000102,2026-04-20,domestic_debit,apac,enterprise_retail,18.89,0.1432,0.0,0.0,0.0,0.028,0.0076
T0000103,2026-04-17,domestic_credit,north_america,enterprise_retail,126.36,1.6374,0.8972,0.0,0.0,0.031,0.1137
T0000104,2026-05-21,domestic_debit,apac,digital_goods,6.03,0.0764,0.0,0.0,0.0,0.028,0.0024
T0000105,2026-05-18,domestic_credit,latam,grocery_fuel,3.54,0.0653,0.0251,0.0,0.0,0.031,0.0032
T0000106,2026-06-10,domestic_credit,latam,grocery_fuel,43.37,0.5751,0.3079,0.0,0.0,0.031,0.039
T0000107,2026-06-08,ecom_credit,north_america,enterprise_retail,38.64,0.6035,0.2859,0.0,0.0,0.026,0.0425
T0000108,2026-05-27,domestic_debit,north_america,smb_retail,9.77,0.0958,0.0,0.0,0.0,0.028,0.0039
T0000109,2026-05-18,tap_to_pay,north_america,digital_goods,11.98,0.1354,0.0419,0.0,0.0,0.024,0.0072
T0000110,2026-05-01,domestic_credit,north_america,smb_retail,58.73,0.7717,0.417,0.0,0.0,0.031,0.0529
T0000111,2026-06-17,tap_to_pay,apac,enterprise_retail,16.15,0.1721,0.0565,0.0,0.0,0.024,0.0097
T0000112,2026-06-27,domestic_debit,apac,grocery_fuel,79.46,0.4582,0.0,0.0,0.0,0.028,0.0318
T0000113,2026-04-12,tap_to_pay,north_america,grocery_fuel,29.58,0.2903,0.1035,0.0,0.0,0.024,0.0177
T0000114,2026-04-26,ecom_credit,europe,smb_retail,5.06,0.0964,0.0374,0.0,0.0,0.026,0.0056
T0000115,2026-04-19,cross_border,apac,enterprise_retail,26.06,0.8044,0.1798,0.0,0.0,0.038,0.0339
T0000116,2026-06-19,domestic_debit,north_america,travel,77.98,0.4505,0.0,0.0,0.0,0.028,0.0312
T0000117,2026-06-17,domestic_debit,apac,enterprise_retail,36.3,0.2338,0.0,0.0,0.0,0.028,0.0145
T0000118,2026-04-18,domestic_debit,latam,enterprise_retail,3.1,0.0611,0.0,0.0,0.0,0.028,0.0012
T0000119,2026-06-30,cross_border,north_america,grocery_fuel,85.14,2.5827,0.5875,0.0,0.0,0.038,0.1107
T0000120,2026-05-10,domestic_debit,north_america,enterprise_retail,13.51,0.1153,0.0,0.0,0.0,0.028,0.0054
T0000121,2026-05-06,domestic_debit,north_america,travel,64.37,0.3797,0.0,0.0,0.0,0.028,0.0257
T0000122,2026-05-07,domestic_debit,latam,restaurants,2.14,0.0561,0.0,0.0,0.0,0.028,0.0009
T0000123,2026-06-30,ecom_credit,latam,digital_goods,17.95,0.291,0.1328,0.0,0.0,0.026,0.0197
T0000124,2026-04-29,ecom_credit,europe,travel,75.1,1.154,0.5557,0.0,0.0,0.026,0.0826
T0000125,2026-04-16,domestic_credit,europe,grocery_fuel,4.76,0.0809,0.0338,0.0,0.0,0.031,0.0043
T0000126,2026-04-14,cross_border,north_america,digital_goods,25.09,0.7752,0.1731,0.0,0.0,0.038,0.0326
T0000127,2026-04-19,cross_border,apac,travel,57.25,1.7432,0.395,0.0,0.0,0.038,0.0744
T0000128,2026-05-14,domestic_debit,europe,smb_retail,20.16,0.1498,0.0,0.0,0.0,0.028,0.0081
T0000129,2026-06-25,cross_border,north_america,enterprise_retail,66.81,2.031,0.461,0.0,0.0,0.038,0.0869
T0000130,2026-05-04,ecom_credit,north_america,smb_retail,26.16,0.415,0.1936,0.0,0.0,0.026,0.0288
T0000131,2026-04-11,domestic_debit,apac,restaurants,6.6,0.0793,0.0,0.0,0.0,0.028,0.0026
T0000132,2026-06-11,ecom_credit,north_america,travel,350.04,5.3056,2.5903,0.0,0.0,0.026,0.385
T0000133,2026-06-30,cross_border,latam,digital_goods,103.39,3.132,0.7134,0.0,0.0,0.038,0.1344
T0000134,2026-04-08,domestic_credit,europe,grocery_fuel,17.84,0.2484,0.1267,0.0,0.0,0.031,0.0161
T0000135,2026-04-23,tap_to_pay,north_america,enterprise_retail,24.69,0.2473,0.0864,0.0,0.0,0.024,0.0148
T0000136,2026-06-05,domestic_debit,latam,smb_retail,14.55,0.1207,0.0,0.0,0.0,0.028,0.0058
T0000137,2026-06-26,domestic_credit,apac,smb_retail,11.92,0.1726,0.0846,0.0,0.0,0.031,0.0107
T0000138,2026-05-09,domestic_credit,north_america,grocery_fuel,47.67,0.6302,0.3385,0.0,0.0,0.031,0.0429
T0000139,2026-04-02,ecom_credit,north_america,digital_goods,10.88,0.1843,0.0805,0.0,0.0,0.026,0.012
T0000140,2026-04-02,domestic_debit,europe,grocery_fuel,11.16,0.103,0.0,0.0,0.0,0.028,0.0045
T0000141,2026-06-04,domestic_debit,north_america,enterprise_retail,15.69,0.1266,0.0,0.0,0.0,0.028,0.0063
T0000142,2026-04-22,ecom_credit,latam,restaurants,38.11,0.5955,0.282,0.0,0.0,0.026,0.0419
T0000143,2026-05-25,ecom_credit,north_america,enterprise_retail,211.54,3.2143,1.5654,0.0,0.0,0.026,0.2327
T0000144,2026-05-26,domestic_debit,north_america,grocery_fuel,19.92,0.1486,0.0,0.0,0.0,0.028,0.008
T0000145,2026-06-06,tap_to_pay,north_america,travel,68.53,0.6331,0.2399,0.0,0.0,0.024,0.0411
T0000146,2026-05-29,ecom_credit,europe,grocery_fuel,89.5,1.3715,0.6623,0.0,0.0,0.026,0.0985
T0000147,2026-05-26,ecom_credit,north_america,grocery_fuel,63.94,0.9855,0.4732,0.0,0.0,0.026,0.0703
T0000148,2026-04-05,domestic_debit,apac,restaurants,21.7,0.1578,0.0,0.0,0.0,0.028,0.0087
T0000149,2026-04-29,ecom_credit,north_america,enterprise_retail,207.54,3.1539,1.5358,0.0,0.0,0.026,0.2283
T0000150,2026-05-28,ecom_credit,north_america,digital_goods,22.31,0.3569,0.1651,0.0,0.0,0.026,0.0245
T0000151,2026-04-14,cross_border,north_america,grocery_fuel,170.86,5.1629,1.1789,0.0,0.0,0.038,0.2221
T0000152,2026-04-18,domestic_credit,europe,smb_retail,54.87,0.7223,0.3896,0.0,0.0,0.031,0.0494
T0000153,2026-05-14,domestic_credit,apac,smb_retail,176.93,2.2847,1.2562,0.0,0.0,0.031,0.1592
T0000154,2026-05-27,domestic_debit,latam,grocery_fuel,9.35,0.0936,0.0,0.0,0.0,0.028,0.0037
T0000155,2026-04-29,domestic_debit,apac,smb_retail,58.65,0.35,0.0,0.0,0.0,0.028,0.0235
T0000156,2026-05-30,domestic_credit,apac,digital_goods,8.3,0.1262,0.0589,0.0,0.0,0.031,0.0075
T0000157,2026-06-01,cross_border,apac,enterprise_retail,149.68,4.5254,1.0328,0.0,0.0,0.038,0.1946
T0000158,2026-05-17,ecom_credit,europe,enterprise_retail,121.76,1.8586,0.901,0.0,0.0,0.026,0.1339
T0000159,2026-06-21,ecom_credit,europe,digital_goods,17.09,0.2781,0.1265,0.0,0.0,0.026,0.0188
T0000160,2026-05-18,domestic_debit,north_america,smb_retail,13.48,0.1151,0.0,0.0,0.0,0.028,0.0054
T0000161,2026-06-24,ecom_credit,europe,enterprise_retail,169.93,2.5859,1.2575,0.0,0.0,0.026,0.1869
T0000162,2026-06-20,tap_to_pay,apac,grocery_fuel,13.79,0.1514,0.0483,0.0,0.0,0.024,0.0083
T0000163,2026-05-10,tap_to_pay,north_america,enterprise_retail,7.29,0.0942,0.0255,0.0,0.0,0.024,0.0044
T0000164,2026-04-14,tap_to_pay,north_america,smb_retail,2.75,0.0542,0.0096,0.0,0.0,0.024,0.0016
T0000165,2026-06-24,ecom_credit,north_america,enterprise_retail,114.31,1.7461,0.8459,0.0,0.0,0.026,0.1257
T0000166,2026-04-28,domestic_debit,europe,smb_retail,13.34,0.1144,0.0,0.0,0.0,0.028,0.0053
T0000167,2026-06-18,domestic_debit,apac,restaurants,22.86,0.1639,0.0,0.0,0.0,0.028,0.0091
T0000168,2026-04-16,cross_border,north_america,enterprise_retail,222.36,6.713,1.5343,0.0,0.0,0.038,0.2891
T0000169,2026-06-11,domestic_credit,europe,restaurants,35.7,0.477,0.2535,0.0,0.0,0.031,0.0321
T0000170,2026-06-14,ecom_credit,latam,grocery_fuel,23.68,0.3776,0.1752,0.0,0.0,0.026,0.026
T0000171,2026-04-12,domestic_debit,north_america,smb_retail,6.14,0.0769,0.0,0.0,0.0,0.028,0.0025
T0000172,2026-05-08,domestic_debit,north_america,grocery_fuel,3.0,0.0606,0.0,0.0,0.0,0.028,0.0012
T0000173,2026-06-03,domestic_credit,north_america,smb_retail,26.9,0.3643,0.191,0.0,0.0,0.031,0.0242
T0000174,2026-06-05,domestic_credit,north_america,travel,237.81,3.064,1.6885,0.0,0.0,0.031,0.214
T0000175,2026-06-01,ecom_credit,north_america,digital_goods,5.01,0.0957,0.0371,0.0,0.0,0.026,0.0055
T0000176,2026-06-04,domestic_credit,europe,smb_retail,12.2,0.1762,0.0866,0.0,0.0,0.031,0.011
T0000177,2026-06-16,domestic_debit,apac,smb_retail,29.54,0.1986,0.0,0.0,0.0,0.028,0.0118
T0000178,2026-06-20,domestic_credit,north_america,enterprise_retail,92.39,1.2026,0.656,0.0,0.0,0.031,0.0832
T0000179,2026-04-17,domestic_debit,europe,enterprise_retail,14.07,0.1182,0.0,0.0,0.0,0.028,0.0056
T0000180,2026-06-18,ecom_credit,north_america,enterprise_retail,37.2,0.5817,0.2753,0.0,0.0,0.026,0.0409
T0000181,2026-06-25,ecom_credit,north_america,digital_goods,13.72,0.2272,0.1015,0.0,0.0,0.026,0.0151
T0000182,2026-06-12,cross_border,north_america,smb_retail,12.87,0.4074,0.0888,0.0,0.0,0.038,0.0167
T0000183,2026-06-04,domestic_credit,north_america,enterprise_retail,14.04,0.1997,0.0997,0.0,0.0,0.031,0.0126
T0000184,2026-04-03,domestic_credit,north_america,travel,49.86,0.6582,0.354,0.0,0.0,0.031,0.0449
T0000185,2026-05-26,domestic_debit,north_america,smb_retail,6.42,0.0784,0.0,0.0,0.0,0.028,0.0026
T0000186,2026-06-16,ecom_credit,north_america,digital_goods,25.36,0.4029,0.1877,0.0,0.0,0.026,0.0279
T0000187,2026-05-22,domestic_debit,north_america,digital_goods,11.42,0.1044,0.0,0.0,0.0,0.028,0.0046
T0000188,2026-04-17,tap_to_pay,north_america,travel,31.25,0.305,0.1094,0.0,0.0,0.024,0.0187
T0000189,2026-05-28,domestic_debit,apac,travel,15.22,0.1241,0.0,0.0,0.0,0.028,0.0061
T0000190,2026-06-30,tap_to_pay,europe,enterprise_retail,35.78,0.3449,0.1252,0.0,0.0,0.024,0.0215
T0000191,2026-05-04,domestic_debit,apac,enterprise_retail,139.24,0.769,0.0,0.0,0.0,0.028,0.0557
T0000192,2026-05-28,domestic_credit,north_america,grocery_fuel,31.52,0.4235,0.2238,0.0,0.0,0.031,0.0284
T0000193,2026-05-11,domestic_credit,apac,grocery_fuel,15.57,0.2193,0.1105,0.0,0.0,0.031,0.014
T0000194,2026-05-24,domestic_debit,north_america,grocery_fuel,8.45,0.0889,0.0,0.0,0.0,0.028,0.0034
T0000195,2026-04-09,domestic_credit,north_america,smb_retail,3.84,0.0692,0.0273,0.0,0.0,0.031,0.0035
T0000196,2026-06-04,domestic_credit,apac,enterprise_retail,136.74,1.7703,0.9709,0.0,0.0,0.031,0.1231
T0000197,2026-05-17,ecom_credit,north_america,travel,176.65,2.6874,1.3072,0.0,0.0,0.026,0.1943
T0000198,2026-06-02,domestic_debit,latam,smb_retail,31.14,0.2069,0.0,0.0,0.0,0.028,0.0125
T0000199,2026-06-16,cross_border,north_america,grocery_fuel,136.54,4.1299,0.9421,0.0,0.0,0.038,0.1775
T0000200,2026-06-18,domestic_credit,europe,travel,127.95,1.6578,0.9084,0.0,0.0,0.031,0.1152
T0000201,2026-05-09,domestic_debit,apac,travel,69.71,0.4075,0.0,0.0,0.0,0.028,0.0279
T0000202,2026-04-23,domestic_credit,apac,grocery_fuel,47.55,0.6286,0.3376,0.0,0.0,0.031,0.0428
T0000203,2026-06-07,domestic_credit,europe,enterprise_retail,34.75,0.4648,0.2467,0.0,0.0,0.031,0.0313
T0000204,2026-04-06,domestic_credit,europe,enterprise_retail,11.14,0.1626,0.0791,0.0,0.0,0.031,0.01
T0000205,2026-05-03,domestic_credit,apac,restaurants,43.69,0.5792,0.3102,0.0,0.0,0.031,0.0393
T0000206,2026-04-23,domestic_credit,north_america,digital_goods,32.53,0.4364,0.231,0.0,0.0,0.031,0.0293
T0000207,2026-05-04,domestic_debit,apac,travel,24.0,0.1698,0.0,0.0,0.0,0.028,0.0096
T0000208,2026-05-06,domestic_credit,north_america,travel,136.27,1.7643,0.9675,0.0,0.0,0.031,0.1226
T0000209,2026-06-02,domestic_debit,north_america,smb_retail,10.14,0.0977,0.0,0.0,0.0,0.028,0.0041
T0000210,2026-05-18,domestic_credit,europe,smb_retail,345.67,4.4446,2.4543,0.0,0.0,0.031,0.3111
T0000211,2026-06-28,domestic_credit,europe,enterprise_retail,48.45,0.6402,0.344,0.0,0.0,0.031,0.0436
T0000212,2026-04-03,domestic_credit,europe,grocery_fuel,38.09,0.5076,0.2704,0.0,0.0,0.031,0.0343
T0000213,2026-04-12,cross_border,north_america,smb_retail,42.15,1.2887,0.2908,0.0,0.0,0.038,0.0548
T0000214,2026-05-02,ecom_credit,europe,smb_retail,12.55,0.2095,0.0929,0.0,0.0,0.026,0.0138
T0000215,2026-04-13,ecom_credit,europe,smb_retail,4.05,0.0812,0.03,0.0,0.0,0.026,0.0045
T0000216,2026-06-13,tap_to_pay,north_america,digital_goods,4.35,0.0683,0.0152,0.0,0.0,0.024,0.0026
T0000217,2026-05-11,domestic_debit,north_america,smb_retail,13.16,0.1134,0.0,0.0,0.0,0.028,0.0053
T0000218,2026-04-30,cross_border,apac,enterprise_retail,173.21,5.2336,1.1951,0.0,0.0,0.038,0.2252
T0000219,2026-04-18,cross_border,europe,enterprise_retail,63.52,1.932,0.4383,0.0,0.0,0.038,0.0826
T0000220,2026-04-06,domestic_debit,apac,travel,19.13,0.1445,0.0,0.0,0.0,0.028,0.0077
T0000221,2026-06-25,domestic_credit,europe,travel,25.38,0.3449,0.1802,0.0,0.0,0.031,0.0228
T0000222,2026-04-21,tap_to_pay,north_america,travel,49.63,0.4667,0.1737,0.0,0.0,0.024,0.0298
T0000223,2026-04-25,domestic_credit,north_america,smb_retail,11.75,0.1704,0.0834,0.0,0.0,0.031,0.0106
T0000224,2026-04-11,domestic_debit,apac,digital_goods,25.6,0.1781,0.0,0.0,0.0,0.028,0.0102
T0000225,2026-05-01,domestic_credit,europe,smb_retail,19.26,0.2665,0.1367,0.0,0.0,0.031,0.0173
T0000226,2026-06-18,ecom_credit,europe,enterprise_retail,53.55,0.8286,0.3963,0.0,0.0,0.026,0.0589
T0000227,2026-06-01,ecom_credit,apac,digital_goods,25.93,0.4115,0.1919,0.0,0.0,0.026,0.0285
T0000228,2026-04-19,domestic_debit,europe,digital_goods,18.24,0.1398,0.0,0.0,0.0,0.028,0.0073
T0000229,2026-04-18,domestic_debit,north_america,grocery_fuel,13.07,0.113,0.0,0.0,0.0,0.028,0.0052
T0000230,2026-06-11,domestic_credit,latam,enterprise_retail,97.81,1.272,0.6945,0.0,0.0,0.031,0.088
T0000231,2026-05-05,domestic_debit,north_america,enterprise_retail,10.56,0.0999,0.0,0.0,0.0,0.028,0.0042
T0000232,2026-04-15,tap_to_pay,europe,grocery_fuel,44.72,0.4235,0.1565,0.0,0.0,0.024,0.0268
T0000233,2026-05-27,domestic_credit,north_america,restaurants,24.77,0.3371,0.1759,0.0,0.0,0.031,0.0223
