settlement_id,txn_ref,settle_date,gross_usd,interchange,scheme_fee,net_usd
STL034238,TXN034238,2026-06-14,296.39,6.47,3.26,286.66
STL026889,TXN026889,2026-06-03,155.89,1.85,0.2,153.84
STL012355,TXN012355,2026-06-04,604.07,11.88,0.85,591.34
STL006564,TXN006564,2026-06-11,156.72,1.86,0.2,154.66
STL010311,TXN010311,2026-06-08,14.05,0.33,0.02,13.7
STL002059,TXN002059,2026-06-02,608.65,11.97,0.85,595.83
STL021943,TXN021943,2026-06-15,79.85,1.05,0.1,78.7
STL028060,TXN028060,2026-06-02,109.99,1.91,0.15,107.93
STL024844,TXN024844,2026-06-02,156.11,1.85,0.2,154.06
STL030269,TXN030269,2026-06-15,117.02,2.62,1.29,113.11
STL004877,TXN004877,2026-06-07,68.91,1.18,0.09,67.64
STL024761,TXN024761,2026-06-07,200.54,2.32,0.26,197.96
STL024067,TXN024067,2026-06-04,602.73,13.06,6.63,583.04
STL039240,TXN039240,2026-06-15,465.11,10.1,5.12,449.89
STL000031,TXN000031,2026-06-11,425.69,8.4,0.6,416.69
STL043446,TXN043446,2026-06-04,301.83,5.08,0.42,296.33
STL029086,TXN029086,2026-06-03,225.27,4.49,0.32,220.46
STL044412,TXN044412,2026-06-06,260.64,5.18,0.36,255.1
STL043445,TXN043445,2026-06-08,93.18,1.19,0.12,91.87
STL012388,TXN012388,2026-06-05,136.29,2.76,0.19,133.34
STL032998,TXN032998,2026-06-09,142.31,1.7,0.19,140.42
STL030092,TXN030092,2026-06-03,239.03,4.76,0.33,233.94
STL024746,TXN024746,2026-06-06,309.78,5.21,0.43,304.14
STL041240,TXN041240,2026-06-06,458.84,9.05,0.64,449.15
STL037411,TXN037411,2026-06-03,77.4,1.02,0.1,76.28
STL041989,TXN041989,2026-06-11,88.86,1.46,0.12,87.28
STL048860,TXN048860,2026-06-05,132.98,2.95,1.46,128.57
STL044336,TXN044336,2026-06-06,467.09,10.14,5.14,451.81
STL049417,TXN049417,2026-06-07,46.37,1.1,0.51,44.76
STL015145,TXN015145,2026-06-12,68.64,0.93,0.09,67.62
STL007083,TXN007083,2026-06-04,65.58,0.9,0.09,64.59
STL031073,TXN031073,2026-06-06,39.34,0.87,0.06,38.41
STL028253,TXN028253,2026-06-06,111.68,1.78,0.15,109.75
STL026646,TXN026646,2026-06-07,283.09,5.62,0.4,277.07
STL010589,TXN010589,2026-06-15,151.56,1.8,0.2,149.56
STL041771,TXN041771,2026-06-14,557.29,10.97,0.78,545.54
STL016673,TXN016673,2026-06-09,501.11,10.87,5.51,484.73
STL038497,TXN038497,2026-06-13,119.69,1.47,0.16,118.06
STL032969,TXN032969,2026-06-03,528.08,10.4,0.74,516.94
STL008458,TXN008458,2026-06-08,399.29,6.69,0.56,392.04
STL045814,TXN045814,2026-06-03,191.28,3.83,0.27,187.18
STL016257,TXN016257,2026-06-08,66.62,1.2,0.09,65.33
STL041481,TXN041481,2026-06-06,139.07,1.67,0.18,137.22
STL015286,TXN015286,2026-06-08,53.57,0.77,0.07,52.73
STL026122,TXN026122,2026-06-11,213.69,2.45,0.28,210.96
STL041647,TXN041647,2026-06-13,471.92,10.25,5.19,456.48
STL015381,TXN015381,2026-06-13,450.77,8.89,0.63,441.25
STL009973,TXN009973,2026-06-14,130.54,2.25,0.18,128.11
STL043449,TXN043449,2026-06-06,255.28,5.08,0.36,249.84
STL036111,TXN036111,2026-06-10,233.5,4.65,0.33,228.52
STL004574,TXN004574,2026-06-06,43.97,0.67,0.06,43.24
STL010776,TXN010776,2026-06-03,484.65,9.55,0.68,474.42
STL013291,TXN013291,2026-06-15,157.25,3.17,0.22,153.86
STL040696,TXN040696,2026-06-10,17.5,0.39,0.02,17.09
STL018607,TXN018607,2026-06-09,166.91,3.35,0.23,163.33
STL024296,TXN024296,2026-06-05,144.77,2.49,0.2,142.08
STL016721,TXN016721,2026-06-08,273.72,4.62,0.38,268.72
STL025916,TXN025916,2026-06-14,143.12,2.46,0.2,140.46
STL005053,TXN005053,2026-06-13,448.91,7.51,0.63,440.77
STL019067,TXN019067,2026-06-04,99.49,1.74,0.14,97.61
STL012398,TXN012398,2026-06-09,275.88,4.65,0.39,270.84
STL048112,TXN048112,2026-06-06,141.21,1.69,0.18,139.34
STL018430,TXN018430,2026-06-15,354.03,5.94,0.5,347.59
STL010818,TXN010818,2026-06-14,160.08,3.22,0.22,156.64
STL010539,TXN010539,2026-06-11,172.25,2.63,0.22,169.4
STL011728,TXN011728,2026-06-07,158.03,2.71,0.22,155.1
STL008827,TXN008827,2026-06-14,63.1,1.14,0.09,61.87
STL000796,TXN000796,2026-06-12,160.85,1.9,0.21,158.74
STL029217,TXN029217,2026-06-07,142.27,1.7,0.18,140.39
STL019342,TXN019342,2026-06-14,294.29,6.43,3.24,284.62
STL015248,TXN015248,2026-06-02,19.83,0.42,0.03,19.38
STL045350,TXN045350,2026-06-08,86.89,1.12,0.11,85.66
STL046927,TXN046927,2026-06-10,266.9,4.5,0.37,262.03
STL000136,TXN000136,2026-06-08,396.58,6.64,0.56,389.38
STL019113,TXN019113,2026-06-06,117.65,2.63,1.29,113.73
STL034069,TXN034069,2026-06-05,121.35,1.48,0.16,119.71
STL016070,TXN016070,2026-06-03,155.73,2.4,0.2,153.13
STL043805,TXN043805,2026-06-14,83.95,1.09,0.11,82.75
STL023021,TXN023021,2026-06-13,87.8,1.13,0.11,86.56
STL029607,TXN029607,2026-06-05,21.0,0.43,0.03,20.54
STL031665,TXN031665,2026-06-10,39.79,0.78,0.05,38.96
STL004497,TXN004497,2026-06-04,201.67,3.04,0.26,198.37
STL030544,TXN030544,2026-06-11,216.82,2.49,0.28,214.05
STL045988,TXN045988,2026-06-07,87.97,1.82,0.12,86.03
STL015164,TXN015164,2026-06-14,397.8,6.66,0.56,390.58
STL020217,TXN020217,2026-06-07,148.57,1.77,0.19,146.61
STL021989,TXN021989,2026-06-08,406.83,8.03,0.57,398.23
STL019525,TXN019525,2026-06-12,283.91,4.78,0.4,278.73
STL037369,TXN037369,2026-06-06,208.51,2.4,0.27,205.84
STL006188,TXN006188,2026-06-05,156.0,2.4,0.2,153.4
STL035070,TXN035070,2026-06-11,432.14,7.23,0.6,424.31
STL045473,TXN045473,2026-06-10,742.79,16.07,8.17,718.55
STL015995,TXN015995,2026-06-05,334.19,5.61,0.47,328.11
STL026393,TXN026393,2026-06-09,516.95,10.18,0.72,506.05
STL045300,TXN045300,2026-06-07,115.74,1.43,0.15,114.16
STL001771,TXN001771,2026-06-14,85.46,1.51,0.12,83.83
STL036028,TXN036028,2026-06-13,160.43,2.75,0.22,157.46
STL010058,TXN010058,2026-06-05,59.88,1.27,0.08,58.53
STL013052,TXN013052,2026-06-08,529.5,11.48,5.82,512.2
STL039818,TXN039818,2026-06-11,202.96,2.52,0.26,200.18
STL043165,TXN043165,2026-06-02,7.52,0.29,0.01,7.22
STL001503,TXN001503,2026-06-08,268.91,3.98,0.35,264.58
STL012521,TXN012521,2026-06-07,36.87,0.6,0.05,36.22
STL009328,TXN009328,2026-06-09,119.66,1.9,0.16,117.6
STL002162,TXN002162,2026-06-07,162.64,1.92,0.21,160.51
STL026486,TXN026486,2026-06-07,32.17,0.55,0.04,31.58
STL007026,TXN007026,2026-06-15,820.69,17.74,9.03,793.92
STL047221,TXN047221,2026-06-14,290.1,5.76,0.41,283.93
STL026371,TXN026371,2026-06-06,104.8,2.46,0.15,102.19
STL000604,TXN000604,2026-06-08,73.57,1.53,0.1,71.94
STL003469,TXN003469,2026-06-14,137.03,2.77,0.19,134.07
STL027354,TXN027354,2026-06-10,188.48,3.78,0.26,184.44
STL023376,TXN023376,2026-06-03,15.55,0.37,0.02,15.16
STL020048,TXN020048,2026-06-07,284.75,4.8,0.4,279.55
STL011881,TXN011881,2026-06-13,60.28,1.09,0.08,59.11
STL032434,TXN032434,2026-06-09,188.34,2.19,0.24,185.91
STL014260,TXN014260,2026-06-05,132.42,1.6,0.17,130.65
STL041758,TXN041758,2026-06-07,317.84,5.34,0.44,312.06
STL022321,TXN022321,2026-06-03,143.4,1.72,0.19,141.49
STL016414,TXN016414,2026-06-10,96.47,1.69,0.14,94.64
STL021687,TXN021687,2026-06-05,517.97,10.2,0.73,507.04
STL008617,TXN008617,2026-06-03,436.6,7.3,0.61,428.69
STL007847,TXN007847,2026-06-03,377.69,6.33,0.53,370.83
STL012629,TXN012629,2026-06-03,84.08,1.09,0.11,82.88
STL031112,TXN031112,2026-06-08,359.64,7.11,0.5,352.03
STL023388,TXN023388,2026-06-13,104.22,1.3,0.14,102.78
STL020711,TXN020711,2026-06-08,73.43,1.53,0.1,71.8
STL048235,TXN048235,2026-06-03,217.54,2.49,0.28,214.77
STL020515,TXN020515,2026-06-14,402.66,6.74,0.56,395.36
STL039126,TXN039126,2026-06-02,113.81,1.41,0.15,112.25
STL017567,TXN017567,2026-06-10,12.43,0.34,0.02,12.07
STL007137,TXN007137,2026-06-08,84.37,1.1,0.11,83.16
STL047521,TXN047521,2026-06-12,114.6,1.82,0.15,112.63
STL043424,TXN043424,2026-06-08,156.32,3.46,1.72,151.14
STL001342,TXN001342,2026-06-05,170.29,2.6,0.22,167.47
STL042435,TXN042435,2026-06-12,138.45,2.38,0.19,135.88
STL035095,TXN035095,2026-06-10,199.0,2.3,0.26,196.44
STL046645,TXN046645,2026-06-10,36.33,0.59,0.05,35.69
STL008424,TXN008424,2026-06-03,255.59,3.8,0.33,251.46
STL002435,TXN002435,2026-06-06,109.47,1.36,0.14,107.97
STL001608,TXN001608,2026-06-09,232.03,3.47,0.3,228.26
STL021135,TXN021135,2026-06-05,130.61,1.58,0.17,128.86
STL029428,TXN029428,2026-06-15,95.27,1.67,0.13,93.47
STL035012,TXN035012,2026-06-10,407.15,8.04,0.57,398.54
STL026966,TXN026966,2026-06-04,334.89,7.3,3.68,323.91
STL021675,TXN021675,2026-06-02,23.62,0.46,0.03,23.13
STL014624,TXN014624,2026-06-12,55.09,0.79,0.07,54.23
STL045253,TXN045253,2026-06-10,178.95,2.09,0.23,176.63
STL045195,TXN045195,2026-06-13,18.17,0.4,0.02,17.75
STL002322,TXN002322,2026-06-11,61.73,1.08,0.08,60.57
STL029206,TXN029206,2026-06-10,546.6,10.76,0.77,535.07
STL038375,TXN038375,2026-06-07,126.44,1.54,0.16,124.74
STL034008,TXN034008,2026-06-15,660.71,14.31,7.27,639.13
STL048437,TXN048437,2026-06-02,446.78,7.47,0.63,438.68
STL006595,TXN006595,2026-06-07,637.62,12.53,0.89,624.2
STL000695,TXN000695,2026-06-03,78.38,1.03,0.1,77.25
STL027445,TXN027445,2026-06-02,55.92,1.19,0.08,54.65
STL041686,TXN041686,2026-06-08,173.29,2.03,0.23,171.03
STL035805,TXN035805,2026-06-02,875.89,18.93,9.63,847.33
STL032936,TXN032936,2026-06-07,212.86,3.61,0.3,208.95
STL017050,TXN017050,2026-06-07,249.88,4.22,0.35,245.31
STL016899,TXN016899,2026-06-08,10.71,0.32,0.01,10.38
STL023915,TXN023915,2026-06-07,536.19,10.56,0.75,524.88
STL035615,TXN035615,2026-06-03,333.24,5.6,0.47,327.17
STL045359,TXN045359,2026-06-10,18.44,0.4,0.02,18.02
STL047920,TXN047920,2026-06-14,32.58,0.55,0.04,31.99
STL045720,TXN045720,2026-06-04,66.57,0.91,0.09,65.57
STL016213,TXN016213,2026-06-06,172.37,2.02,0.22,170.13
STL048183,TXN048183,2026-06-02,110.44,1.77,0.14,108.53
STL029380,TXN029380,2026-06-05,99.99,1.26,0.13,98.6
STL007982,TXN007982,2026-06-12,49.15,0.91,0.07,48.17
STL028045,TXN028045,2026-06-09,95.6,1.21,0.12,94.27
STL020274,TXN020274,2026-06-06,210.63,3.17,0.27,207.19
STL020653,TXN020653,2026-06-04,448.06,9.73,4.93,433.4
STL049136,TXN049136,2026-06-05,21.74,0.52,0.03,21.19
STL016867,TXN016867,2026-06-09,39.75,0.63,0.05,39.07
STL035433,TXN035433,2026-06-10,322.76,5.43,0.45,316.88
STL005625,TXN005625,2026-06-10,504.11,10.94,5.55,487.62
STL020586,TXN020586,2026-06-02,75.37,1.28,0.1,73.99
STL030673,TXN030673,2026-06-09,139.63,2.17,0.18,137.28
STL041468,TXN041468,2026-06-10,113.02,1.4,0.15,111.47
STL016572,TXN016572,2026-06-08,433.32,7.25,0.61,425.46
STL023933,TXN023933,2026-06-09,53.8,0.99,0.08,52.73
STL002663,TXN002663,2026-06-03,8.01,0.33,0.01,7.67
STL018055,TXN018055,2026-06-07,112.17,2.29,0.16,109.72
STL037819,TXN037819,2026-06-07,382.8,6.42,0.54,375.84
STL030919,TXN030919,2026-06-04,180.33,2.1,0.23,178.0
STL041012,TXN041012,2026-06-10,21.9,0.53,0.03,21.34
STL045057,TXN045057,2026-06-06,137.83,3.06,1.52,133.25
STL036541,TXN036541,2026-06-12,81.38,1.06,0.11,80.21
STL013659,TXN013659,2026-06-14,473.59,9.34,0.66,463.59
STL040165,TXN040165,2026-06-04,32.99,0.56,0.04,32.39
STL049199,TXN049199,2026-06-15,415.94,8.21,0.58,407.15
STL008958,TXN008958,2026-06-03,473.62,7.91,0.66,465.05
STL012503,TXN012503,2026-06-15,230.25,3.44,0.3,226.51
STL036426,TXN036426,2026-06-14,325.67,5.47,0.46,319.74
STL005820,TXN005820,2026-06-11,58.89,0.83,0.08,57.98
STL006731,TXN006731,2026-06-13,111.72,2.28,0.16,109.28
STL013129,TXN013129,2026-06-07,171.06,2.01,0.22,168.83
STL005375,TXN005375,2026-06-14,233.48,3.49,0.3,229.69
STL030608,TXN030608,2026-06-08,308.53,6.12,0.43,301.98
STL046684,TXN046684,2026-06-03,199.27,3.01,0.26,196.0
STL045453,TXN045453,2026-06-10,343.33,7.48,3.78,332.07
STL034078,TXN034078,2026-06-08,183.62,2.14,0.24,181.24
STL048628,TXN048628,2026-06-15,366.14,6.14,0.51,359.49
STL012031,TXN012031,2026-06-13,217.38,3.26,0.28,213.84
STL008332,TXN008332,2026-06-14,222.39,3.77,0.31,218.31
STL041397,TXN041397,2026-06-04,37.73,0.61,0.05,37.07
STL040652,TXN040652,2026-06-10,370.22,6.21,0.52,363.49
STL006700,TXN006700,2026-06-03,153.91,3.1,0.22,150.59
STL028030,TXN028030,2026-06-06,9.18,0.31,0.01,8.86
STL020008,TXN020008,2026-06-09,85.77,1.52,0.12,84.13
STL048303,TXN048303,2026-06-03,76.7,1.02,0.1,75.58
STL011258,TXN011258,2026-06-08,231.27,4.61,0.32,226.34
STL025021,TXN025021,2026-06-03,309.08,6.13,0.43,302.52
STL036049,TXN036049,2026-06-15,53.27,0.77,0.07,52.43
STL032437,TXN032437,2026-06-02,215.67,4.31,0.3,211.06
STL029640,TXN029640,2026-06-02,21.99,0.46,0.03,21.5
STL003433,TXN003433,2026-06-10,244.74,3.65,0.32,240.77
STL034794,TXN034794,2026-06-08,87.54,1.13,0.11,86.3
STL048678,TXN048678,2026-06-08,117.39,2.04,0.16,115.19
STL036673,TXN036673,2026-06-02,214.28,2.46,0.28,211.54
STL047802,TXN047802,2026-06-05,350.73,5.89,0.49,344.35
STL047950,TXN047950,2026-06-07,28.17,0.51,0.04,27.62
STL039493,TXN039493,2026-06-06,341.78,5.74,0.48,335.56
STL003023,TXN003023,2026-06-13,9.52,0.26,0.01,9.25
STL036417,TXN036417,2026-06-04,154.64,1.83,0.2,152.61
STL010063,TXN010063,2026-06-05,145.75,2.94,0.2,142.61
STL019435,TXN019435,2026-06-13,190.59,3.82,0.27,186.5
STL011962,TXN011962,2026-06-03,403.08,6.75,0.56,395.77
STL048837,TXN048837,2026-06-12,173.22,2.96,0.24,170.02
STL036030,TXN036030,2026-06-08,180.09,2.74,0.23,177.12
STL048716,TXN048716,2026-06-09,366.54,7.25,0.51,358.78
STL008479,TXN008479,2026-06-15,284.84,5.65,0.4,278.79
STL024394,TXN024394,2026-06-13,144.62,3.21,1.59,139.82
STL042170,TXN042170,2026-06-03,155.73,1.85,0.2,153.68
STL046996,TXN046996,2026-06-03,109.98,2.24,0.15,107.59
STL033531,TXN033531,2026-06-08,14.08,0.37,0.02,13.69
STL002662,TXN002662,2026-06-15,459.52,9.06,0.64,449.82
STL044417,TXN044417,2026-06-05,17.82,0.39,0.02,17.41
STL003853,TXN003853,2026-06-08,408.18,6.83,0.57,400.78
STL047163,TXN047163,2026-06-08,210.68,2.42,0.27,207.99
STL013732,TXN013732,2026-06-13,138.58,1.67,0.18,136.73
STL007029,TXN007029,2026-06-08,552.03,10.86,0.77,540.4
STL024679,TXN024679,2026-06-03,89.25,1.15,0.12,87.98
STL040040,TXN040040,2026-06-07,159.32,1.88,0.21,157.23
STL021806,TXN021806,2026-06-08,118.24,1.45,0.15,116.64
STL006800,TXN006800,2026-06-12,259.55,4.38,0.36,254.81
STL013944,TXN013944,2026-06-03,596.59,11.73,0.84,584.02
STL000802,TXN000802,2026-06-10,620.09,12.19,0.87,607.03
STL026855,TXN026855,2026-06-10,303.18,5.1,0.42,297.66
STL013955,TXN013955,2026-06-12,127.14,1.54,0.17,125.43
STL014364,TXN014364,2026-06-10,159.83,1.89,0.21,157.73
STL015198,TXN015198,2026-06-06,319.44,6.33,0.45,312.66
STL043841,TXN043841,2026-06-05,55.46,0.79,0.07,54.6
STL037137,TXN037137,2026-06-13,191.93,2.23,0.25,189.45
STL033905,TXN033905,2026-06-13,98.08,1.72,0.14,96.22
STL045721,TXN045721,2026-06-12,507.89,11.02,5.59,491.28
STL046023,TXN046023,2026-06-14,160.99,1.9,0.21,158.88
STL012940,TXN012940,2026-06-05,188.2,2.19,0.24,185.77
STL043834,TXN043834,2026-06-09,290.98,4.9,0.41,285.67
STL036491,TXN036491,2026-06-06,258.37,4.36,0.36,253.65
STL004279,TXN004279,2026-06-08,41.98,0.65,0.05,41.28
STL046323,TXN046323,2026-06-04,41.45,0.8,0.05,40.6
STL031992,TXN031992,2026-06-11,117.04,1.44,0.15,115.45
STL025997,TXN025997,2026-06-12,198.8,3.38,0.28,195.14
STL032323,TXN032323,2026-06-02,132.76,2.69,0.19,129.88
STL048081,TXN048081,2026-06-04,184.45,3.14,0.26,181.05
STL047303,TXN047303,2026-06-04,117.52,1.87,0.15,115.5
STL023379,TXN023379,2026-06-13,274.32,4.06,0.36,269.9
STL006018,TXN006018,2026-06-03,65.63,0.9,0.09,64.64
STL026467,TXN026467,2026-06-07,486.08,9.58,0.68,475.82
STL015049,TXN015049,2026-06-02,29.85,0.68,0.04,29.13
STL018468,TXN018468,2026-06-02,44.61,0.68,0.06,43.87
STL020422,TXN020422,2026-06-09,173.93,3.49,0.24,170.2
STL023975,TXN023975,2026-06-05,181.45,2.12,0.24,179.09
STL021321,TXN021321,2026-06-11,49.99,0.73,0.06,49.2
STL016033,TXN016033,2026-06-03,195.09,3.32,0.27,191.5
STL003503,TXN003503,2026-06-14,449.26,6.85,0.57,441.84
STL032458,TXN032458,2026-06-13,5.21,0.26,0.01,4.94
STL031556,TXN031556,2026-06-10,439.16,8.66,0.61,429.89
STL004483,TXN004483,2026-06-09,182.54,2.78,0.24,179.52
STL004917,TXN004917,2026-06-10,132.68,1.6,0.17,130.91
STL029112,TXN029112,2026-06-08,103.77,1.67,0.13,101.97
STL018562,TXN018562,2026-06-05,363.65,7.92,4.0,351.73
STL033924,TXN033924,2026-06-04,389.94,8.48,4.29,377.17
STL044024,TXN044024,2026-06-06,38.0,0.61,0.05,37.34
STL044240,TXN044240,2026-06-09,198.23,3.0,0.26,194.97
STL033794,TXN033794,2026-06-11,175.55,2.05,0.23,173.27
STL034029,TXN034029,2026-06-03,404.34,8.79,4.45,391.1
STL021939,TXN021939,2026-06-05,174.44,2.98,0.24,171.22
STL031387,TXN031387,2026-06-03,78.59,1.32,0.1,77.17
STL010840,TXN010840,2026-06-04,343.95,6.81,0.48,336.66
STL024999,TXN024999,2026-06-04,32.91,0.74,0.05,32.12
STL002310,TXN002310,2026-06-09,418.87,9.11,4.61,405.15
STL020065,TXN020065,2026-06-14,143.69,2.47,0.2,141.02
STL026226,TXN026226,2026-06-07,144.48,2.48,0.2,141.8
STL003779,TXN003779,2026-06-15,592.76,11.66,0.83,580.27
STL012885,TXN012885,2026-06-04,24.65,0.47,0.03,24.15
STL024870,TXN024870,2026-06-15,19.35,0.41,0.03,18.91
STL014066,TXN014066,2026-06-11,331.24,5.57,0.46,325.21
STL032538,TXN032538,2026-06-03,254.22,3.78,0.33,250.11
STL010210,TXN010210,2026-06-12,14.95,0.37,0.02,14.56
STL005789,TXN005789,2026-06-10,206.85,2.38,0.27,204.2
STL037513,TXN037513,2026-06-10,142.57,1.71,0.19,140.67
STL030788,TXN030788,2026-06-10,208.15,2.4,0.27,205.48
STL019732,TXN019732,2026-06-12,202.11,2.33,0.26,199.52
STL036722,TXN036722,2026-06-04,165.04,1.94,0.21,162.89
STL035415,TXN035415,2026-06-13,430.51,8.49,0.6,421.42
STL015641,TXN015641,2026-06-07,64.32,1.16,0.09,63.07
STL001741,TXN001741,2026-06-10,379.96,6.37,0.53,373.06
STL041878,TXN041878,2026-06-03,187.64,2.18,0.24,185.22
STL023397,TXN023397,2026-06-13,546.63,11.85,6.01,528.77
STL012748,TXN012748,2026-06-04,20.6,0.43,0.03,20.14
STL033550,TXN033550,2026-06-13,69.73,0.94,0.09,68.7
STL022923,TXN022923,2026-06-14,116.7,2.61,1.28,112.81
STL002084,TXN002084,2026-06-12,191.0,3.25,0.27,187.48
STL040151,TXN040151,2026-06-13,148.11,1.77,0.19,146.15
STL002307,TXN002307,2026-06-10,268.86,3.98,0.35,264.53
STL040739,TXN040739,2026-06-15,165.82,2.84,0.23,162.75
STL044816,TXN044816,2026-06-11,468.14,7.82,0.66,459.66
STL009890,TXN009890,2026-06-14,277.01,4.67,0.39,271.95
STL017474,TXN017474,2026-06-03,394.01,7.78,0.55,385.68
STL024941,TXN024941,2026-06-09,58.83,0.83,0.08,57.92
STL026990,TXN026990,2026-06-10,125.68,2.17,0.18,123.33
STL024292,TXN024292,2026-06-04,254.96,5.58,2.8,246.58
STL020490,TXN020490,2026-06-05,189.47,2.2,0.25,187.02
STL030297,TXN030297,2026-06-07,378.76,6.35,0.53,371.88
STL016229,TXN016229,2026-06-10,56.76,0.81,0.07,55.88
STL034918,TXN034918,2026-06-02,163.53,1.93,0.21,161.39
STL043460,TXN043460,2026-06-06,150.39,2.58,0.21,147.6
STL030265,TXN030265,2026-06-04,55.63,0.79,0.07,54.77
STL004859,TXN004859,2026-06-06,176.11,3.01,0.25,172.85
STL021203,TXN021203,2026-06-04,104.17,1.82,0.15,102.2
STL043065,TXN043065,2026-06-10,66.02,0.9,0.09,65.03
STL036091,TXN036091,2026-06-11,33.06,0.65,0.05,32.36
STL023987,TXN023987,2026-06-14,184.6,2.15,0.24,182.21
STL008024,TXN008024,2026-06-02,613.66,12.07,0.86,600.73
STL034422,TXN034422,2026-06-03,27.02,0.49,0.04,26.49
STL010773,TXN010773,2026-06-08,408.4,6.84,0.57,400.99
STL028655,TXN028655,2026-06-09,197.88,3.96,0.28,193.64
STL022580,TXN022580,2026-06-08,94.44,1.2,0.12,93.12
STL014938,TXN014938,2026-06-11,109.76,1.36,0.14,108.26
STL001501,TXN001501,2026-06-15,100.49,1.76,0.14,98.59
STL000951,TXN000951,2026-06-03,80.41,1.67,0.11,78.63
STL042474,TXN042474,2026-06-14,26.53,0.67,0.29,25.57
STL002187,TXN002187,2026-06-12,174.54,2.04,0.23,172.27
STL042753,TXN042753,2026-06-13,337.92,5.68,0.47,331.77
STL003599,TXN003599,2026-06-07,207.14,3.52,0.29,203.33
STL034374,TXN034374,2026-06-02,78.31,1.03,0.1,77.18
STL048861,TXN048861,2026-06-07,345.51,6.84,0.48,338.19
STL000616,TXN000616,2026-06-10,24.8,0.47,0.03,24.3
STL043852,TXN043852,2026-06-04,455.39,7.61,0.64,447.14
STL038589,TXN038589,2026-06-11,24.62,0.47,0.03,24.12
STL043093,TXN043093,2026-06-03,185.86,2.16,0.24,183.46
STL033004,TXN033004,2026-06-13,124.04,1.51,0.16,122.37
STL004847,TXN004847,2026-06-10,217.06,2.49,0.28,214.29
STL004293,TXN004293,2026-06-11,397.06,8.64,4.37,384.05
STL027763,TXN027763,2026-06-05,148.07,2.99,0.21,144.87
STL008065,TXN008065,2026-06-08,142.89,1.71,0.19,140.99
STL043050,TXN043050,2026-06-04,159.7,2.74,0.22,156.74
STL021936,TXN021936,2026-06-06,233.71,3.96,0.33,229.42
STL028600,TXN028600,2026-06-04,53.43,0.97,0.07,52.39
STL029110,TXN029110,2026-06-04,161.68,3.25,0.23,158.2
STL009319,TXN009319,2026-06-04,269.34,3.99,0.35,265.0
STL048365,TXN048365,2026-06-12,154.91,2.66,0.22,152.03
STL040167,TXN040167,2026-06-09,182.59,2.78,0.24,179.57
STL033665,TXN033665,2026-06-11,413.89,6.93,0.58,406.38
STL034716,TXN034716,2026-06-03,158.31,1.87,0.21,156.23
STL038864,TXN038864,2026-06-12,294.5,5.84,0.41,288.25
STL015509,TXN015509,2026-06-12,44.18,0.96,0.06,43.16
STL014905,TXN014905,2026-06-05,215.93,3.66,0.3,211.97
STL035882,TXN035882,2026-06-08,150.8,2.59,0.21,148.0
STL043295,TXN043295,2026-06-05,410.29,8.1,0.57,401.62
STL041866,TXN041866,2026-06-13,212.74,2.44,0.28,210.02
