contract_id,segment,renewal_quarter,health,arr
N0254,mid_market,2027Q1,green,35258.81
N0255,enterprise,2027Q1,green,244651.49
N0256,mid_market,2027Q1,green,56412.1
N0257,mid_market,2027Q1,yellow,15598.41
N0258,enterprise,2027Q1,green,117447.62
N0259,enterprise,2027Q1,green,188937.92
N0260,mid_market,2027Q1,green,46759.43
N0261,smb,2027Q1,green,12198.76
N0262,enterprise,2027Q1,yellow,128140.15
N0263,mid_market,2027Q1,green,22120.43
N0264,smb,2027Q1,yellow,6402.8
N0265,mid_market,2027Q1,green,15702.74
N0266,mid_market,2027Q1,yellow,29021.13
N0267,mid_market,2027Q1,green,14110.9
N0268,enterprise,2027Q1,green,219779.65
N0269,smb,2027Q1,red,3703.5
N0270,mid_market,2027Q1,green,55692.97
N0271,enterprise,2027Q1,green,147313.75
N0272,mid_market,2027Q1,green,59116.43
N0273,mid_market,2027Q1,green,63040.75
N0274,mid_market,2027Q1,green,49563.91
N0275,mid_market,2027Q1,green,37270.24
N0276,smb,2027Q1,green,13415.16
N0277,mid_market,2027Q1,green,32875.88
N0278,mid_market,2027Q1,green,52528.77
N0279,mid_market,2027Q1,green,66871.93
N0280,mid_market,2027Q1,green,19280.03
N0281,smb,2027Q1,yellow,9226.19
N0282,mid_market,2027Q1,green,28850.05
N0283,mid_market,2027Q1,yellow,17485.04
N0284,mid_market,2027Q1,green,22808.44
N0285,mid_market,2027Q1,green,65907.92
N0286,smb,2027Q1,green,3786.37
N0287,mid_market,2027Q1,green,49865.25
N0288,mid_market,2027Q1,green,49052.26
N0289,smb,2027Q1,green,10515.52
N0290,smb,2027Q1,green,9195.65
N0291,smb,2027Q1,yellow,6453.67
N0292,smb,2027Q1,yellow,11671.37
N0293,mid_market,2027Q1,green,22706.51
N0294,enterprise,2027Q1,green,107274.45
N0295,mid_market,2027Q1,green,38214.71
N0296,mid_market,2027Q1,green,54242.24
N0297,mid_market,2027Q1,yellow,24955.26
N0298,smb,2027Q1,green,11819.44
N0299,smb,2027Q1,red,5550.38
N0300,smb,2027Q1,yellow,10247.2
N0301,smb,2027Q1,green,11567.66
N0302,enterprise,2027Q1,green,148135.7
N0303,smb,2027Q1,green,11390.07
N0304,smb,2027Q1,green,13997.29
N0305,smb,2027Q1,green,9228.74
N0306,smb,2027Q1,green,6824.64
N0307,enterprise,2027Q1,red,180318.75
N0308,mid_market,2027Q1,green,68329.27
N0309,enterprise,2027Q1,green,282018.6
N0310,mid_market,2027Q1,yellow,58320.21
N0311,smb,2027Q1,green,3558.26
N0312,mid_market,2027Q1,green,21215.9
N0313,smb,2027Q1,green,10177.15
N0314,enterprise,2027Q1,green,208986.4
N0315,mid_market,2027Q1,green,61386.51
N0316,enterprise,2027Q1,green,110798.66
N0317,enterprise,2027Q1,red,296253.89
N0318,smb,2027Q1,green,9431.54
N0319,mid_market,2027Q1,red,62570.7
N0320,smb,2027Q1,green,8331.78
N0321,enterprise,2027Q1,yellow,183817.47
N0322,mid_market,2027Q1,green,59051.57
N0323,smb,2027Q1,green,6097.98
N0324,mid_market,2027Q1,green,27514.63
N0325,mid_market,2027Q1,green,58896.77
N0326,enterprise,2027Q1,green,90635.53
N0327,mid_market,2027Q1,green,50990.03
N0328,smb,2027Q1,red,7835.55
N0329,mid_market,2027Q1,green,51467.5
N0330,mid_market,2027Q1,green,63176.44
N0331,smb,2027Q1,green,5823.43
N0332,mid_market,2027Q2,green,33952.17
N0333,mid_market,2027Q2,green,41924.25
N0334,smb,2027Q2,yellow,4061.45
N0335,mid_market,2027Q2,green,56497.19
N0336,mid_market,2027Q2,yellow,61854.62
N0337,mid_market,2027Q2,yellow,17836.86
N0338,mid_market,2027Q2,yellow,21070.01
N0339,smb,2027Q2,green,12431.57
N0340,mid_market,2027Q2,green,62250.01
N0341,smb,2027Q2,yellow,2689.58
N0342,mid_market,2027Q2,green,49240.05
N0343,mid_market,2027Q2,green,63594.16
N0344,mid_market,2027Q2,yellow,41698.18
N0345,enterprise,2027Q2,green,120741.28
N0346,mid_market,2027Q2,green,27956.96
N0347,smb,2027Q2,green,3508.87
N0348,smb,2027Q2,green,11300.42
N0349,mid_market,2027Q2,green,40013.24
N0350,smb,2027Q2,green,10081.28
N0351,enterprise,2027Q2,green,147294.06
N0352,mid_market,2027Q2,green,48427.07
N0353,mid_market,2027Q2,yellow,67744.9
N0354,smb,2027Q2,yellow,12992.46
N0355,mid_market,2027Q2,green,36351.23
N0356,smb,2027Q2,green,7979.41
N0357,smb,2027Q2,green,10801.75
N0358,mid_market,2027Q2,green,69878.41
N0359,mid_market,2027Q2,yellow,47599.47
N0360,enterprise,2027Q2,green,274787.82
N0361,smb,2027Q2,green,12157.87
N0362,smb,2027Q2,green,9090.14
N0363,mid_market,2027Q2,yellow,34887.13
N0364,mid_market,2027Q2,green,57274.87
N0365,smb,2027Q2,green,13567.8
N0366,smb,2027Q2,green,3718.58
N0367,smb,2027Q2,green,6570.43
N0368,mid_market,2027Q2,green,50881.79
N0369,mid_market,2027Q2,green,64223.87
N0370,mid_market,2027Q2,green,19126.11
N0371,enterprise,2027Q2,green,261211.29
N0372,smb,2027Q2,green,9113.52
N0373,smb,2027Q2,green,8149.05
N0374,mid_market,2027Q2,green,44421.3
N0375,mid_market,2027Q2,green,32274.56
N0376,enterprise,2027Q2,red,298755.34
N0377,mid_market,2027Q2,green,27890.95
N0378,mid_market,2027Q2,green,42392.66
N0379,smb,2027Q2,yellow,3457.72
N0380,mid_market,2027Q2,green,41350.44
N0381,mid_market,2027Q2,green,53497.39
N0382,smb,2027Q2,green,7765.46
N0383,mid_market,2027Q2,green,52837.26
N0384,smb,2027Q2,green,4431.68
N0385,mid_market,2027Q2,green,67012.0
N0386,enterprise,2027Q2,green,143000.55
N0387,enterprise,2027Q2,green,246456.55
N0388,enterprise,2027Q2,green,199661.72
N0389,mid_market,2027Q2,red,46679.0
N0390,smb,2027Q2,green,11353.1
N0391,mid_market,2027Q2,green,62765.26
N0392,enterprise,2027Q2,red,136657.53
N0393,enterprise,2027Q2,red,195094.61
N0394,smb,2027Q2,green,7769.04
N0395,mid_market,2027Q2,green,37796.07
N0396,smb,2027Q2,green,12523.31
N0397,smb,2027Q2,green,7888.67
N0398,enterprise,2027Q2,green,185530.68
N0399,smb,2027Q2,red,3819.7
N0400,enterprise,2027Q2,green,270001.74
N0401,enterprise,2027Q2,green,176290.59
N0402,enterprise,2027Q2,green,90671.95
N0403,mid_market,2027Q2,yellow,15505.91
N0404,mid_market,2027Q2,green,27459.38
N0405,mid_market,2027Q2,green,30069.09
N0406,smb,2027Q2,yellow,11985.79
N0407,mid_market,2027Q2,red,32543.3
N0408,smb,2027Q2,green,3776.29
N0409,smb,2027Q2,green,12650.7
N0410,smb,2027Q2,yellow,3171.46
N0411,enterprise,2027Q2,green,99785.06
N0412,smb,2027Q2,green,3291.68
N0413,smb,2027Q2,green,11973.68
N0414,smb,2027Q2,green,3546.39
N0415,mid_market,2027Q2,green,19527.36
N0416,smb,2027Q2,green,11438.05
N0417,enterprise,2027Q2,yellow,299855.2
N0418,smb,2027Q2,green,5244.04
N0419,smb,2027Q2,green,3252.1
N0420,mid_market,2027Q2,green,65889.05
N0421,enterprise,2027Q2,green,103205.77
N0422,mid_market,2027Q2,yellow,67558.11
N0423,mid_market,2027Q2,red,55810.32
N0424,smb,2027Q2,yellow,2814.65
N0425,mid_market,2027Q2,green,48866.6
N0426,smb,2027Q2,yellow,10170.98
N0427,enterprise,2027Q2,yellow,162483.51
N0428,smb,2027Q2,green,6749.67
N0429,enterprise,2027Q2,green,212114.49
N0430,enterprise,2027Q2,red,287545.89
N0431,smb,2027Q2,green,3467.39
N0432,smb,2027Q2,yellow,12795.45
N0433,mid_market,2027Q2,yellow,15308.1
N0434,smb,2027Q2,yellow,6109.11
N0435,mid_market,2027Q2,yellow,66053.3
N0436,smb,2027Q2,green,3855.33
N0437,mid_market,2027Q2,green,41464.81
N0438,mid_market,2027Q2,green,23671.18
N0439,mid_market,2027Q2,green,51852.22
N0440,mid_market,2027Q2,red,63733.45
N0441,enterprise,2027Q2,green,129100.81
