opp_id,segment,close_quarter,stage,amount
O0128,smb,2026Q3,demo,19304.38
O0129,smb,2026Q3,negotiation,17526.16
O0130,enterprise,2026Q3,negotiation,361797.49
O0131,smb,2026Q3,discovery,10239.07
O0132,mid_market,2026Q3,negotiation,54313.02
O0133,smb,2026Q3,discovery,6192.19
O0134,mid_market,2026Q3,discovery,66543.08
O0135,mid_market,2026Q3,proposal,44835.45
O0136,mid_market,2026Q3,discovery,85407.42
O0137,mid_market,2026Q3,proposal,71229.85
O0138,smb,2026Q3,proposal,12684.57
O0139,smb,2026Q3,discovery,4539.9
O0140,enterprise,2026Q3,demo,210232.98
O0141,smb,2026Q3,negotiation,19096.48
O0142,smb,2026Q3,discovery,8765.03
O0143,enterprise,2026Q3,proposal,316133.64
O0144,smb,2026Q3,demo,19312.15
O0145,mid_market,2026Q3,discovery,28337.05
O0146,smb,2026Q3,demo,4941.73
O0147,mid_market,2026Q3,demo,68572.85
O0148,enterprise,2026Q3,demo,249233.74
O0149,smb,2026Q3,demo,13079.18
O0150,enterprise,2026Q3,discovery,250460.92
O0151,mid_market,2026Q3,proposal,31223.89
O0152,enterprise,2026Q3,proposal,293521.38
O0153,smb,2026Q3,demo,6376.59
O0154,smb,2026Q3,proposal,8646.62
O0155,enterprise,2026Q3,demo,225135.7
O0156,enterprise,2026Q3,demo,244315.11
O0157,enterprise,2026Q3,proposal,278581.2
O0158,smb,2026Q3,proposal,11649.05
O0159,smb,2026Q3,discovery,19309.27
O0160,enterprise,2026Q3,discovery,224968.72
O0161,mid_market,2026Q3,discovery,38990.65
O0162,mid_market,2026Q3,negotiation,85818.76
O0163,mid_market,2026Q3,negotiation,31332.19
O0164,enterprise,2026Q3,demo,154925.58
O0165,smb,2026Q3,proposal,4848.7
O0166,mid_market,2026Q3,discovery,53701.43
O0167,mid_market,2026Q3,discovery,54275.21
O0168,mid_market,2026Q3,proposal,32321.41
O0169,smb,2026Q3,proposal,6690.55
O0170,enterprise,2026Q3,proposal,192524.12
O0171,mid_market,2026Q3,discovery,78946.86
O0172,enterprise,2026Q3,demo,105512.15
O0173,mid_market,2026Q3,negotiation,24441.83
O0174,mid_market,2026Q3,demo,88375.13
O0175,mid_market,2026Q3,discovery,79608.24
O0176,enterprise,2026Q3,proposal,159300.37
O0177,enterprise,2026Q3,proposal,282701.39
O0178,mid_market,2026Q3,demo,39455.46
O0179,smb,2026Q3,demo,6801.84
O0180,smb,2026Q3,demo,14480.89
O0181,smb,2026Q3,proposal,19593.51
O0182,mid_market,2026Q3,proposal,63955.13
O0183,mid_market,2026Q3,discovery,23075.16
O0184,mid_market,2026Q3,demo,75529.52
O0185,mid_market,2026Q3,demo,35588.99
O0186,smb,2026Q3,discovery,18329.92
O0187,mid_market,2026Q3,demo,67585.09
O0188,mid_market,2026Q3,proposal,26674.2
O0189,enterprise,2026Q3,proposal,158470.65
O0190,mid_market,2026Q3,demo,83812.72
O0191,mid_market,2026Q3,discovery,81895.39
O0192,smb,2026Q3,proposal,6470.92
O0193,enterprise,2026Q3,demo,352739.96
O0194,mid_market,2026Q3,discovery,52744.59
O0195,mid_market,2026Q3,proposal,21625.61
O0196,mid_market,2026Q3,demo,37601.38
O0197,mid_market,2026Q3,demo,69813.1
O0198,smb,2026Q3,discovery,9593.03
O0199,enterprise,2026Q3,proposal,297060.94
O0200,mid_market,2026Q3,discovery,58113.6
O0201,smb,2026Q3,proposal,4189.96
O0202,mid_market,2026Q3,demo,61339.41
O0203,smb,2026Q3,negotiation,15186.02
O0204,smb,2026Q3,demo,10610.59
O0205,mid_market,2026Q3,negotiation,55163.49
O0206,smb,2026Q3,discovery,4577.52
O0207,mid_market,2026Q3,discovery,85978.53
O0208,smb,2026Q3,demo,5134.35
O0209,mid_market,2026Q3,discovery,39854.6
O0210,smb,2026Q3,demo,17049.58
O0211,smb,2026Q4,negotiation,10782.26
O0212,smb,2026Q4,demo,9112.55
O0213,enterprise,2026Q4,proposal,314233.3
O0214,enterprise,2026Q4,discovery,196576.02
O0215,mid_market,2026Q4,discovery,53148.58
O0216,smb,2026Q4,discovery,19458.49
O0217,mid_market,2026Q4,discovery,56461.05
O0218,smb,2026Q4,proposal,18940.44
O0219,enterprise,2026Q4,negotiation,350601.63
O0220,enterprise,2026Q4,proposal,200450.63
O0221,enterprise,2026Q4,negotiation,334221.29
O0222,smb,2026Q4,discovery,19531.86
O0223,enterprise,2026Q4,discovery,312799.23
O0224,mid_market,2026Q4,discovery,69491.89
O0225,mid_market,2026Q4,demo,47982.14
O0226,mid_market,2026Q4,demo,20897.42
O0227,mid_market,2026Q4,proposal,86426.51
O0228,enterprise,2026Q4,discovery,279614.83
O0229,enterprise,2026Q4,proposal,250246.27
O0230,mid_market,2026Q4,discovery,47798.25
O0231,mid_market,2026Q4,negotiation,87918.73
O0232,smb,2026Q4,discovery,17188.56
O0233,smb,2026Q4,negotiation,6268.81
O0234,mid_market,2026Q4,demo,79127.11
O0235,mid_market,2026Q4,discovery,71882.36
O0236,mid_market,2026Q4,negotiation,47931.33
O0237,mid_market,2026Q4,demo,34682.62
O0238,mid_market,2026Q4,proposal,55124.94
O0239,smb,2026Q4,discovery,10629.57
O0240,mid_market,2026Q4,discovery,88512.21
O0241,mid_market,2026Q4,discovery,53473.81
O0242,enterprise,2026Q4,discovery,295265.82
O0243,mid_market,2026Q4,negotiation,80018.36
O0244,smb,2026Q4,demo,8302.09
O0245,enterprise,2026Q4,discovery,144878.1
O0246,smb,2026Q4,proposal,17447.82
O0247,smb,2026Q4,proposal,18752.94
O0248,smb,2026Q4,proposal,11499.8
O0249,smb,2026Q4,proposal,5010.91
O0250,enterprise,2026Q4,discovery,172057.7
O0251,mid_market,2026Q4,proposal,74967.08
O0252,smb,2026Q4,discovery,15779.79
O0253,smb,2026Q4,discovery,10629.82
O0254,smb,2026Q4,demo,7930.38
O0255,enterprise,2026Q4,proposal,291530.98
O0256,mid_market,2026Q4,demo,20425.62
O0257,enterprise,2026Q4,discovery,327688.3
O0258,smb,2026Q4,proposal,9118.5
O0259,mid_market,2026Q4,demo,87301.81
O0260,enterprise,2026Q4,proposal,313222.64
O0261,smb,2026Q4,discovery,17534.6
O0262,enterprise,2026Q4,discovery,300999.52
O0263,enterprise,2026Q4,discovery,278505.94
O0264,mid_market,2026Q4,demo,85958.44
O0265,mid_market,2026Q4,negotiation,20222.13
O0266,mid_market,2026Q4,proposal,27141.86
O0267,smb,2026Q4,negotiation,19184.05
O0268,smb,2026Q4,discovery,10037.6
O0269,smb,2026Q4,discovery,12004.19
O0270,mid_market,2026Q4,negotiation,72925.1
O0271,enterprise,2026Q4,negotiation,353121.04
O0272,mid_market,2026Q4,demo,47509.13
O0273,smb,2026Q4,proposal,8185.22
O0274,enterprise,2026Q4,proposal,97788.13
O0275,mid_market,2026Q4,discovery,25854.93
O0276,enterprise,2026Q4,negotiation,109440.18
O0277,mid_market,2026Q4,demo,64121.15
O0278,mid_market,2026Q4,discovery,21396.71
O0279,smb,2026Q4,demo,12700.7
O0280,mid_market,2026Q4,demo,79930.21
O0281,mid_market,2026Q4,proposal,49801.09
O0282,mid_market,2026Q4,discovery,41240.59
O0283,mid_market,2026Q4,discovery,64277.65
O0284,enterprise,2026Q4,discovery,155090.1
O0285,mid_market,2026Q4,discovery,20751.72
O0286,mid_market,2026Q4,demo,37356.8
O0287,enterprise,2026Q4,discovery,129326.47
O0288,mid_market,2026Q4,demo,83151.18
O0289,mid_market,2026Q4,proposal,43572.43
O0290,smb,2026Q4,demo,19443.9
O0291,smb,2026Q4,proposal,7447.81
O0292,enterprise,2026Q4,demo,321937.46
O0293,mid_market,2026Q4,negotiation,74191.61
O0294,mid_market,2026Q4,demo,29256.46
O0295,smb,2026Q4,discovery,8198.61
O0296,mid_market,2026Q4,demo,60458.67
O0297,mid_market,2026Q4,discovery,30559.8
O0298,mid_market,2026Q4,demo,34969.54
O0299,smb,2026Q4,proposal,11011.07
O0300,smb,2026Q4,discovery,7221.45
O0301,mid_market,2026Q4,discovery,49027.62
O0302,mid_market,2026Q4,demo,68882.45
O0303,smb,2026Q4,negotiation,14225.69
O0304,mid_market,2026Q4,discovery,70156.54
O0305,enterprise,2026Q4,negotiation,184505.95
O0306,mid_market,2026Q4,demo,39900.66
O0307,smb,2026Q4,demo,18123.01
O0308,mid_market,2026Q4,proposal,54785.21
O0309,mid_market,2026Q4,proposal,66002.96
O0310,smb,2026Q4,discovery,11570.29
O0311,mid_market,2026Q4,discovery,89257.07
O0312,smb,2026Q4,demo,7269.99
O0313,smb,2026Q4,discovery,9889.0
O0314,smb,2026Q4,demo,6068.97
O0315,enterprise,2026Q4,discovery,284183.61
O0316,mid_market,2026Q4,negotiation,63915.79
O0317,enterprise,2026Q4,demo,329028.15
O0318,smb,2026Q4,proposal,15883.05
O0319,smb,2026Q4,discovery,16853.49
O0320,mid_market,2026Q4,negotiation,24685.3
O0321,enterprise,2026Q4,demo,226794.89
O0322,mid_market,2026Q4,discovery,49834.51
O0323,smb,2026Q4,proposal,15130.0
O0324,enterprise,2026Q4,proposal,216067.3
O0325,smb,2026Q4,proposal,14143.6
O0326,mid_market,2026Q4,discovery,57966.25
O0327,enterprise,2026Q4,demo,379331.21
O0328,enterprise,2026Q4,demo,154279.37
O0329,smb,2026Q4,negotiation,12111.02
O0330,mid_market,2026Q4,proposal,57058.82
O0331,enterprise,2026Q4,discovery,362164.2
O0332,mid_market,2026Q4,negotiation,86464.06
O0333,smb,2026Q4,proposal,4801.47
O0334,mid_market,2026Q4,discovery,88190.15
O0335,smb,2026Q4,demo,18855.3
O0336,enterprise,2026Q4,discovery,366490.71
O0337,smb,2026Q4,discovery,10369.7
O0338,mid_market,2026Q4,discovery,88342.46
O0339,smb,2026Q4,proposal,18085.17
O0340,mid_market,2026Q4,discovery,63705.73
O0341,mid_market,2026Q4,demo,77840.49
O0342,enterprise,2026Q4,discovery,130047.88
O0343,mid_market,2026Q4,demo,89382.72
O0344,smb,2026Q4,demo,6987.3
O0345,mid_market,2026Q4,demo,27957.1
O0346,enterprise,2026Q4,discovery,355911.49
O0347,smb,2026Q4,demo,7728.31
O0348,smb,2026Q4,proposal,12580.0
O0349,mid_market,2026Q4,proposal,21784.89
O0350,mid_market,2026Q4,discovery,82707.99
O0351,smb,2026Q4,discovery,8921.73
O0352,smb,2026Q4,discovery,18304.33
O0353,enterprise,2026Q4,proposal,218027.45
O0354,smb,2026Q4,discovery,8221.72
O0355,mid_market,2026Q4,demo,26087.45
O0356,mid_market,2026Q4,proposal,44176.68
O0357,enterprise,2026Q4,negotiation,353011.81
O0358,smb,2026Q4,discovery,10912.8
O0359,enterprise,2026Q4,discovery,359934.38
O0360,mid_market,2026Q4,discovery,68347.14
O0361,mid_market,2027Q1,discovery,36912.18
O0362,smb,2027Q1,discovery,11575.32
O0363,smb,2027Q1,discovery,16091.34
O0364,enterprise,2027Q1,discovery,245497.48
O0365,enterprise,2027Q1,discovery,187785.42
O0366,smb,2027Q1,discovery,5003.23
O0367,mid_market,2027Q1,discovery,73802.17
O0368,smb,2027Q1,discovery,10849.97
O0369,mid_market,2027Q1,demo,61929.05
O0370,enterprise,2027Q1,discovery,367208.76
O0371,mid_market,2027Q1,discovery,55060.09
O0372,enterprise,2027Q1,discovery,110724.12
O0373,mid_market,2027Q1,discovery,35453.42
O0374,mid_market,2027Q1,demo,70334.93
O0375,mid_market,2027Q1,discovery,81876.82
O0376,enterprise,2027Q1,discovery,272019.38
O0377,mid_market,2027Q1,discovery,66288.22
O0378,enterprise,2027Q1,discovery,356587.01
O0379,enterprise,2027Q1,discovery,124130.41
O0380,enterprise,2027Q1,discovery,205673.91
O0381,smb,2027Q1,demo,12616.38
O0382,mid_market,2027Q1,discovery,31929.51
O0383,mid_market,2027Q1,discovery,48600.44
O0384,smb,2027Q1,discovery,7521.01
O0385,enterprise,2027Q1,discovery,378319.03
O0386,smb,2027Q1,demo,7319.79
O0387,smb,2027Q1,demo,7114.78
O0388,mid_market,2027Q1,discovery,62256.35
O0389,smb,2027Q1,proposal,8591.89
O0390,smb,2027Q1,discovery,9294.97
O0391,mid_market,2027Q1,discovery,59901.21
O0392,smb,2027Q1,discovery,10076.35
O0393,enterprise,2027Q1,discovery,179103.59
O0394,mid_market,2027Q1,demo,56236.83
O0395,mid_market,2027Q1,discovery,66374.51
O0396,enterprise,2027Q1,discovery,121619.21
O0397,smb,2027Q1,discovery,16699.1
O0398,enterprise,2027Q1,negotiation,369413.66
O0399,smb,2027Q1,demo,4745.54
O0400,mid_market,2027Q1,discovery,57270.9
O0401,mid_market,2027Q1,demo,79307.23
O0402,smb,2027Q1,discovery,18664.28
O0403,mid_market,2027Q1,discovery,87682.56
O0404,smb,2027Q1,discovery,14985.79
O0405,mid_market,2027Q1,discovery,61500.89
O0406,mid_market,2027Q1,discovery,62625.45
O0407,smb,2027Q1,discovery,13174.21
O0408,mid_market,2027Q1,demo,23535.3
O0409,mid_market,2027Q1,discovery,34679.6
O0410,smb,2027Q1,discovery,6159.61
O0411,smb,2027Q1,negotiation,8257.33
O0412,mid_market,2027Q1,discovery,51396.95
O0413,smb,2027Q1,discovery,17980.27
O0414,smb,2027Q1,discovery,7268.4
O0415,smb,2027Q1,proposal,15438.02
O0416,enterprise,2027Q2,discovery,124962.47
O0417,mid_market,2027Q2,discovery,30937.93
O0418,smb,2027Q2,discovery,8410.74
O0419,enterprise,2027Q2,discovery,91553.2
O0420,smb,2027Q2,demo,8702.7
O0421,mid_market,2027Q2,discovery,28738.58
O0422,mid_market,2027Q2,discovery,73264.51
O0423,mid_market,2027Q2,proposal,29450.39
O0424,mid_market,2027Q2,discovery,83704.32
O0425,mid_market,2027Q2,discovery,52422.38
O0426,smb,2027Q2,discovery,15330.14
O0427,mid_market,2027Q2,discovery,38637.68
O0428,smb,2027Q2,discovery,8616.75
O0429,mid_market,2027Q2,discovery,47878.16
O0430,enterprise,2027Q2,discovery,134369.52
O0431,mid_market,2027Q2,demo,52480.36
O0432,enterprise,2027Q2,demo,325990.12
O0433,enterprise,2027Q2,discovery,99023.75
O0434,smb,2027Q2,discovery,11800.34
O0435,mid_market,2027Q2,discovery,82025.52
O0436,mid_market,2027Q2,discovery,79631.24
O0437,smb,2027Q2,discovery,18267.39
O0438,mid_market,2027Q2,discovery,50007.32
O0439,smb,2027Q2,discovery,5184.36
O0440,smb,2027Q2,discovery,18808.96
O0441,smb,2027Q2,demo,6436.03
O0442,mid_market,2027Q2,negotiation,50529.03
O0443,mid_market,2027Q2,discovery,72390.07
O0444,mid_market,2027Q2,discovery,51198.77
O0445,enterprise,2027Q2,discovery,256260.67
O0446,smb,2027Q2,discovery,16579.6
O0447,smb,2027Q2,demo,15717.61
O0448,mid_market,2027Q2,discovery,25254.54
O0449,mid_market,2027Q2,demo,77610.04
O0450,enterprise,2027Q2,discovery,175179.28
O0451,enterprise,2027Q2,discovery,175209.95
O0452,mid_market,2027Q2,discovery,36614.87
O0453,mid_market,2027Q2,discovery,73384.3
O0454,smb,2027Q2,discovery,6480.97
O0455,smb,2027Q2,demo,14495.02
O0456,smb,2027Q2,demo,6989.68
O0457,mid_market,2027Q2,discovery,39345.26
O0458,mid_market,2027Q2,demo,41902.48
O0459,enterprise,2027Q2,discovery,373855.15
O0460,enterprise,2027Q2,demo,290370.08
O0461,mid_market,2027Q2,discovery,77613.04
O0462,smb,2027Q2,discovery,8118.65
O0463,enterprise,2027Q2,demo,348417.89
O0464,smb,2027Q2,negotiation,18850.99
O0465,enterprise,2027Q2,proposal,215345.42
O0466,mid_market,2027Q2,demo,31290.44
O0467,smb,2027Q2,discovery,19987.56
O0468,mid_market,2027Q2,discovery,62682.82
O0469,enterprise,2027Q2,discovery,363800.94
O0470,smb,2027Q2,demo,9506.61
O0471,smb,2027Q2,discovery,6495.53
O0472,mid_market,2027Q2,discovery,27608.55
O0473,smb,2027Q2,discovery,11809.14
O0474,mid_market,2027Q2,discovery,63972.94
O0475,enterprise,2027Q2,discovery,93293.78
O0476,enterprise,2027Q2,discovery,338869.59
O0477,mid_market,2027Q2,discovery,52052.23
O0478,enterprise,2027Q2,discovery,337857.85
O0479,mid_market,2027Q2,demo,57069.1
O0480,smb,2027Q2,discovery,11465.05
O0481,mid_market,2027Q2,discovery,84415.53
O0482,enterprise,2027Q2,discovery,307137.95
O0483,mid_market,2027Q2,discovery,31165.38
O0484,smb,2027Q2,discovery,16386.98
O0485,mid_market,2027Q2,demo,73621.24
O0486,enterprise,2027Q2,discovery,376535.89
O0487,mid_market,2027Q2,discovery,66397.21
O0488,mid_market,2027Q2,demo,24293.07
O0489,enterprise,2027Q2,discovery,106841.94
O0490,enterprise,2027Q2,discovery,272102.45
O0491,mid_market,2027Q2,discovery,26097.07
O0492,enterprise,2027Q2,discovery,204788.77
O0493,smb,2027Q2,demo,9151.14
O0494,smb,2027Q2,discovery,4252.0
O0495,mid_market,2027Q2,discovery,56974.02
O0496,smb,2027Q2,discovery,17332.44
O0497,mid_market,2027Q2,discovery,56814.15
O0498,mid_market,2027Q2,negotiation,62610.51
O0499,smb,2027Q2,discovery,19518.4
O0500,mid_market,2027Q2,discovery,39662.31
O0501,mid_market,2027Q2,negotiation,27620.02
O0502,smb,2027Q2,discovery,12636.04
O0503,smb,2027Q2,discovery,17700.38
O0504,smb,2027Q2,discovery,12971.87
O0505,mid_market,2027Q2,demo,47642.6
