lease,month,payment,interest,liab_end,rou_amort,rou_end,single_cost
"HQ — Mission St, SF",2029-05,109852.81,5389.08,1071336.26,95317.56,979874.60,100706.64
"HQ — Mission St, SF",2029-06,109852.81,4910.29,966393.74,95796.35,884078.25,100706.64
"HQ — Mission St, SF",2029-07,109852.81,4429.30,860970.23,96277.34,787800.91,100706.64
"HQ — Mission St, SF",2029-08,109852.81,3946.11,755063.54,96760.53,691040.38,100706.64
"HQ — Mission St, SF",2029-09,109852.81,3460.71,648671.44,97245.94,593794.44,100706.64
"HQ — Mission St, SF",2029-10,109852.81,2973.08,541791.70,97733.57,496060.87,100706.64
"HQ — Mission St, SF",2029-11,109852.81,2483.21,434422.11,98223.43,397837.44,100706.64
"HQ — Mission St, SF",2029-12,109852.81,1991.10,326560.40,98715.54,299121.90,100706.64
"HQ — Mission St, SF",2030-01,109852.81,1496.74,218204.32,99209.91,199911.99,100706.64
"HQ — Mission St, SF",2030-02,109852.81,1000.10,109351.62,99706.54,100205.45,100706.64
"HQ — Mission St, SF",2030-03,109852.81,501.19,-0.00,100205.45,-0.00,100706.64
NYC office — Hudson Yards,2024-02,61000.00,16692.58,3294208.49,48078.88,3290437.03,64771.46
NYC office — Hudson Yards,2024-03,61000.00,16471.04,3249679.53,48300.42,3242136.61,64771.46
NYC office — Hudson Yards,2024-04,61000.00,16248.40,3204927.93,48523.06,3193613.55,64771.46
NYC office — Hudson Yards,2024-05,61000.00,16024.64,3159952.56,48746.82,3144866.73,64771.46
NYC office — Hudson Yards,2024-06,61000.00,15799.76,3114752.33,48971.70,3095895.04,64771.46
NYC office — Hudson Yards,2024-07,61000.00,15573.76,3069326.09,49197.70,3046697.34,64771.46
NYC office — Hudson Yards,2024-08,61000.00,15346.63,3023672.72,49424.83,2997272.51,64771.46
NYC office — Hudson Yards,2024-09,61000.00,15118.36,2977791.08,49653.09,2947619.42,64771.46
NYC office — Hudson Yards,2024-10,61000.00,14888.96,2931680.04,49882.50,2897736.92,64771.46
NYC office — Hudson Yards,2024-11,61000.00,14658.40,2885338.44,50113.06,2847623.86,64771.46
NYC office — Hudson Yards,2024-12,61000.00,14426.69,2838765.13,50344.77,2797279.09,64771.46
NYC office — Hudson Yards,2025-01,61000.00,14193.83,2791958.96,50577.63,2746701.46,64771.46
NYC office — Hudson Yards,2025-02,62830.00,13959.79,2743088.75,50811.66,2695889.80,64771.46
NYC office — Hudson Yards,2025-03,62830.00,13715.44,2693974.20,51056.01,2644833.78,64771.46
NYC office — Hudson Yards,2025-04,62830.00,13469.87,2644614.07,51301.59,2593532.20,64771.46
NYC office — Hudson Yards,2025-05,62830.00,13223.07,2595007.14,51548.39,2541983.81,64771.46
NYC office — Hudson Yards,2025-06,62830.00,12975.04,2545152.17,51796.42,2490187.39,64771.46
NYC office — Hudson Yards,2025-07,62830.00,12725.76,2495047.93,52045.70,2438141.69,64771.46
NYC office — Hudson Yards,2025-08,62830.00,12475.24,2444693.17,52296.22,2385845.47,64771.46
NYC office — Hudson Yards,2025-09,62830.00,12223.47,2394086.64,52547.99,2333297.48,64771.46
NYC office — Hudson Yards,2025-10,62830.00,11970.43,2343227.07,52801.02,2280496.45,64771.46
NYC office — Hudson Yards,2025-11,62830.00,11716.14,2292113.21,53055.32,2227441.13,64771.46
NYC office — Hudson Yards,2025-12,62830.00,11460.57,2240743.77,53310.89,2174130.24,64771.46
NYC office — Hudson Yards,2026-01,62830.00,11203.72,2189117.49,53567.74,2120562.50,64771.46
NYC office — Hudson Yards,2026-02,64714.90,10945.59,2135348.18,53825.87,2066736.63,64771.46
NYC office — Hudson Yards,2026-03,64714.90,10676.74,2081310.02,54094.72,2012641.91,64771.46
NYC office — Hudson Yards,2026-04,64714.90,10406.55,2027001.67,54364.91,1958277.00,64771.46
NYC office — Hudson Yards,2026-05,64714.90,10135.01,1972421.78,54636.45,1903640.55,64771.46
NYC office — Hudson Yards,2026-06,64714.90,9862.11,1917568.99,54909.35,1848731.21,64771.46
NYC office — Hudson Yards,2026-07,64714.90,9587.84,1862441.93,55183.61,1793547.59,64771.46
NYC office — Hudson Yards,2026-08,64714.90,9312.21,1807039.24,55459.25,1738088.34,64771.46
NYC office — Hudson Yards,2026-09,64714.90,9035.20,1751359.54,55736.26,1682352.08,64771.46
NYC office — Hudson Yards,2026-10,64714.90,8756.80,1695401.44,56014.66,1626337.42,64771.46
NYC office — Hudson Yards,2026-11,64714.90,8477.01,1639163.54,56294.45,1570042.97,64771.46
NYC office — Hudson Yards,2026-12,64714.90,8195.82,1582644.46,56575.64,1513467.33,64771.46
NYC office — Hudson Yards,2027-01,64714.90,7913.22,1525842.78,56858.24,1456609.10,64771.46
NYC office — Hudson Yards,2027-02,66656.35,7629.21,1466815.65,57142.24,1399466.85,64771.46
NYC office — Hudson Yards,2027-03,66656.35,7334.08,1407493.38,57437.38,1342029.47,64771.46
NYC office — Hudson Yards,2027-04,66656.35,7037.47,1347874.49,57733.99,1284295.48,64771.46
NYC office — Hudson Yards,2027-05,66656.35,6739.37,1287957.52,58032.09,1226263.40,64771.46
NYC office — Hudson Yards,2027-06,66656.35,6439.79,1227740.95,58331.67,1167931.72,64771.46
NYC office — Hudson Yards,2027-07,66656.35,6138.70,1167223.31,58632.75,1109298.97,64771.46
NYC office — Hudson Yards,2027-08,66656.35,5836.12,1106403.07,58935.34,1050363.63,64771.46
NYC office — Hudson Yards,2027-09,66656.35,5532.02,1045278.74,59239.44,991124.19,64771.46
NYC office — Hudson Yards,2027-10,66656.35,5226.39,983848.78,59545.06,931579.12,64771.46
NYC office — Hudson Yards,2027-11,66656.35,4919.24,922111.68,59852.21,871726.91,64771.46
NYC office — Hudson Yards,2027-12,66656.35,4610.56,860065.89,60160.90,811566.01,64771.46
NYC office — Hudson Yards,2028-01,66656.35,4300.33,797709.86,60471.13,751094.88,64771.46
NYC office — Hudson Yards,2028-02,68656.04,3988.55,733042.37,60782.91,690311.97,64771.46
NYC office — Hudson Yards,2028-03,68656.04,3665.21,668051.55,61106.25,629205.73,64771.46
NYC office — Hudson Yards,2028-04,68656.04,3340.26,602735.76,61431.20,567774.53,64771.46
NYC office — Hudson Yards,2028-05,68656.04,3013.68,537093.40,61757.78,506016.75,64771.46
NYC office — Hudson Yards,2028-06,68656.04,2685.47,471122.83,62085.99,443930.76,64771.46
NYC office — Hudson Yards,2028-07,68656.04,2355.61,404822.40,62415.84,381514.91,64771.46
NYC office — Hudson Yards,2028-08,68656.04,2024.11,338190.48,62747.35,318767.57,64771.46
NYC office — Hudson Yards,2028-09,68656.04,1690.95,271225.39,63080.51,255687.06,64771.46
NYC office — Hudson Yards,2028-10,68656.04,1356.13,203925.47,63415.33,192271.73,64771.46
NYC office — Hudson Yards,2028-11,68656.04,1019.63,136289.06,63751.83,128519.90,64771.46
NYC office — Hudson Yards,2028-12,68656.04,681.45,68314.47,64090.01,64429.89,64771.46
NYC office — Hudson Yards,2029-01,68656.04,341.57,0.00,64429.89,0.00,64771.46
Austin office,2024-09,24000.00,5332.41,1047813.62,19769.36,1046711.86,25101.76
Austin office,2024-10,24000.00,5239.07,1029052.69,19862.69,1026849.17,25101.76
Austin office,2024-11,24000.00,5145.26,1010197.95,19956.50,1006892.67,25101.76
Austin office,2024-12,24000.00,5050.99,991248.94,20050.77,986841.89,25101.76
Austin office,2025-01,24000.00,4956.24,972205.19,20145.52,966696.38,25101.76
Austin office,2025-02,24000.00,4861.03,953066.21,20240.74,946455.64,25101.76
Austin office,2025-03,24000.00,4765.33,933831.55,20336.43,926119.21,25101.76
Austin office,2025-04,24000.00,4669.16,914500.70,20432.60,905686.60,25101.76
Austin office,2025-05,24000.00,4572.50,895073.21,20529.26,885157.34,25101.76
Austin office,2025-06,24000.00,4475.37,875548.57,20626.40,864530.95,25101.76
Austin office,2025-07,24000.00,4377.74,855926.32,20724.02,843806.93,25101.76
Austin office,2025-08,24000.00,4279.63,836205.95,20822.13,822984.80,25101.76
Austin office,2025-09,24720.00,4181.03,815666.98,20920.73,802064.06,25101.76
Austin office,2025-10,24720.00,4078.33,795025.31,21023.43,781040.64,25101.76
Austin office,2025-11,24720.00,3975.13,774280.44,21126.64,759914.00,25101.76
Austin office,2025-12,24720.00,3871.40,753431.84,21230.36,738683.64,25101.76
Austin office,2026-01,24720.00,3767.16,732479.00,21334.60,717349.04,25101.76
Austin office,2026-02,24720.00,3662.40,711421.40,21439.37,695909.67,25101.76
Austin office,2026-03,24720.00,3557.11,690258.50,21544.66,674365.01,25101.76
Austin office,2026-04,24720.00,3451.29,668989.79,21650.47,652714.54,25101.76
Austin office,2026-05,24720.00,3344.95,647614.74,21756.81,630957.73,25101.76
Austin office,2026-06,24720.00,3238.07,626132.82,21863.69,609094.04,25101.76
Austin office,2026-07,24720.00,3130.66,604543.48,21971.10,587122.94,25101.76
Austin office,2026-08,24720.00,3022.72,582846.20,22079.05,565043.90,25101.76
Austin office,2026-09,25461.60,2914.23,560298.83,22187.53,542856.37,25101.76
Austin office,2026-10,25461.60,2801.49,537638.72,22300.27,520556.10,25101.76
Austin office,2026-11,25461.60,2688.19,514865.32,22413.57,498142.53,25101.76
Austin office,2026-12,25461.60,2574.33,491978.04,22527.44,475615.09,25101.76
Austin office,2027-01,25461.60,2459.89,468976.33,22641.87,452973.22,25101.76
Austin office,2027-02,25461.60,2344.88,445859.62,22756.88,430216.34,25101.76
Austin office,2027-03,25461.60,2229.30,422627.31,22872.46,407343.88,25101.76
Austin office,2027-04,25461.60,2113.14,399278.85,22988.63,384355.25,25101.76
Austin office,2027-05,25461.60,1996.39,375813.64,23105.37,361249.88,25101.76
Austin office,2027-06,25461.60,1879.07,352231.11,23222.69,338027.19,25101.76
Austin office,2027-07,25461.60,1761.16,328530.67,23340.61,314686.58,25101.76
Austin office,2027-08,25461.60,1642.65,304711.72,23459.11,291227.47,25101.76
Austin office,2027-09,26225.45,1523.56,280009.83,23578.20,267649.27,25101.76
Austin office,2027-10,26225.45,1400.05,255184.43,23701.71,243947.55,25101.76
Austin office,2027-11,26225.45,1275.92,230234.90,23825.84,220121.71,25101.76
Austin office,2027-12,26225.45,1151.17,205160.63,23950.59,196171.13,25101.76
Austin office,2028-01,26225.45,1025.80,179960.98,24075.96,172095.17,25101.76
Austin office,2028-02,26225.45,899.80,154635.33,24201.96,147893.21,25101.76
Austin office,2028-03,26225.45,773.18,129183.06,24328.59,123564.62,25101.76
Austin office,2028-04,26225.45,645.92,103603.53,24455.85,99108.78,25101.76
Austin office,2028-05,26225.45,518.02,77896.09,24583.74,74525.03,25101.76
Austin office,2028-06,26225.45,389.48,52060.12,24712.28,49812.75,25101.76
Austin office,2028-07,26225.45,260.30,26094.98,24841.46,24971.29,25101.76
Austin office,2028-08,26225.45,130.47,0.00,24971.29,0.00,25101.76
London office — Shoreditch,2025-01,48500.00,15259.81,3123962.05,37026.50,3120175.74,52286.31
London office — Shoreditch,2025-02,48500.00,15099.15,3090561.20,37187.16,3082988.58,52286.31
London office — Shoreditch,2025-03,48500.00,14937.71,3056998.91,37348.60,3045639.97,52286.31
London office — Shoreditch,2025-04,48500.00,14775.49,3023274.41,37510.82,3008129.16,52286.31
London office — Shoreditch,2025-05,48500.00,14612.49,2989386.90,37673.82,2970455.34,52286.31
London office — Shoreditch,2025-06,48500.00,14448.70,2955335.61,37837.61,2932617.73,52286.31
London office — Shoreditch,2025-07,48500.00,14284.12,2921119.73,38002.19,2894615.53,52286.31
London office — Shoreditch,2025-08,48500.00,14118.75,2886738.47,38167.57,2856447.97,52286.31
London office — Shoreditch,2025-09,48500.00,13952.57,2852191.04,38333.74,2818114.22,52286.31
London office — Shoreditch,2025-10,48500.00,13785.59,2817476.63,38500.72,2779613.50,52286.31
London office — Shoreditch,2025-11,48500.00,13617.80,2782594.44,38668.51,2740944.99,52286.31
London office — Shoreditch,2025-12,48500.00,13449.21,2747543.64,38837.11,2702107.88,52286.31
London office — Shoreditch,2026-01,49955.00,13279.79,2710868.44,39006.52,2663101.36,52286.31
London office — Shoreditch,2026-02,49955.00,13102.53,2674015.97,39183.78,2623917.58,52286.31
London office — Shoreditch,2026-03,49955.00,12924.41,2636985.38,39361.90,2584555.68,52286.31
London office — Shoreditch,2026-04,49955.00,12745.43,2599775.81,39540.88,2545014.79,52286.31
London office — Shoreditch,2026-05,49955.00,12565.58,2562386.39,39720.73,2505294.06,52286.31
London office — Shoreditch,2026-06,49955.00,12384.87,2524816.26,39901.45,2465392.62,52286.31
London office — Shoreditch,2026-07,49955.00,12203.28,2487064.54,40083.03,2425309.58,52286.31
London office — Shoreditch,2026-08,49955.00,12020.81,2449130.35,40265.50,2385044.08,52286.31
London office — Shoreditch,2026-09,49955.00,11837.46,2411012.81,40448.85,2344595.23,52286.31
London office — Shoreditch,2026-10,49955.00,11653.23,2372711.04,40633.08,2303962.15,52286.31
London office — Shoreditch,2026-11,49955.00,11468.10,2334224.14,40818.21,2263143.94,52286.31
London office — Shoreditch,2026-12,49955.00,11282.08,2295551.23,41004.23,2222139.71,52286.31
London office — Shoreditch,2027-01,51453.65,11095.16,2255192.74,41191.15,2180948.56,52286.31
London office — Shoreditch,2027-02,51453.65,10900.10,2214639.19,41386.22,2139562.34,52286.31
London office — Shoreditch,2027-03,51453.65,10704.09,2173889.63,41582.22,2097980.12,52286.31
London office — Shoreditch,2027-04,51453.65,10507.13,2132943.11,41779.18,2056200.94,52286.31
London office — Shoreditch,2027-05,51453.65,10309.23,2091798.69,41977.09,2014223.85,52286.31
London office — Shoreditch,2027-06,51453.65,10110.36,2050455.40,42175.95,1972047.90,52286.31
London office — Shoreditch,2027-07,51453.65,9910.53,2008912.28,42375.78,1929672.12,52286.31
London office — Shoreditch,2027-08,51453.65,9709.74,1967168.37,42576.57,1887095.55,52286.31
London office — Shoreditch,2027-09,51453.65,9507.98,1925222.71,42778.33,1844317.22,52286.31
London office — Shoreditch,2027-10,51453.65,9305.24,1883074.30,42981.07,1801336.15,52286.31
London office — Shoreditch,2027-11,51453.65,9101.53,1840722.17,43184.79,1758151.36,52286.31
London office — Shoreditch,2027-12,51453.65,8896.82,1798165.35,43389.49,1714761.87,52286.31
London office — Shoreditch,2028-01,52997.26,8691.13,1753859.22,43595.18,1671166.69,52286.31
London office — Shoreditch,2028-02,52997.26,8476.99,1709338.95,43809.33,1627357.36,52286.31
London office — Shoreditch,2028-03,52997.26,8261.80,1664603.49,44024.51,1583332.85,52286.31
London office — Shoreditch,2028-04,52997.26,8045.58,1619651.82,44240.73,1539092.12,52286.31
London office — Shoreditch,2028-05,52997.26,7828.32,1574482.87,44458.00,1494634.13,52286.31
London office — Shoreditch,2028-06,52997.26,7610.00,1529095.61,44676.31,1449957.81,52286.31
London office — Shoreditch,2028-07,52997.26,7390.63,1483488.98,44895.68,1405062.13,52286.31
London office — Shoreditch,2028-08,52997.26,7170.20,1437661.92,45116.12,1359946.01,52286.31
London office — Shoreditch,2028-09,52997.26,6948.70,1391613.36,45337.61,1314608.40,52286.31
London office — Shoreditch,2028-10,52997.26,6726.13,1345342.23,45560.18,1269048.22,52286.31
London office — Shoreditch,2028-11,52997.26,6502.49,1298847.46,45783.83,1223264.39,52286.31
London office — Shoreditch,2028-12,52997.26,6277.76,1252127.96,46008.55,1177255.84,52286.31
London office — Shoreditch,2029-01,54587.18,6051.95,1203592.73,46234.36,1131021.48,52286.31
London office — Shoreditch,2029-02,54587.18,5817.36,1154822.92,46468.95,1084552.53,52286.31
London office — Shoreditch,2029-03,54587.18,5581.64,1105817.38,46704.67,1037847.86,52286.31
London office — Shoreditch,2029-04,54587.18,5344.78,1056574.98,46941.53,990906.33,52286.31
London office — Shoreditch,2029-05,54587.18,5106.78,1007094.58,47179.53,943726.80,52286.31
London office — Shoreditch,2029-06,54587.18,4867.62,957375.03,47418.69,896308.11,52286.31
London office — Shoreditch,2029-07,54587.18,4627.31,907415.16,47659.00,848649.11,52286.31
London office — Shoreditch,2029-08,54587.18,4385.84,857213.82,47900.47,800748.63,52286.31
London office — Shoreditch,2029-09,54587.18,4143.20,806769.84,48143.11,752605.52,52286.31
London office — Shoreditch,2029-10,54587.18,3899.39,756082.05,48386.93,704218.59,52286.31
London office — Shoreditch,2029-11,54587.18,3654.40,705149.26,48631.92,655586.68,52286.31
London office — Shoreditch,2029-12,54587.18,3408.22,653970.31,48878.09,606708.59,52286.31
London office — Shoreditch,2030-01,56224.79,3160.86,600906.37,49125.46,557583.13,52286.31
London office — Shoreditch,2030-02,56224.79,2904.38,547585.96,49381.93,508201.20,52286.31
London office — Shoreditch,2030-03,56224.79,2646.67,494007.84,49639.65,458561.55,52286.31
London office — Shoreditch,2030-04,56224.79,2387.70,440170.75,49898.61,408662.94,52286.31
London office — Shoreditch,2030-05,56224.79,2127.49,386073.45,50158.82,358504.12,52286.31
London office — Shoreditch,2030-06,56224.79,1866.02,331714.69,50420.29,308083.83,52286.31
London office — Shoreditch,2030-07,56224.79,1603.29,277093.18,50683.03,257400.80,52286.31
London office — Shoreditch,2030-08,56224.79,1339.28,222207.68,50947.03,206453.77,52286.31
London office — Shoreditch,2030-09,56224.79,1074.00,167056.89,51212.31,155241.46,52286.31
London office — Shoreditch,2030-10,56224.79,807.44,111639.54,51478.87,103762.59,52286.31
London office — Shoreditch,2030-11,56224.79,539.59,55954.34,51746.72,52015.87,52286.31
London office — Shoreditch,2030-12,56224.79,270.45,0.00,52015.87,0.00,52286.31
GPU capacity services agreement,2025-03,240000.00,57014.54,9878404.12,209612.28,9851777.30,266626.82
GPU capacity services agreement,2025-04,240000.00,55977.62,9694381.74,209612.28,9642165.01,265589.91
GPU capacity services agreement,2025-05,240000.00,54934.83,9509316.57,209612.28,9432552.73,264547.11
GPU capacity services agreement,2025-06,240000.00,53886.13,9323202.70,209612.28,9222940.45,263498.41
GPU capacity services agreement,2025-07,240000.00,52831.48,9136034.18,209612.28,9013328.17,262443.76
GPU capacity services agreement,2025-08,240000.00,51770.86,8947805.04,209612.28,8803715.88,261383.14
GPU capacity services agreement,2025-09,240000.00,50704.23,8758509.27,209612.28,8594103.60,260316.51
GPU capacity services agreement,2025-10,240000.00,49631.55,8568140.83,209612.28,8384491.32,259243.84
GPU capacity services agreement,2025-11,240000.00,48552.80,8376693.62,209612.28,8174879.03,258165.08
GPU capacity services agreement,2025-12,240000.00,47467.93,8184161.55,209612.28,7965266.75,257080.21
GPU capacity services agreement,2026-01,240000.00,46376.92,7990538.47,209612.28,7755654.47,255989.20
GPU capacity services agreement,2026-02,240000.00,45279.72,7795818.19,209612.28,7546042.19,254892.00
GPU capacity services agreement,2026-03,240000.00,44176.30,7599994.49,209612.28,7336429.90,253788.59
GPU capacity services agreement,2026-04,240000.00,43066.64,7403061.13,209612.28,7126817.62,252678.92
GPU capacity services agreement,2026-05,240000.00,41950.68,7205011.81,209612.28,6917205.34,251562.96
GPU capacity services agreement,2026-06,240000.00,40828.40,7005840.21,209612.28,6707593.05,250440.68
GPU capacity services agreement,2026-07,240000.00,39699.76,6805539.97,209612.28,6497980.77,249312.04
GPU capacity services agreement,2026-08,240000.00,38564.73,6604104.69,209612.28,6288368.49,248177.01
GPU capacity services agreement,2026-09,240000.00,37423.26,6401527.95,209612.28,6078756.20,247035.54
GPU capacity services agreement,2026-10,240000.00,36275.33,6197803.28,209612.28,5869143.92,245887.61
GPU capacity services agreement,2026-11,240000.00,35120.89,5992924.16,209612.28,5659531.64,244733.17
GPU capacity services agreement,2026-12,240000.00,33959.90,5786884.07,209612.28,5449919.36,243572.19
GPU capacity services agreement,2027-01,240000.00,32792.34,5579676.41,209612.28,5240307.07,242404.63
GPU capacity services agreement,2027-02,240000.00,31618.17,5371294.58,209612.28,5030694.79,241230.45
GPU capacity services agreement,2027-03,240000.00,30437.34,5161731.91,209612.28,4821082.51,240049.62
GPU capacity services agreement,2027-04,240000.00,29249.81,4950981.73,209612.28,4611470.22,238862.10
GPU capacity services agreement,2027-05,240000.00,28055.56,4739037.29,209612.28,4401857.94,237667.85
GPU capacity services agreement,2027-06,240000.00,26854.54,4525891.83,209612.28,4192245.66,236466.83
GPU capacity services agreement,2027-07,240000.00,25646.72,4311538.55,209612.28,3982633.38,235259.00
GPU capacity services agreement,2027-08,240000.00,24432.05,4095970.61,209612.28,3773021.09,234044.33
GPU capacity services agreement,2027-09,240000.00,23210.50,3879181.11,209612.28,3563408.81,232822.78
GPU capacity services agreement,2027-10,240000.00,21982.03,3661163.13,209612.28,3353796.53,231594.31
