deal_id,segment,close_date,days_to_quarter_end,list_price,standard_discount,negotiated_discount,realized_price
D0162,enterprise,2025-08-16,45,291792.47,17507.55,48210.72,226074.2
D0163,smb,2026-03-14,17,9377.37,187.55,352.65,8837.17
D0164,enterprise,2026-05-18,43,98885.0,5933.1,11907.93,81043.97
D0165,enterprise,2026-05-27,34,103877.77,6232.67,15229.13,82415.97
D0166,enterprise,2025-12-12,19,245997.47,14759.85,24191.95,207045.67
D0167,smb,2026-05-14,47,14469.34,289.39,1348.27,12831.68
D0168,smb,2025-09-17,13,13732.61,274.65,2131.93,11326.03
D0169,mid_market,2026-02-08,51,68712.73,2748.51,8627.57,57336.65
D0170,mid_market,2025-12-05,26,55066.91,2202.68,4731.85,48132.38
D0171,smb,2026-01-14,76,15232.01,304.64,948.53,13978.84
D0172,smb,2026-01-19,71,19768.33,395.37,2117.85,17255.11
D0173,enterprise,2025-12-16,15,346431.68,20785.9,40796.14,284849.64
D0174,mid_market,2025-12-26,5,70378.72,2815.15,13080.99,54482.58
D0175,mid_market,2025-08-07,54,78784.48,3151.38,7661.69,67971.41
D0176,mid_market,2025-07-26,66,82640.26,3305.61,9590.51,69744.14
D0177,enterprise,2026-05-14,47,128185.8,7691.15,5695.97,114798.68
D0178,smb,2026-03-24,7,10200.65,204.01,1178.7,8817.94
D0179,smb,2025-08-30,31,4665.89,93.32,237.45,4335.12
D0180,mid_market,2025-10-03,89,29532.31,1181.29,1116.29,27234.73
D0181,mid_market,2025-11-11,50,72000.88,2880.04,8467.31,60653.53
D0182,mid_market,2026-01-06,84,78752.78,3150.11,9771.08,65831.59
D0183,mid_market,2026-02-23,36,71867.24,2874.69,9169.04,59823.51
D0184,mid_market,2025-12-27,4,30157.27,1206.29,3632.62,25318.36
D0185,smb,2025-10-29,63,5830.53,116.61,156.01,5557.91
D0186,mid_market,2025-09-29,1,30464.13,1218.57,5118.7,24126.86
D0187,smb,2026-06-20,10,4767.39,95.35,425.82,4246.22
D0188,enterprise,2025-12-22,9,302186.17,18131.17,66113.8,217941.2
D0189,smb,2025-10-28,64,19303.07,386.06,1972.15,16944.86
D0190,mid_market,2026-02-06,53,58314.23,2332.57,4653.05,51328.61
D0191,mid_market,2025-10-16,76,58905.12,2356.2,5140.76,51408.16
D0192,mid_market,2026-04-17,74,20773.18,830.93,858.3,19083.95
D0193,mid_market,2025-11-18,43,25979.83,1039.19,993.1,23947.54
D0194,enterprise,2025-09-18,12,313461.37,18807.68,62066.75,232586.94
D0195,smb,2026-05-12,49,18830.44,376.61,2015.09,16438.74
D0196,smb,2025-12-05,26,5079.81,101.6,121.75,4856.46
D0197,smb,2025-08-29,32,7780.0,155.6,318.93,7305.47
D0198,mid_market,2026-04-01,90,81118.78,3244.75,8650.7,69223.33
D0199,smb,2025-09-09,21,6977.82,139.56,338.86,6499.4
D0200,mid_market,2026-05-15,46,57255.1,2290.2,7611.97,47352.93
D0201,enterprise,2026-02-03,56,401601.18,24096.07,83463.32,294041.79
D0202,mid_market,2026-01-15,75,80404.14,3216.17,7308.69,69879.28
D0203,mid_market,2025-12-05,26,71421.69,2856.87,6341.8,62223.02
D0204,mid_market,2026-06-07,23,85842.11,3433.68,8835.26,73573.17
D0205,mid_market,2025-11-30,31,28689.86,1147.59,1620.57,25921.7
D0206,enterprise,2025-11-01,60,220160.88,13209.65,36832.0,170119.23
D0207,smb,2026-03-27,4,11922.3,238.45,1638.16,10045.69
D0208,smb,2025-07-26,66,7039.55,140.79,276.53,6622.23
D0209,smb,2026-02-21,38,11511.35,230.23,883.53,10397.59
D0210,mid_market,2026-05-21,40,72130.64,2885.23,6046.89,63198.52
D0211,smb,2025-09-21,9,11362.46,227.25,1834.66,9300.55
D0212,enterprise,2026-05-10,51,110954.56,6657.27,7954.48,96342.81
D0213,enterprise,2026-03-28,3,315593.75,18935.62,53338.33,243319.8
D0214,smb,2026-05-18,43,18636.11,372.72,1491.06,16772.33
D0215,smb,2026-01-22,68,4396.31,87.93,186.98,4121.4
D0216,enterprise,2025-08-27,34,272879.31,16372.76,34321.2,222185.35
D0217,smb,2026-02-15,44,17095.01,341.9,1757.69,14995.42
D0218,enterprise,2025-10-08,84,95596.08,5735.76,13074.94,76785.38
D0219,mid_market,2025-12-29,2,88505.63,3540.23,20331.52,64633.88
D0220,enterprise,2025-11-22,39,297368.93,17842.14,24375.27,255151.52
D0221,enterprise,2025-08-17,44,98340.37,5900.42,4858.14,87581.81
D0222,enterprise,2026-03-16,15,128579.47,7714.77,12947.85,107916.85
D0223,mid_market,2025-07-31,61,80584.68,3223.39,9947.96,67413.33
D0224,smb,2026-06-25,5,13053.56,261.07,1770.37,11022.12
D0225,enterprise,2026-02-20,39,397962.24,23877.73,57644.9,316439.61
D0226,smb,2026-06-16,14,13797.16,275.94,1371.55,12149.67
D0227,smb,2025-10-05,87,4371.94,87.44,144.6,4139.9
D0228,smb,2025-10-17,75,19747.16,394.94,1966.09,17386.13
D0229,smb,2025-08-26,35,6089.57,121.79,280.32,5687.46
D0230,smb,2025-08-29,32,8223.04,164.46,267.44,7791.14
D0231,mid_market,2025-11-12,49,81793.27,3271.73,10298.82,68222.72
D0232,enterprise,2026-04-29,62,197601.07,11856.06,21627.26,164117.75
D0233,smb,2026-04-14,77,19759.84,395.2,1862.41,17502.23
D0234,mid_market,2026-04-02,89,65402.2,2616.09,7563.29,55222.82
D0235,smb,2025-12-27,4,14800.64,296.01,1913.5,12591.13
D0236,mid_market,2026-05-03,58,88247.17,3529.89,8285.29,76431.99
D0237,enterprise,2025-07-26,66,115967.91,6958.07,6760.29,102249.55
D0238,mid_market,2025-08-06,55,66333.63,2653.35,8133.33,55546.95
D0239,mid_market,2026-02-12,47,20052.05,802.08,1647.48,17602.49
D0240,smb,2025-09-29,1,5668.11,113.36,722.03,4832.72
D0241,mid_market,2026-06-22,8,54854.19,2194.17,6571.14,46088.88
D0242,mid_market,2026-06-12,18,61144.29,2445.77,6938.11,51760.41
D0243,enterprise,2025-11-01,60,134797.4,8087.84,13876.3,112833.26
D0244,mid_market,2025-11-29,32,56542.08,2261.68,4076.14,50204.26
D0245,mid_market,2025-08-05,56,63170.91,2526.84,8290.36,52353.71
D0246,smb,2026-04-16,75,9595.32,191.91,675.21,8728.2
D0247,mid_market,2025-07-09,83,63364.16,2534.57,7944.66,52884.93
D0248,mid_market,2025-07-09,83,31233.57,1249.34,1247.63,28736.6
D0249,mid_market,2026-03-21,10,89984.15,3599.37,20301.44,66083.34
D0250,smb,2025-12-25,6,9043.3,180.87,815.13,8047.3
D0251,mid_market,2026-06-24,6,58783.18,2351.33,11033.32,45398.53
D0252,mid_market,2026-05-11,50,41285.94,1651.44,4357.07,35277.43
D0253,mid_market,2025-09-20,10,43426.02,1737.04,6866.27,34822.71
D0254,smb,2025-11-01,60,9014.48,180.29,462.1,8372.09
D0255,smb,2026-05-20,41,12381.16,247.62,977.75,11155.79
D0256,smb,2026-05-31,30,9013.2,180.26,437.5,8395.44
D0257,mid_market,2025-09-11,19,26548.53,1061.94,1298.39,24188.2
D0258,enterprise,2026-05-16,45,287975.78,17278.55,28469.09,242228.14
D0259,mid_market,2025-09-19,11,89432.12,3577.28,15894.11,69960.73
D0260,enterprise,2026-06-15,15,265866.19,15951.97,39676.94,210237.28
D0261,mid_market,2025-12-10,21,25535.45,1021.42,1050.56,23463.47
D0262,smb,2025-07-07,85,17500.85,350.02,1608.9,15541.93
D0263,smb,2026-06-02,28,10340.51,206.81,627.85,9505.85
D0264,mid_market,2026-03-05,26,78577.14,3143.09,10924.86,64509.19
D0265,smb,2026-02-14,45,19377.98,387.56,1861.28,17129.14
D0266,mid_market,2025-09-23,7,77021.0,3080.84,14017.31,59922.85
D0267,mid_market,2026-05-29,32,20770.44,830.82,1798.0,18141.62
D0268,smb,2026-01-16,74,4854.17,97.08,95.28,4661.81
D0269,enterprise,2025-07-12,80,333839.13,20030.35,63552.0,250256.78
D0270,mid_market,2026-03-28,3,39917.92,1596.72,7557.55,30763.65
D0271,enterprise,2025-09-02,28,229296.15,13757.77,34952.43,180585.95
D0272,smb,2026-01-29,61,9716.14,194.32,382.79,9139.03
D0273,mid_market,2026-06-05,25,42672.35,1706.89,2672.72,38292.74
D0274,smb,2026-04-14,77,10732.94,214.66,497.02,10021.26
D0275,smb,2026-06-11,19,12761.4,255.23,710.73,11795.44
D0276,mid_market,2026-04-28,63,49699.5,1987.98,3315.4,44396.12
D0277,enterprise,2025-08-07,54,205540.84,12332.45,19778.73,173429.66
D0278,mid_market,2026-05-15,46,54886.03,2195.44,6247.36,46443.23
D0279,enterprise,2026-04-14,77,380775.38,22846.52,69539.59,288389.27
D0280,smb,2026-02-08,51,9912.12,198.24,479.29,9234.59
D0281,enterprise,2026-04-30,61,288366.16,17301.97,40089.51,230974.68
D0282,enterprise,2026-01-26,64,222755.42,13365.33,19909.39,189480.7
D0283,smb,2026-05-21,40,5589.5,111.79,274.07,5203.64
D0284,mid_market,2026-06-12,18,24415.53,976.62,2259.76,21179.15
D0285,enterprise,2026-05-26,35,120222.11,7213.33,8740.4,104268.38
D0286,smb,2025-11-14,47,9922.34,198.45,469.85,9254.04
D0287,mid_market,2025-11-28,33,42838.48,1713.54,2740.59,38384.35
D0288,mid_market,2026-02-21,38,28402.57,1136.1,2653.31,24613.16
D0289,smb,2025-08-26,35,8005.17,160.1,263.78,7581.29
D0290,mid_market,2025-09-29,1,44839.27,1793.57,4549.94,38495.76
D0291,smb,2026-06-29,1,14510.69,290.21,2027.83,12192.65
D0292,enterprise,2025-12-11,20,291968.24,17518.09,52932.36,221517.79
D0293,mid_market,2026-06-06,24,51032.25,2041.29,6156.23,42834.73
D0294,enterprise,2026-03-23,8,102018.2,6121.09,16274.92,79622.19
D0295,mid_market,2026-04-23,68,22537.77,901.51,867.82,20768.44
D0296,mid_market,2025-12-10,21,65337.63,2613.51,6040.24,56683.88
D0297,mid_market,2025-09-29,1,79390.49,3175.62,12434.93,63779.94
D0298,smb,2026-06-05,25,16013.33,320.27,1453.27,14239.79
D0299,smb,2025-12-11,20,6196.08,123.92,147.83,5924.33
D0300,enterprise,2026-04-01,90,271284.35,16277.06,23747.29,231260.0
D0301,mid_market,2025-09-14,16,45162.84,1806.51,3770.25,39586.08
D0302,mid_market,2026-06-04,26,32996.22,1319.85,2126.78,29549.59
D0303,smb,2025-11-16,45,18802.0,376.04,1458.12,16967.84
D0304,smb,2026-02-28,31,6897.2,137.94,290.43,6468.83
D0305,smb,2025-12-24,7,4059.02,81.18,443.22,3534.62
D0306,mid_market,2026-06-22,8,54526.72,2181.07,7660.68,44684.97
D0307,mid_market,2025-10-27,65,72173.25,2886.93,10300.97,58985.35
D0308,smb,2026-06-19,11,10709.68,214.19,1061.55,9433.94
D0309,mid_market,2026-02-20,39,82875.94,3315.04,11677.78,67883.12
D0310,smb,2025-07-19,73,9753.57,195.07,564.94,8993.56
D0311,mid_market,2026-03-05,26,52341.65,2093.67,4349.96,45898.02
D0312,enterprise,2026-02-28,31,381884.16,22913.05,48512.36,310458.75
D0313,smb,2025-12-12,19,6201.98,124.04,220.53,5857.41
D0314,smb,2025-12-02,29,11190.45,223.81,817.01,10149.63
D0315,smb,2025-09-21,9,19960.94,399.22,3110.83,16450.89
D0316,enterprise,2026-04-15,76,326072.88,19564.37,31929.16,274579.35
D0317,enterprise,2025-09-10,20,380853.85,22851.23,40085.73,317916.89
D0318,mid_market,2026-06-08,22,41536.07,1661.44,3252.19,36622.44
D0319,mid_market,2025-09-13,17,20182.81,807.31,1887.88,17487.62
D0320,mid_market,2025-08-06,55,79391.74,3175.67,10384.12,65831.95
D0321,mid_market,2025-09-23,7,54500.47,2180.02,11034.58,41285.87
D0322,enterprise,2026-04-29,62,392838.0,23570.28,65099.78,304167.94
D0323,enterprise,2025-10-20,72,312974.91,18778.49,43720.47,250475.95
D0324,mid_market,2025-08-24,37,83848.87,3353.95,9215.07,71279.85
D0325,smb,2025-08-24,37,14090.81,281.82,1040.53,12768.46
D0326,smb,2026-02-16,43,13008.28,260.17,1006.23,11741.88
D0327,smb,2025-10-02,90,9706.08,194.12,450.09,9061.87
D0328,smb,2026-06-29,1,11106.18,222.12,1535.82,9348.24
D0329,mid_market,2026-01-25,65,55405.87,2216.23,4091.33,49098.31
D0330,mid_market,2025-07-16,76,22053.39,882.14,2147.21,19024.04
D0331,mid_market,2025-10-10,82,70685.56,2827.42,6662.01,61196.13
D0332,enterprise,2026-03-22,9,379453.11,22767.19,83614.6,273071.32
D0333,smb,2026-05-18,43,17538.88,350.78,1265.3,15922.8
D0334,mid_market,2025-12-25,6,59775.21,2391.01,7877.45,49506.75
D0335,enterprise,2026-03-02,29,305469.53,18328.17,25892.82,261248.54
D0336,smb,2026-05-09,52,18063.41,361.27,1889.7,15812.44
D0337,mid_market,2025-11-19,42,51398.04,2055.92,5818.38,43523.74
D0338,smb,2025-11-15,46,16258.02,325.16,1210.23,14722.63
D0339,mid_market,2025-12-02,29,67741.31,2709.65,7594.85,57436.81
D0340,enterprise,2025-12-19,12,329511.45,19770.69,75439.01,234301.75
D0341,smb,2025-11-21,40,14616.56,292.33,1307.74,13016.49
D0342,smb,2026-05-31,30,8204.35,164.09,297.84,7742.42
D0343,smb,2026-04-01,90,14819.17,296.38,1399.77,13123.02
D0344,mid_market,2026-03-23,8,36562.23,1462.49,4816.06,30283.68
D0345,enterprise,2025-11-18,43,350072.18,21004.33,66782.81,262285.04
D0346,smb,2026-04-10,81,11889.98,237.8,978.48,10673.7
D0347,enterprise,2025-12-29,2,364165.18,21849.91,88760.12,253555.15
D0348,mid_market,2026-01-11,79,66151.18,2646.05,7779.11,55726.02
D0349,smb,2025-11-27,34,15552.53,311.05,1088.17,14153.31
D0350,enterprise,2025-09-27,3,168174.33,10090.46,20914.06,137169.81
D0351,smb,2026-03-09,22,6675.47,133.51,319.06,6222.9
D0352,mid_market,2026-05-06,55,88421.28,3536.85,8961.68,75922.75
D0353,enterprise,2026-02-10,49,282999.18,16979.95,40761.33,225257.9
D0354,enterprise,2026-03-16,15,160524.8,9631.49,13627.73,137265.58
D0355,enterprise,2026-04-25,66,223997.25,13439.83,17638.49,192918.93
D0356,smb,2025-07-03,89,9881.79,197.64,494.91,9189.24
D0357,smb,2025-08-06,55,4928.16,98.56,146.72,4682.88
D0358,enterprise,2026-01-05,85,129523.29,7771.4,7932.99,113818.9
D0359,enterprise,2025-09-19,11,298032.33,17881.94,44291.68,235858.71
D0360,smb,2026-01-25,65,16208.85,324.18,1328.17,14556.5
D0361,mid_market,2025-08-25,36,26698.06,1067.92,1304.49,24325.65
D0362,mid_market,2026-03-20,11,32016.38,1280.66,4409.95,26325.77
D0363,mid_market,2025-07-29,63,82771.0,3310.84,8532.91,70927.25
D0364,mid_market,2025-11-07,54,47456.74,1898.27,5507.27,40051.2
D0365,smb,2026-02-09,50,6098.53,121.97,228.31,5748.25
D0366,smb,2026-05-03,58,14754.39,295.09,1169.56,13289.74
D0367,smb,2026-02-15,44,18579.04,371.58,1520.21,16687.25
D0368,mid_market,2025-12-19,12,76469.16,3058.77,13802.9,59607.49
D0369,enterprise,2025-11-06,55,155916.85,9355.01,24447.73,122114.11
D0370,enterprise,2025-07-23,69,399719.31,23983.16,59045.65,316690.5
D0371,mid_market,2025-08-12,49,47527.65,1901.11,3244.2,42382.34
D0372,mid_market,2026-05-07,54,67486.95,2699.48,5659.18,59128.29
D0373,smb,2025-09-08,22,10112.67,202.25,625.22,9285.2
D0374,smb,2025-11-16,45,18283.74,365.67,1543.66,16374.41
D0375,smb,2026-06-17,13,9593.27,191.87,1280.41,8120.99
D0376,enterprise,2025-11-05,56,247522.11,14851.33,28609.35,204061.43
D0377,smb,2025-09-05,25,10380.32,207.61,692.79,9479.92
D0378,smb,2025-09-01,29,14026.87,280.54,1170.75,12575.58
D0379,smb,2025-08-19,42,17181.76,343.64,1427.34,15410.78
