month,entity,account,amount_lc
2025-10,UK,fee_exp,31332.38
2025-10,UK,ni,159550.16
2025-10,UK,cash,2497192.15
2025-10,UK,ar,1514398.44
2025-10,UK,fa,1300000.00
2025-10,UK,accdep,636000.00
2025-10,UK,ap,626647.63
2025-10,UK,ic_ap,62663.56
2025-10,UK,cs,250000.00
2025-10,UK,re,3736279.40
2025-11,UK,rev,1086308.21
2025-11,UK,opex,869046.57
2025-11,UK,dep,18000.00
2025-11,UK,fee_exp,32589.25
2025-11,UK,ni,166672.39
2025-11,UK,cash,2647511.44
2025-11,UK,ar,1575146.91
2025-11,UK,fa,1300000.00
2025-11,UK,accdep,654000.00
2025-11,UK,ap,651784.93
2025-11,UK,ic_ap,63921.63
2025-11,UK,cs,250000.00
2025-11,UK,re,3902951.79
2025-12,UK,rev,1111237.49
2025-12,UK,opex,888989.99
2025-12,UK,dep,18000.00
2025-12,UK,fee_exp,33337.12
2025-12,UK,ni,170910.38
2025-12,UK,cash,2817236.67
2025-12,UK,ar,1611294.36
2025-12,UK,fa,1300000.00
2025-12,UK,accdep,672000.00
2025-12,UK,ap,666742.49
2025-12,UK,ic_ap,65926.37
2025-12,UK,cs,250000.00
2025-12,UK,re,4073862.17
2024-11,JP,rev,179373929.06
2024-11,JP,opex,154261578.99
2024-11,JP,dep,2900000.00
2024-11,JP,fee_exp,5381217.87
2024-11,JP,ni,16831132.20
2024-11,JP,cash,84904544.64
2024-11,JP,ar,286998286.50
2024-11,JP,fa,210000000.00
2024-11,JP,accdep,70900000.00
2024-11,JP,ap,123409263.19
2024-11,JP,ic_ap,10762435.74
2024-11,JP,cs,50000000.00
2024-11,JP,re,326831132.20
2024-12,JP,rev,175990336.38
2024-12,JP,opex,151351689.28
2024-12,JP,dep,2900000.00
2024-12,JP,fee_exp,5279710.09
2024-12,JP,ni,16458937.00
2024-12,JP,cash,107247810.39
2024-12,JP,ar,281584538.20
2024-12,JP,fa,210000000.00
2024-12,JP,accdep,73800000.00
2024-12,JP,ap,121081351.43
2024-12,JP,ic_ap,10660927.96
2024-12,JP,cs,50000000.00
2024-12,JP,re,343290069.20
2025-01,JP,rev,177803887.60
2025-01,JP,opex,152911343.34
2025-01,JP,dep,2900000.00
2025-01,JP,fee_exp,5334116.63
2025-01,JP,ni,16658427.63
2025-01,JP,cash,125105178.06
2025-01,JP,ar,284486220.16
2025-01,JP,fa,210000000.00
2025-01,JP,accdep,76700000.00
2025-01,JP,ap,122329074.67
2025-01,JP,ic_ap,10613826.72
2025-01,JP,cs,50000000.00
2025-01,JP,re,359948496.83
2025-02,JP,rev,180572253.39
2025-02,JP,opex,155292137.92
2025-02,JP,dep,2900000.00
2025-02,JP,fee_exp,5417167.60
2025-02,JP,ni,16962947.87
2025-02,JP,cash,142580833.85
2025-02,JP,ar,288915605.42
2025-02,JP,fa,210000000.00
2025-02,JP,accdep,79600000.00
2025-02,JP,ap,124233710.33
2025-02,JP,ic_ap,10751284.23
2025-02,JP,cs,50000000.00
2025-02,JP,re,376911444.71
2025-03,JP,rev,185517888.10
2025-03,JP,opex,159545383.77
2025-03,JP,dep,2900000.00
2025-03,JP,fee_exp,5565536.64
2025-03,JP,ni,17506967.69
2025-03,JP,cash,158708802.69
2025-03,JP,ar,296828620.97
2025-03,JP,fa,210000000.00
2025-03,JP,accdep,82500000.00
2025-03,JP,ap,127636307.02
2025-03,JP,ic_ap,10982704.24
2025-03,JP,cs,50000000.00
2025-03,JP,re,394418412.40
2025-04,JP,rev,183033104.83
2025-04,JP,opex,157408470.15
2025-04,JP,dep,2900000.00
2025-04,JP,fee_exp,5490993.14
2025-04,JP,ni,17233641.54
2025-04,JP,cash,181182392.12
2025-04,JP,ar,292852967.73
2025-04,JP,fa,210000000.00
2025-04,JP,accdep,85400000.00
2025-04,JP,ap,125926776.12
2025-04,JP,ic_ap,11056529.78
2025-04,JP,cs,50000000.00
2025-04,JP,re,411652053.94
2025-05,JP,rev,189482762.11
2025-05,JP,opex,162955175.41
2025-05,JP,dep,2900000.00
2025-05,JP,fee_exp,5684482.86
2025-05,JP,ni,17943103.84
2025-05,JP,cash,196262354.73
2025-05,JP,ar,303172419.37
2025-05,JP,fa,210000000.00
2025-05,JP,accdep,88300000.00
2025-05,JP,ap,130364140.33
2025-05,JP,ic_ap,11175476.00
2025-05,JP,cs,50000000.00
2025-05,JP,re,429595157.78
2025-06,JP,rev,192042010.44
2025-06,JP,opex,165156128.98
2025-06,JP,dep,2900000.00
2025-06,JP,fee_exp,5761260.31
2025-06,JP,ni,18224621.15
2025-06,JP,cash,215323208.57
2025-06,JP,ar,307267216.71
2025-06,JP,fa,210000000.00
2025-06,JP,accdep,91200000.00
2025-06,JP,ap,132124903.18
2025-06,JP,ic_ap,11445743.17
2025-06,JP,cs,50000000.00
2025-06,JP,re,447819778.93
2025-07,JP,rev,185296026.72
2025-07,JP,opex,159354582.98
2025-07,JP,dep,2900000.00
2025-07,JP,fee_exp,5558880.80
2025-07,JP,ni,17482562.94
2025-07,JP,cash,241732506.61
2025-07,JP,ar,296473642.76
2025-07,JP,fa,210000000.00
2025-07,JP,accdep,94100000.00
2025-07,JP,ap,127483666.39
2025-07,JP,ic_ap,11320141.11
2025-07,JP,cs,50000000.00
2025-07,JP,re,465302341.87
2025-08,JP,rev,187326331.14
2025-08,JP,opex,161100644.78
2025-08,JP,dep,2900000.00
2025-08,JP,fee_exp,5619789.93
2025-08,JP,ni,17705896.43
2025-08,JP,cash,260345295.03
2025-08,JP,ar,299722129.83
2025-08,JP,fa,210000000.00
2025-08,JP,accdep,97000000.00
2025-08,JP,ap,128880515.82
2025-08,JP,ic_ap,11178670.73
2025-08,JP,cs,50000000.00
2025-08,JP,re,483008238.30
2025-09,JP,rev,197992695.16
2025-09,JP,opex,170273717.84
2025-09,JP,dep,2900000.00
2025-09,JP,fee_exp,5939780.85
2025-09,JP,ni,18879196.47
2025-09,JP,cash,272777667.56
2025-09,JP,ar,316788312.26
2025-09,JP,fa,210000000.00
2025-09,JP,accdep,99900000.00
2025-09,JP,ap,136218974.27
2025-09,JP,ic_ap,11559570.78
2025-09,JP,cs,50000000.00
2025-09,JP,re,501887434.77
2025-10,JP,rev,196752968.66
2025-10,JP,opex,169207553.05
2025-10,JP,dep,2900000.00
2025-10,JP,fee_exp,5902589.06
2025-10,JP,ni,18742826.55
2025-10,JP,cash,295833923.81
2025-10,JP,ar,314804749.86
2025-10,JP,fa,210000000.00
2025-10,JP,accdep,102800000.00
2025-10,JP,ap,135366042.44
2025-10,JP,ic_ap,11842369.91
2025-10,JP,cs,50000000.00
2025-10,JP,re,520630261.32
2025-11,JP,rev,201120874.99
2025-11,JP,opex,172963952.49
2025-11,JP,dep,2900000.00
2025-11,JP,fee_exp,6006626.25
2025-11,JP,ni,19250296.25
2025-11,JP,cash,314067534.89
2025-11,JP,ar,321793399.98
2025-11,JP,fa,210000000.00
2025-11,JP,accdep,105700000.00
2025-11,JP,ap,138371161.99
2025-11,JP,ic_ap,11909215.31
2025-11,JP,cs,50000000.00
2025-11,JP,re,539880557.57
2025-12,JP,rev,191568785.27
2025-12,JP,opex,164749155.33
2025-12,JP,dep,2900000.00
2025-12,JP,fee_exp,5774063.56
2025-12,JP,ni,18145566.38
2025-12,JP,cash,343696081.59
2025-12,JP,ar,306510056.44
2025-12,JP,fa,210000000.00
2025-12,JP,accdep,108600000.00
2025-12,JP,ap,131799324.27
2025-12,JP,ic_ap,11780689.81
2025-12,JP,cs,50000000.00
2025-12,JP,re,558026123.95
2024-11,SG,rev,1068268.59
2024-11,SG,opex,993489.79
2024-11,SG,dep,0.00
2024-11,SG,fee_exp,32048.06
2024-11,SG,ni,42730.74
2024-11,SG,cash,682544.01
2024-11,SG,ar,1388749.17
2024-11,SG,fa,0.00
2024-11,SG,accdep,0.00
2024-11,SG,ap,844466.32
2024-11,SG,ic_ap,64096.12
2024-11,SG,cs,400000.00
2024-11,SG,re,762730.74
2024-12,SG,rev,1077366.68
2024-12,SG,opex,1001951.01
2024-12,SG,dep,0.00
2024-12,SG,fee_exp,32321.00
2024-12,SG,ni,43094.67
2024-12,SG,cash,721276.15
2024-12,SG,ar,1400576.68
2024-12,SG,fa,0.00
2024-12,SG,accdep,0.00
2024-12,SG,ap,851658.36
2024-12,SG,ic_ap,64369.06
2024-12,SG,cs,400000.00
2024-12,SG,re,805825.41
2025-01,SG,rev,1078122.74
2025-01,SG,opex,1002654.15
2025-01,SG,dep,0.00
2025-01,SG,fee_exp,32343.68
2025-01,SG,ni,43124.91
2025-01,SG,cash,764311.46
2025-01,SG,ar,1401559.57
2025-01,SG,fa,0.00
2025-01,SG,accdep,0.00
2025-01,SG,ap,852256.03
2025-01,SG,ic_ap,64664.68
2025-01,SG,cs,400000.00
2025-01,SG,re,848950.32
2025-02,SG,rev,1061427.62
2025-02,SG,opex,987127.68
2025-02,SG,dep,0.00
2025-02,SG,fee_exp,31842.83
2025-02,SG,ni,42457.10
2025-02,SG,cash,814796.56
2025-02,SG,ar,1379855.90
2025-02,SG,fa,0.00
2025-02,SG,accdep,0.00
2025-02,SG,ap,839058.53
2025-02,SG,ic_ap,64186.51
2025-02,SG,cs,400000.00
2025-02,SG,re,891407.42
2025-03,SG,rev,1069747.10
2025-03,SG,opex,994864.81
2025-03,SG,dep,0.00
2025-03,SG,fee_exp,32092.41
2025-03,SG,ni,42789.89
2025-03,SG,cash,853096.40
2025-03,SG,ar,1390671.24
2025-03,SG,fa,0.00
2025-03,SG,accdep,0.00
2025-03,SG,ap,845635.09
2025-03,SG,ic_ap,63935.24
2025-03,SG,cs,400000.00
2025-03,SG,re,934197.31
2025-04,SG,rev,1094431.93
2025-04,SG,opex,1017821.69
2025-04,SG,dep,0.00
2025-04,SG,fee_exp,32832.96
2025-04,SG,ni,43777.27
2025-04,SG,cash,885286.89
2025-04,SG,ar,1422761.51
2025-04,SG,fa,0.00
2025-04,SG,accdep,0.00
2025-04,SG,ap,865148.44
2025-04,SG,ic_ap,64925.37
2025-04,SG,cs,400000.00
2025-04,SG,re,977974.59
2025-05,SG,rev,1112649.79
2025-05,SG,opex,1034764.30
2025-05,SG,dep,0.00
2025-05,SG,fee_exp,33379.49
2025-05,SG,ni,44505.99
2025-05,SG,cash,921797.97
2025-05,SG,ar,1446444.72
2025-05,SG,fa,0.00
2025-05,SG,accdep,0.00
2025-05,SG,ap,879549.66
2025-05,SG,ic_ap,66212.45
2025-05,SG,cs,400000.00
2025-05,SG,re,1022480.58
2025-06,SG,rev,1146287.98
2025-06,SG,opex,1066047.82
2025-06,SG,dep,0.00
2025-06,SG,fee_exp,34388.64
2025-06,SG,ni,45851.52
2025-06,SG,cash,952066.51
2025-06,SG,ar,1490174.37
2025-06,SG,fa,0.00
2025-06,SG,accdep,0.00
2025-06,SG,ap,906140.65
2025-06,SG,ic_ap,67768.13
2025-06,SG,cs,400000.00
2025-06,SG,re,1068332.10
2025-07,SG,rev,1122858.10
2025-07,SG,opex,1044258.04
2025-07,SG,dep,0.00
2025-07,SG,fee_exp,33685.74
2025-07,SG,ni,44914.33
2025-07,SG,cash,1009224.60
2025-07,SG,ar,1459715.54
2025-07,SG,fa,0.00
2025-07,SG,accdep,0.00
2025-07,SG,ap,887619.33
2025-07,SG,ic_ap,68074.38
2025-07,SG,cs,400000.00
2025-07,SG,re,1113246.43
2025-08,SG,rev,1174826.50
2025-08,SG,opex,1092588.64
2025-08,SG,dep,0.00
2025-08,SG,fee_exp,35244.79
2025-08,SG,ni,46993.06
2025-08,SG,cash,1030595.92
2025-08,SG,ar,1527274.44
2025-08,SG,fa,0.00
2025-08,SG,accdep,0.00
2025-08,SG,ap,928700.34
2025-08,SG,ic_ap,68930.53
2025-08,SG,cs,400000.00
2025-08,SG,re,1160239.49
2025-09,SG,rev,1128654.24
2025-09,SG,opex,1049648.45
2025-09,SG,dep,0.00
2025-09,SG,fee_exp,33859.63
2025-09,SG,ni,45146.17
2025-09,SG,cash,1099440.74
2025-09,SG,ar,1467250.51
2025-09,SG,fa,0.00
2025-09,SG,accdep,0.00
2025-09,SG,ap,892201.18
2025-09,SG,ic_ap,69104.42
2025-09,SG,cs,400000.00
2025-09,SG,re,1205385.66
2025-10,SG,rev,1146801.68
2025-10,SG,opex,1066525.56
2025-10,SG,dep,0.00
2025-10,SG,fee_exp,34404.05
2025-10,SG,ni,45872.07
2025-10,SG,cash,1135225.95
2025-10,SG,ar,1490842.19
2025-10,SG,fa,0.00
2025-10,SG,accdep,0.00
2025-10,SG,ap,906546.73
2025-10,SG,ic_ap,68263.68
2025-10,SG,cs,400000.00
2025-10,SG,re,1251257.73
2025-11,SG,rev,1200581.47
2025-11,SG,opex,1116540.77
2025-11,SG,dep,0.00
2025-11,SG,fee_exp,36017.44
2025-11,SG,ni,48023.26
2025-11,SG,cash,1158006.22
2025-11,SG,ar,1560755.91
2025-11,SG,fa,0.00
2025-11,SG,accdep,0.00
2025-11,SG,ap,949059.65
2025-11,SG,ic_ap,70421.49
2025-11,SG,cs,400000.00
2025-11,SG,re,1299280.99
2025-12,SG,rev,1200982.03
2025-12,SG,opex,1116913.29
2025-12,SG,dep,0.00
2025-12,SG,fee_exp,36029.46
2025-12,SG,ni,48039.28
2025-12,SG,cash,1207466.83
2025-12,SG,ar,1561276.64
2025-12,SG,fa,0.00
2025-12,SG,accdep,0.00
2025-12,SG,ap,949376.29
2025-12,SG,ic_ap,72046.90
2025-12,SG,cs,400000.00
2025-12,SG,re,1347320.27
2024-11,US,rev,4180427.15
2024-11,US,fee_inc,93991.15
2024-11,US,fx_gl,-1034.00
2024-11,US,opex,3636971.62
2024-11,US,dep,95000.00
2024-11,US,ni,541412.69
2024-11,US,cash,12862626.10
2024-11,US,ar,5852598.01
2024-11,US,ic_ar,187568.71
2024-11,US,inv,979500.00
2024-11,US,fa,6800000.00
2024-11,US,accdep,2195000.00
2024-11,US,ap,2545880.13
2024-11,US,cs,12000000.00
2024-11,US,re,9941412.69
2024-12,US,rev,4233769.31
2024-12,US,fee_inc,92947.70
2024-12,US,fx_gl,-464.55
2024-12,US,opex,3683379.30
2024-12,US,dep,95000.00
2024-12,US,ni,547873.16
2024-12,US,cash,13464420.09
2024-12,US,ar,5927277.03
2024-12,US,ic_ar,186454.24
2024-12,US,inv,979500.00
2024-12,US,fa,6800000.00
2024-12,US,accdep,2290000.00
2024-12,US,ap,2578365.51
2024-12,US,cs,12000000.00
2024-12,US,re,10489285.85
2025-01,US,rev,4251114.25
2025-01,US,fee_inc,95023.73
2025-01,US,fx_gl,-380.15
2025-01,US,opex,3698469.40
2025-01,US,dep,95000.00
2025-01,US,ni,552288.43
2025-01,US,cash,14096791.34
2025-01,US,ar,5951559.95
2025-01,US,ic_ar,187651.56
2025-01,US,inv,979500.00
2025-01,US,fa,6800000.00
2025-01,US,accdep,2385000.00
2025-01,US,ap,2588928.58
2025-01,US,cs,12000000.00
2025-01,US,re,11041574.27
2025-02,US,rev,4215244.47
2025-02,US,fee_inc,95144.57
2025-02,US,fx_gl,-758.04
2025-02,US,opex,3667262.69
2025-02,US,dep,95000.00
2025-02,US,ni,547368.31
2025-02,US,cash,14765551.52
2025-02,US,ar,5901342.26
2025-02,US,ic_ar,189632.69
2025-02,US,inv,979500.00
2025-02,US,fa,6800000.00
2025-02,US,accdep,2480000.00
2025-02,US,ap,2567083.89
2025-02,US,cs,12000000.00
2025-02,US,re,11588942.59
2025-03,US,rev,4380537.29
2025-03,US,fee_inc,94793.09
2025-03,US,fx_gl,-1590.45
2025-03,US,opex,3811067.44
2025-03,US,dep,95000.00
2025-03,US,ni,567672.49
2025-03,US,cash,15298284.34
2025-03,US,ar,6132752.20
2025-03,US,ic_ar,188825.75
2025-03,US,inv,979500.00
2025-03,US,fa,6800000.00
2025-03,US,accdep,2575000.00
2025-03,US,ap,2667747.21
2025-03,US,cs,12000000.00
2025-03,US,re,12156615.08
2025-04,US,rev,4357533.40
2025-04,US,fee_inc,96856.19
2025-04,US,fx_gl,392.34
2025-04,US,opex,3791054.06
2025-04,US,dep,95000.00
2025-04,US,ni,568727.87
2025-04,US,cash,15977469.94
2025-04,US,ar,6100546.76
2025-04,US,ic_ar,191564.09
2025-04,US,inv,979500.00
2025-04,US,fa,6800000.00
2025-04,US,accdep,2670000.00
2025-04,US,ap,2653737.84
2025-04,US,cs,12000000.00
2025-04,US,re,12725342.95
2025-05,US,rev,4365454.58
2025-05,US,fee_inc,98556.51
2025-05,US,fx_gl,-785.55
2025-05,US,opex,3797945.48
2025-05,US,dep,95000.00
2025-05,US,ni,570280.05
2025-05,US,cash,16633026.85
2025-05,US,ar,6111636.41
2025-05,US,ic_ar,195021.58
2025-05,US,inv,979500.00
2025-05,US,fa,6800000.00
2025-05,US,accdep,2765000.00
2025-05,US,ap,2658561.84
2025-05,US,cs,12000000.00
2025-05,US,re,13295623.00
2025-06,US,rev,4471154.05
2025-06,US,fee_inc,100351.40
2025-06,US,fx_gl,72.12
2025-06,US,opex,3889904.02
2025-06,US,dep,95000.00
2025-06,US,ni,586673.55
2025-06,US,cash,17227322.60
2025-06,US,ar,6259615.67
2025-06,US,ic_ar,198791.09
2025-06,US,inv,979500.00
2025-06,US,fa,6800000.00
2025-06,US,accdep,2860000.00
2025-06,US,ap,2722932.82
2025-06,US,cs,12000000.00
2025-06,US,re,13882296.54
2025-07,US,rev,4523795.76
2025-07,US,fee_inc,98265.10
2025-07,US,fx_gl,209.68
2025-07,US,opex,3935702.31
2025-07,US,dep,95000.00
2025-07,US,ni,591568.23
2025-07,US,cash,17872283.13
2025-07,US,ar,6333314.06
2025-07,US,ic_ar,198759.20
2025-07,US,inv,979500.00
2025-07,US,fa,6800000.00
2025-07,US,accdep,2955000.00
2025-07,US,ap,2754991.62
2025-07,US,cs,12000000.00
2025-07,US,re,14473864.78
2025-08,US,rev,4623075.80
2025-08,US,fee_inc,101352.09
2025-08,US,fx_gl,-629.79
2025-08,US,opex,4022075.94
2025-08,US,dep,95000.00
2025-08,US,ni,606722.15
2025-08,US,cash,18494943.62
2025-08,US,ar,6472306.12
2025-08,US,ic_ar,199290.35
2025-08,US,inv,979500.00
2025-08,US,fa,6800000.00
2025-08,US,accdep,3050000.00
2025-08,US,ap,2815453.16
2025-08,US,cs,12000000.00
2025-08,US,re,15080586.93
2025-09,US,rev,4600966.02
2025-09,US,fee_inc,100787.93
2025-09,US,fx_gl,-1009.85
2025-09,US,opex,4002840.43
2025-09,US,dep,95000.00
2025-09,US,ni,602903.67
2025-09,US,cash,19208222.14
2025-09,US,ar,6441352.42
2025-09,US,ic_ar,201404.34
2025-09,US,inv,979500.00
2025-09,US,fa,6800000.00
2025-09,US,accdep,3145000.00
2025-09,US,ap,2801988.30
2025-09,US,cs,12000000.00
2025-09,US,re,15683490.59
2025-10,US,rev,4692570.93
2025-10,US,fee_inc,100745.73
2025-10,US,fx_gl,-71.25
2025-10,US,opex,4082536.71
2025-10,US,dep,95000.00
2025-10,US,ni,615708.70
2025-10,US,cash,19846601.18
2025-10,US,ar,6569599.30
2025-10,US,ic_ar,201274.52
2025-10,US,inv,979500.00
2025-10,US,fa,6800000.00
2025-10,US,accdep,3240000.00
2025-10,US,ap,2857775.69
2025-10,US,cs,12000000.00
2025-10,US,re,16299199.29
2025-11,US,rev,4822491.32
2025-11,US,fee_inc,104331.50
2025-11,US,fx_gl,134.94
2025-11,US,opex,4195567.45
2025-11,US,dep,95000.00
2025-11,US,ni,636390.31
2025-11,US,cash,20471354.89
2025-11,US,ar,6751487.85
2025-11,US,ic_ar,205144.08
2025-11,US,inv,979500.00
2025-11,US,fa,6800000.00
2025-11,US,accdep,3335000.00
2025-11,US,ap,2936897.21
2025-11,US,cs,12000000.00
2025-11,US,re,16935589.60
2025-12,US,rev,4870624.46
2025-12,US,fee_inc,103387.92
2025-12,US,fx_gl,-910.37
2025-12,US,opex,4237443.28
2025-12,US,dep,95000.00
2025-12,US,ni,640658.73
2025-12,US,cash,21166887.64
2025-12,US,ar,6818874.24
2025-12,US,ic_ar,207196.75
2025-12,US,inv,979500.00
2025-12,US,fa,6800000.00
2025-12,US,accdep,3430000.00
2025-12,US,ap,2966210.29
2025-12,US,cs,12000000.00
2025-12,US,re,17576248.33
