invoice_id,vendor,category,invoice_date,entered_date,amount,approver
AP002162,Ember Works,hardware,2025-10-03,2025-10-06,556.15,M12
AP004511,Rampart Trading,office,2026-02-22,2026-02-23,409.13,M14
AP005039,Vela Services,software,2026-02-12,2026-02-16,244.44,M02
AP002115,Ember Industries,office,2026-06-02,2026-06-08,50.0,M07
AP002879,Inlet Trading,hardware,2026-03-05,2026-03-09,370.34,M09
AP002422,Gable Solutions,software,2026-04-29,2026-05-01,202.13,M13
AP001853,Dockside Supply,events,2026-05-03,2026-05-04,428.11,M04
AP001794,Cinder Labs,marketing,2025-12-30,2026-01-02,356.4,M10
AP003184,Keystone Industries,professional_services,2026-05-19,2026-05-20,375.14,M03
AP002499,Gable Labs,software,2026-02-22,2026-02-25,680.4,M02
AP000036,Amazon Web Services,infrastructure,2025-07-14,2025-07-15,1299.55,M04
AP004765,Tundra Industries,software,2025-10-07,2025-10-10,2019.73,M03
AP000264,Amazon Web Services,infrastructure,2026-02-22,2026-02-25,3653.29,M01
AP000465,Snowflake,infrastructure,2026-01-10,2026-01-12,2449.98,M01
AP004162,Quarry Supply,hardware,2026-01-12,2026-01-16,205.56,M03
AP005804,Northgate Logistics,logistics,2026-06-05,2026-06-08,4248.6,M06
AP000205,Amazon Web Services,infrastructure,2025-12-02,2025-12-03,4469.75,M12
AP003003,Juniper Group,software,2025-09-08,2025-09-12,900.09,M04
AP004350,Rampart Services,logistics,2025-07-03,2025-07-07,122.37,M11
AP003289,Loom Services,professional_services,2026-04-02,2026-04-06,555.61,M03
AP003817,Onyx Services,logistics,2025-11-29,2025-12-03,191.12,M01
AP002072,Ember Consulting,marketing,2025-12-25,2025-12-29,4256.52,M06
AP000424,Snowflake,infrastructure,2025-07-22,2025-07-24,5160.73,M14
AP005014,Umber Trading,professional_services,2026-05-28,2026-06-01,167.8,M04
AP003591,Mosaic Works,marketing,2026-02-10,2026-02-16,317.87,M11
AP002734,Inlet Supply,logistics,2026-03-02,2026-03-04,358.1,M08
AP000853,Robert Half,recruiting,2025-07-07,2025-07-11,3405.32,M05
AP004342,Rampart Supply,software,2026-01-29,2026-02-02,122.88,M04
AP003190,Keystone Group,facilities,2025-10-23,2025-10-27,218.95,M05
AP000147,Amazon Web Services,infrastructure,2025-11-09,2025-11-10,560.78,M01
AP002209,Fulcrum Supply,marketing,2026-01-06,2026-01-09,398.79,M03
AP001538,Borealis Partners,software,2025-08-26,2025-08-29,784.94,M02
AP002388,Gable Supply,office,2026-03-08,2026-03-12,326.79,M10
AP001953,Dockside Group,hardware,2026-05-16,2026-05-18,669.69,M13
AP000693,Iron Mountain,facilities,2025-11-28,2025-11-28,464.01,M03
AP000047,Amazon Web Services,infrastructure,2025-08-27,2025-09-01,519.53,M14
AP000430,Snowflake,infrastructure,2025-08-04,2025-08-04,6761.26,M11
AP004498,Rampart Works,facilities,2026-06-07,2026-06-11,130.79,M13
AP005254,Wharf Consulting,office,2026-04-19,2026-04-21,110.51,M08
AP005885,Northgate Logistics,logistics,2026-02-17,2026-02-19,8971.91,M08
AP001787,Cinder Labs,marketing,2025-10-23,2025-10-27,767.63,M06
AP005702,Zephyr Labs,marketing,2026-02-19,2026-02-19,307.65,M02
AP004833,Tundra Trading,facilities,2025-07-11,2025-07-15,263.3,M12
AP004341,Rampart Supply,software,2026-01-06,2026-01-06,462.77,M14
AP002945,Juniper Consulting,office,2025-10-26,2025-10-27,241.48,M13
AP005871,Northgate Logistics,logistics,2025-11-11,2025-11-14,6956.13,M02
AP004459,Rampart Group,professional_services,2026-05-29,2026-06-02,231.27,M10
AP004064,Prairie Industries,marketing,2026-03-19,2026-03-23,963.13,M14
AP004925,Umber Partners,facilities,2025-11-13,2025-11-14,201.82,M01
AP000518,Datadog,infrastructure,2025-11-07,2025-11-07,3689.16,M04
AP001610,Borealis Labs,logistics,2026-01-14,2026-01-19,2099.73,M11
AP003532,Mosaic Industries,professional_services,2025-09-02,2025-09-08,280.67,M08
AP001378,Acme Industries,facilities,2025-09-23,2025-09-29,692.13,M10
AP001150,Meridian Travel,travel,2025-12-03,2025-12-04,3023.17,M01
AP001877,Dockside Solutions,professional_services,2026-03-17,2026-03-23,166.87,M04
AP005829,Northgate Logistics,logistics,2025-10-29,2025-10-31,436.62,M04
AP005873,Northgate Logistics,logistics,2026-03-25,2026-03-26,7552.61,M04
AP002225,Fulcrum Services,hardware,2025-08-14,2025-08-18,168.34,M14
AP005715,Zephyr Works,logistics,2025-11-11,2025-11-12,2168.31,M04
AP001423,Acme Labs,facilities,2026-03-03,2026-03-06,291.53,M08
AP003211,Keystone Labs,facilities,2026-06-13,2026-06-17,888.86,M13
AP005630,Zephyr Consulting,hardware,2026-03-07,2026-03-11,209.23,M12
AP001279,Acme Supply,software,2025-07-02,2025-07-02,124.22,M03
AP001360,Acme Partners,marketing,2025-09-10,2025-09-11,180.28,M05
AP002392,Gable Services,hardware,2025-07-25,2025-07-29,606.65,M07
AP003881,Onyx Industries,facilities,2026-01-21,2026-01-23,932.93,M09
AP004084,Prairie Group,hardware,2026-04-10,2026-04-13,43.16,M01
AP002389,Gable Supply,office,2026-04-04,2026-04-06,122.16,M05
AP005103,Vela Industries,hardware,2025-10-24,2025-10-27,1737.73,M05
AP003570,Mosaic Labs,hardware,2025-07-06,2025-07-08,516.01,M01
AP000146,Amazon Web Services,infrastructure,2025-11-02,2025-11-05,5790.17,M11
AP005620,Zephyr Consulting,hardware,2025-08-31,2025-09-02,390.95,M03
AP001021,Global Catering Co,events,2025-08-18,2025-08-18,1256.15,M13
AP000396,Amazon Web Services,infrastructure,2026-06-11,2026-06-15,978.36,M07
AP004943,Umber Industries,office,2026-02-12,2026-02-12,908.09,M03
AP001469,Borealis Supply,marketing,2026-02-04,2026-02-09,83.79,M07
AP003739,Nimbus Labs,professional_services,2025-10-24,2025-10-24,331.24,M06
AP001952,Dockside Group,hardware,2026-02-13,2026-02-13,74.53,M13
AP000784,Staples Business,office,2026-04-22,2026-04-27,402.6,M14
AP004956,Umber Group,software,2026-01-23,2026-01-26,97.54,M08
AP004621,Sable Labs,marketing,2025-07-19,2025-07-23,204.35,M14
AP001903,Dockside Partners,facilities,2025-07-07,2025-07-11,683.87,M08
AP002729,Inlet Supply,logistics,2026-01-11,2026-01-15,148.28,M10
AP002238,Fulcrum Solutions,hardware,2025-08-10,2025-08-11,866.42,M04
AP000609,Atlassian,software,2025-10-31,2025-11-03,939.46,M08
AP002504,Gable Labs,software,2026-06-07,2026-06-08,18.66,M06
AP000701,Iron Mountain,facilities,2026-03-30,2026-03-31,362.87,M02
AP000040,Amazon Web Services,infrastructure,2025-08-18,2025-08-18,1602.47,M06
AP002118,Ember Group,events,2025-07-24,2025-07-28,634.8,M09
AP001964,Dockside Labs,logistics,2025-12-20,2025-12-22,403.45,M08
AP004759,Tundra Partners,office,2026-03-14,2026-03-16,306.76,M05
AP005459,Yonder Industries,marketing,2025-07-02,2025-07-07,141.99,M07
AP000065,Amazon Web Services,infrastructure,2025-08-23,2025-08-25,2139.91,M03
AP000751,Staples Business,office,2025-12-12,2025-12-12,25.63,M06
AP001627,Borealis Works,hardware,2026-02-18,2026-02-23,752.43,M08
AP002931,Juniper Solutions,facilities,2026-03-14,2026-03-16,106.66,M05
AP001207,CDW,hardware,2025-10-19,2025-10-22,1218.6,M14
AP001580,Borealis Group,events,2025-11-15,2025-11-17,445.83,M12
AP003376,Loom Group,events,2026-04-23,2026-04-27,1301.1,M07
AP004427,Rampart Industries,facilities,2025-07-19,2025-07-21,423.42,M07
AP001429,Acme Labs,facilities,2026-06-01,2026-06-05,387.63,M12
AP004942,Umber Industries,office,2026-02-08,2026-02-11,702.6,M11
AP004541,Sable Services,logistics,2026-03-30,2026-04-03,1174.43,M11
AP002694,Harbor Works,hardware,2026-03-08,2026-03-09,436.2,M11
AP000197,Amazon Web Services,infrastructure,2025-11-28,2025-12-01,554.79,M08
AP002219,Fulcrum Supply,marketing,2026-05-02,2026-05-04,54.72,M04
AP005559,Yonder Trading,office,2026-02-14,2026-02-16,359.39,M13
AP002275,Fulcrum Partners,professional_services,2025-07-16,2025-07-21,569.9,M04
AP004461,Rampart Labs,office,2025-07-25,2025-07-29,210.63,M12
AP002966,Juniper Partners,hardware,2025-08-17,2025-08-18,1493.65,M07
AP005372,Yonder Supply,software,2025-08-05,2025-08-05,396.34,M05
AP003244,Keystone Trading,hardware,2025-11-01,2025-11-03,1016.68,M03
AP002393,Gable Services,hardware,2025-08-22,2025-08-25,317.53,M02
AP002471,Gable Industries,office,2026-05-28,2026-05-29,286.41,M09
AP001622,Borealis Works,hardware,2025-08-30,2025-09-01,434.78,M14
AP002831,Inlet Labs,facilities,2025-10-15,2025-10-20,118.02,M01
AP002648,Harbor Industries,events,2026-06-17,2026-06-17,1067.95,M01
AP002469,Gable Industries,office,2026-05-04,2026-05-04,554.97,M08
AP003039,Juniper Works,events,2026-03-18,2026-03-23,213.71,M07
AP001372,Acme Partners,marketing,2026-04-22,2026-04-27,6013.19,M14
AP003561,Mosaic Group,professional_services,2026-01-15,2026-01-15,1647.39,M03
AP002128,Ember Group,events,2026-02-22,2026-02-23,1028.32,M09
AP002191,Ember Trading,hardware,2026-01-20,2026-01-20,553.55,M06
AP004582,Sable Partners,office,2025-10-01,2025-10-06,2737.86,M10
AP000839,Uline,office,2026-03-12,2026-03-16,68.76,M11
AP001560,Borealis Industries,facilities,2025-09-03,2025-09-04,467.27,M13
AP003355,Loom Industries,facilities,2025-11-21,2025-11-24,438.39,M03
AP002549,Harbor Supply,logistics,2026-03-02,2026-03-06,130.82,M03
AP001357,Acme Partners,marketing,2025-08-14,2025-08-18,304.35,M14
AP005545,Yonder Works,office,2026-06-17,2026-06-18,776.38,M07
AP005299,Wharf Group,logistics,2025-08-12,2025-08-14,302.85,M11
AP002651,Harbor Group,logistics,2025-07-26,2025-07-30,176.34,M12
AP005891,Northgate Logistics,logistics,2026-05-26,2026-05-28,7017.73,M14
AP004265,Quarry Industries,logistics,2026-06-01,2026-06-02,571.63,M13
AP004355,Rampart Services,logistics,2025-09-08,2025-09-09,205.82,M09
AP002963,Juniper Partners,hardware,2025-07-08,2025-07-11,89.08,M10
AP002134,Ember Group,events,2026-05-03,2026-05-04,515.94,M05
AP005852,Northgate Logistics,logistics,2026-01-16,2026-01-19,792.34,M09
AP004589,Sable Partners,office,2026-05-12,2026-05-14,208.62,M11
AP002182,Ember Trading,hardware,2025-08-10,2025-08-11,1302.4,M03
AP000399,Amazon Web Services,infrastructure,2026-06-01,2026-06-05,256.11,M13
AP000026,Amazon Web Services,infrastructure,2025-07-26,2025-07-28,3892.35,M06
AP005677,Zephyr Group,logistics,2025-11-16,2025-11-20,74.29,M05
AP002172,Ember Works,hardware,2026-05-17,2026-05-19,192.46,M02
AP002474,Gable Group,office,2025-09-18,2025-09-18,736.48,M09
AP003886,Onyx Industries,facilities,2026-03-30,2026-03-30,315.62,M01
AP005737,Zephyr Trading,logistics,2026-05-28,2026-05-28,1351.92,M05
AP002335,Fulcrum Labs,software,2025-09-29,2025-10-01,333.95,M06
AP002527,Gable Trading,events,2026-01-04,2026-01-05,1388.68,M10
AP003898,Onyx Group,office,2025-08-26,2025-08-29,719.72,M14
AP002500,Gable Labs,software,2026-03-22,2026-03-24,158.34,M06
AP004898,Umber Consulting,software,2025-08-03,2025-08-07,480.54,M12
AP002841,Inlet Labs,facilities,2026-03-07,2026-03-10,2576.22,M02
AP001146,Meridian Travel,travel,2025-11-24,2025-11-26,496.63,M12
AP004233,Quarry Partners,logistics,2026-02-08,2026-02-10,305.4,M13
AP002783,Inlet Consulting,marketing,2026-02-13,2026-02-17,460.03,M14
AP004030,Prairie Consulting,hardware,2026-04-14,2026-04-16,224.08,M14
AP000825,Uline,office,2025-12-12,2025-12-15,332.78,M05
AP002956,Juniper Consulting,office,2026-05-03,2026-05-07,55.73,M03
AP000873,Robert Half,recruiting,2025-10-31,2025-11-03,4669.42,M14
AP005070,Vela Consulting,office,2025-12-03,2025-12-05,70.82,M08
AP004867,Umber Services,hardware,2025-08-27,2025-08-27,1592.19,M09
AP001471,Borealis Supply,marketing,2026-03-09,2026-03-10,96.89,M14
AP004702,Tundra Services,office,2026-04-20,2026-04-23,1062.37,M11
AP000919,Indeed,recruiting,2025-07-09,2025-07-14,640.58,M06
AP001526,Borealis Consulting,facilities,2026-01-22,2026-01-26,1281.96,M06
AP004849,Umber Supply,facilities,2025-10-22,2025-10-27,55.43,M12
AP002325,Fulcrum Group,professional_services,2026-03-16,2026-03-18,186.13,M08
AP000087,Amazon Web Services,infrastructure,2025-08-30,2025-09-01,1288.26,M10
AP003437,Mosaic Supply,hardware,2025-10-26,2025-10-30,349.89,M03
AP005410,Yonder Solutions,events,2025-11-25,2025-12-01,64.34,M05
AP001158,Meridian Travel,travel,2026-01-16,2026-01-19,1294.8,M06
AP000520,Datadog,infrastructure,2025-11-02,2025-11-03,4237.23,M12
AP002000,Dockside Trading,professional_services,2025-12-14,2025-12-16,349.04,M05
AP004430,Rampart Industries,facilities,2025-08-13,2025-08-18,652.62,M11
AP000127,Amazon Web Services,infrastructure,2025-10-26,2025-10-28,4616.73,M14
AP000269,Amazon Web Services,infrastructure,2026-02-04,2026-02-05,2164.64,M10
AP003062,Keystone Supply,office,2025-09-24,2025-09-29,290.81,M07
AP001830,Cinder Trading,marketing,2026-03-22,2026-03-23,319.4,M03
AP001311,Acme Services,facilities,2026-06-20,2026-06-24,864.62,M10
AP005504,Yonder Labs,facilities,2025-09-02,2025-09-03,233.21,M01
AP004923,Umber Partners,facilities,2025-10-19,2025-10-23,2265.27,M12
AP001755,Cinder Industries,software,2025-10-29,2025-10-31,469.75,M03
AP004976,Umber Labs,office,2026-05-03,2026-05-06,309.93,M08
AP001988,Dockside Works,software,2026-04-03,2026-04-06,280.68,M12
AP001532,Borealis Consulting,facilities,2026-05-03,2026-05-07,127.81,M07
AP001000,PwC,accounting,2026-06-09,2026-06-15,15192.45,M04
AP004822,Tundra Works,events,2025-10-15,2025-10-15,67.39,M11
AP000988,PwC,accounting,2025-10-30,2025-11-03,10161.61,M09
AP005168,Vela Trading,facilities,2025-12-23,2025-12-26,1061.09,M02
AP001313,Acme Solutions,software,2025-07-08,2025-07-09,1358.42,M14
AP003648,Nimbus Services,software,2026-05-22,2026-05-25,370.62,M10
AP004318,Quarry Works,logistics,2026-04-18,2026-04-22,278.05,M11
AP000329,Amazon Web Services,infrastructure,2026-04-23,2026-04-23,6320.15,M12
AP001309,Acme Services,facilities,2026-04-20,2026-04-20,634.69,M02
AP003099,Keystone Solutions,events,2025-08-10,2025-08-12,498.37,M03
AP002311,Fulcrum Group,professional_services,2025-07-09,2025-07-14,469.72,M05
AP002869,Inlet Trading,hardware,2025-10-07,2025-10-07,95.08,M14
AP005283,Wharf Industries,professional_services,2025-09-26,2025-09-30,242.99,M02
AP001972,Dockside Labs,logistics,2026-06-19,2026-06-22,166.8,M08
AP001743,Cinder Partners,events,2026-05-28,2026-06-01,723.13,M12
AP004285,Quarry Group,facilities,2026-06-21,2026-06-22,413.41,M14
AP005326,Wharf Works,professional_services,2025-07-18,2025-07-18,356.08,M06
AP004884,Umber Solutions,events,2025-11-03,2025-11-07,1093.72,M12
AP003569,Mosaic Labs,hardware,2025-07-08,2025-07-09,3563.55,M06
AP004226,Quarry Partners,logistics,2025-07-23,2025-07-25,250.33,M13
AP005651,Zephyr Partners,professional_services,2026-05-16,2026-05-18,1597.08,M03
AP004244,Quarry Industries,logistics,2025-07-23,2025-07-28,38.22,M07
AP000711,Staples Business,office,2025-07-21,2025-07-24,158.92,M11
AP001514,Borealis Consulting,facilities,2025-07-15,2025-07-21,679.54,M06
AP000532,Datadog,infrastructure,2026-02-21,2026-02-24,5068.0,M09
AP005485,Yonder Group,hardware,2025-10-19,2025-10-20,183.63,M10
AP002940,Juniper Consulting,office,2025-08-19,2025-08-25,100.06,M12
AP001756,Cinder Industries,software,2025-12-29,2026-01-02,114.08,M11
AP004306,Quarry Labs,events,2026-06-08,2026-06-09,372.66,M01
AP000273,Amazon Web Services,infrastructure,2026-02-03,2026-02-09,1201.12,M14
AP001204,CDW,hardware,2025-10-23,2025-10-24,2380.17,M10
AP003482,Mosaic Solutions,events,2026-02-26,2026-02-26,192.76,M07
AP003163,Keystone Partners,hardware,2026-02-17,2026-02-19,467.37,M11
AP004204,Quarry Solutions,office,2026-05-05,2026-05-05,550.08,M11
AP004683,Tundra Supply,logistics,2025-10-24,2025-10-27,162.91,M08
AP005849,Northgate Logistics,logistics,2026-05-11,2026-05-12,392.91,M06
AP005078,Vela Consulting,office,2026-05-18,2026-05-22,1309.59,M10
AP001974,Dockside Works,software,2025-07-31,2025-08-04,728.04,M02
AP000833,Uline,office,2026-02-22,2026-02-23,253.19,M12
AP005044,Vela Services,software,2026-05-09,2026-05-11,449.13,M01
AP005817,Northgate Logistics,logistics,2025-09-06,2025-09-09,4287.09,M13
AP001083,Apex Print Media,marketing,2025-09-10,2025-09-10,565.71,M12
AP005323,Wharf Labs,office,2026-05-08,2026-05-11,112.81,M10
AP005706,Zephyr Labs,marketing,2026-04-01,2026-04-06,1055.03,M14
AP005732,Zephyr Trading,logistics,2026-01-16,2026-01-19,344.86,M11
AP002350,Fulcrum Works,professional_services,2025-09-09,2025-09-15,110.83,M08
AP001640,Borealis Trading,logistics,2025-08-14,2025-08-18,640.59,M07
AP004818,Tundra Works,events,2025-07-17,2025-07-21,548.26,M01
AP001832,Cinder Trading,marketing,2026-03-11,2026-03-13,403.1,M08
AP003416,Loom Trading,hardware,2025-10-26,2025-10-29,93.28,M04
AP000528,Datadog,infrastructure,2026-01-12,2026-01-13,3336.89,M12
AP003308,Loom Solutions,professional_services,2026-02-18,2026-02-18,271.29,M08
AP000228,Amazon Web Services,infrastructure,2026-01-19,2026-01-22,1533.49,M06
AP003026,Juniper Works,events,2025-09-21,2025-09-22,102.53,M03
AP004658,Sable Works,office,2026-02-16,2026-02-16,266.26,M02
AP000240,Amazon Web Services,infrastructure,2026-01-09,2026-01-13,5926.06,M01
AP002463,Gable Industries,office,2026-02-08,2026-02-11,140.62,M11
AP000776,Staples Business,office,2026-02-27,2026-03-02,76.22,M02
AP003213,Keystone Works,professional_services,2025-07-01,2025-07-02,1223.63,M10
AP003214,Keystone Works,professional_services,2025-07-25,2025-07-28,179.19,M11
AP001359,Acme Partners,marketing,2025-09-12,2025-09-15,253.79,M08
AP004716,Tundra Solutions,facilities,2026-01-28,2026-01-30,1135.03,M07
AP003047,Juniper Trading,events,2025-09-30,2025-10-03,327.44,M05
AP003239,Keystone Trading,hardware,2025-09-07,2025-09-08,229.57,M09
AP002084,Ember Partners,events,2025-09-18,2025-09-22,167.93,M07
AP004717,Tundra Solutions,facilities,2026-02-04,2026-02-05,274.07,M07
AP005268,Wharf Partners,professional_services,2025-11-06,2025-11-10,607.18,M05
AP003950,Onyx Trading,events,2025-08-05,2025-08-11,298.67,M13
AP003933,Onyx Works,facilities,2025-09-19,2025-09-23,191.25,M12
AP002949,Juniper Consulting,office,2025-12-21,2025-12-25,473.37,M04
AP005506,Yonder Labs,facilities,2025-10-20,2025-10-20,274.64,M02
AP005574,Zephyr Supply,office,2026-01-14,2026-01-14,49.11,M13
AP000900,Robert Half,recruiting,2026-03-29,2026-03-31,2974.81,M04
AP000538,Datadog,infrastructure,2026-03-09,2026-03-12,2871.21,M09
AP002288,Fulcrum Partners,professional_services,2025-12-12,2025-12-15,151.64,M06
AP000990,PwC,accounting,2025-12-24,2025-12-26,26361.37,M09
AP002446,Gable Partners,marketing,2025-07-14,2025-07-17,362.02,M04
AP005807,Northgate Logistics,logistics,2025-11-03,2025-11-06,64325.44,M01
AP000139,Amazon Web Services,infrastructure,2025-10-01,2025-10-01,1177.56,M11
AP001335,Acme Consulting,facilities,2025-08-20,2025-08-25,290.26,M10
AP001186,Meridian Travel,travel,2026-06-05,2026-06-09,1603.68,M14
