expense_id,employee_id,department,expense_type,expense_date,amount,cabin_class
TE014934,E267,marketing,rideshare,2026-01-30,8.83,
TE010261,E183,marketing,meals,2026-03-19,37.02,
TE016036,E284,engineering,meals,2026-01-28,42.81,
TE003857,E069,marketing,conference,2026-02-11,1643.92,
TE003919,E069,marketing,meals,2025-10-01,30.72,
TE021429,E077,customer_success,meals,2026-02-03,48.28,
TE011137,E197,g_and_a,rideshare,2025-10-14,29.12,
TE016978,E304,marketing,software,2025-12-22,44.27,
TE012092,E215,g_and_a,meals,2026-02-22,63.36,
TE004595,E083,g_and_a,rideshare,2025-09-13,88.0,
TE018212,E327,customer_success,rideshare,2026-04-04,56.74,
TE017579,E316,g_and_a,software,2025-12-25,212.85,
TE018921,E341,engineering,meals,2025-12-02,67.95,
TE020439,E364,marketing,airfare,2026-04-25,1374.6,economy
TE009737,E175,g_and_a,rideshare,2025-08-08,48.07,
TE000838,E016,engineering,meals,2026-05-12,33.11,
TE005097,E090,marketing,rideshare,2025-07-23,47.71,
TE004073,E072,engineering,airfare,2026-01-15,761.3,economy
TE007353,E133,sales,meals,2026-02-07,40.52,
TE009376,E169,customer_success,rideshare,2026-03-08,54.99,
TE015423,E276,g_and_a,meals,2026-03-07,41.16,
TE021022,E374,g_and_a,software,2026-02-07,23.53,
TE011703,E208,g_and_a,office_supplies,2025-12-18,78.52,
TE001895,E034,engineering,meals,2025-11-09,62.91,
TE012781,E228,g_and_a,lodging,2026-01-01,301.42,
TE018053,E324,engineering,airfare,2025-12-01,1353.59,economy
TE001012,E018,engineering,meals,2025-12-24,35.13,
TE001940,E035,marketing,airfare,2025-10-07,809.29,economy
TE008652,E156,sales,rideshare,2026-01-14,17.18,
TE019237,E347,engineering,airfare,2025-07-03,732.29,economy
TE007786,E139,customer_success,airfare,2026-03-05,461.64,economy
TE000062,E002,g_and_a,rideshare,2025-09-18,46.7,
TE015894,E282,engineering,office_supplies,2026-06-10,8.02,
TE015371,E275,engineering,software,2026-03-18,82.01,
TE007527,E135,sales,meals,2026-01-09,60.84,
TE004307,E077,customer_success,rideshare,2026-04-15,69.33,
TE017409,E313,customer_success,meals,2026-01-09,50.13,
TE006946,E126,engineering,meals,2026-01-31,14.54,
TE018758,E338,customer_success,office_supplies,2025-12-30,32.08,
TE000217,E005,marketing,lodging,2026-02-15,422.3,
TE007258,E132,engineering,lodging,2026-03-10,453.99,
TE011944,E213,g_and_a,rideshare,2025-10-23,69.29,
TE021294,E379,marketing,meals,2026-03-08,60.66,
TE017173,E307,g_and_a,airfare,2025-11-10,842.08,economy
TE006939,E126,engineering,meals,2026-02-12,32.58,
TE000548,E011,marketing,rideshare,2026-03-10,64.69,
TE010357,E184,g_and_a,office_supplies,2025-11-07,45.9,
TE011376,E202,marketing,conference,2026-06-20,614.69,
TE020150,E360,marketing,meals,2026-06-01,45.61,
TE014540,E261,customer_success,software,2025-07-26,31.55,
TE012934,E231,engineering,office_supplies,2026-05-29,20.23,
TE001212,E020,g_and_a,airfare,2026-03-02,640.36,economy
TE003629,E066,sales,rideshare,2026-06-22,26.47,
TE018729,E338,customer_success,software,2025-07-25,157.88,
TE014479,E259,sales,software,2026-01-07,107.45,
TE013535,E243,engineering,meals,2026-01-09,12.98,
TE002784,E049,engineering,meals,2025-12-01,64.15,
TE015978,E284,engineering,rideshare,2025-10-28,25.88,
TE011500,E204,marketing,meals,2026-06-09,20.88,
TE004885,E087,sales,airfare,2025-11-22,801.4,economy
TE006134,E110,customer_success,rideshare,2025-10-08,27.7,
TE011194,E199,customer_success,lodging,2026-02-26,359.31,
TE003160,E056,sales,airfare,2025-11-24,1077.76,economy
TE017110,E306,g_and_a,airfare,2026-04-27,361.26,economy
TE000452,E008,customer_success,lodging,2025-10-29,208.38,
TE009415,E170,sales,rideshare,2025-12-22,42.25,
TE011127,E197,g_and_a,software,2025-11-23,181.13,
TE008469,E154,marketing,meals,2025-08-17,50.34,
TE013256,E238,marketing,meals,2025-12-08,70.41,
TE005646,E101,customer_success,office_supplies,2025-07-06,90.76,
TE006791,E123,sales,airfare,2025-11-15,1043.62,economy
TE000849,E016,engineering,meals,2026-03-31,38.77,
TE015160,E271,g_and_a,office_supplies,2026-01-13,7.05,
TE003205,E057,customer_success,meals,2026-03-14,55.25,
TE015835,E281,customer_success,airfare,2025-12-18,330.38,economy
TE002939,E052,g_and_a,conference,2026-03-11,1442.89,
TE008279,E149,engineering,meals,2026-05-20,72.63,
TE001962,E035,marketing,rideshare,2026-02-13,42.23,
TE013842,E248,engineering,airfare,2026-06-20,1047.21,economy
TE004143,E074,g_and_a,office_supplies,2026-01-13,35.77,
TE015015,E268,g_and_a,lodging,2025-11-24,393.52,
TE008516,E154,marketing,airfare,2026-02-13,240.6,economy
TE000378,E008,customer_success,rideshare,2026-03-23,32.71,
TE011825,E210,marketing,meals,2026-03-19,51.93,
TE012193,E217,customer_success,meals,2026-01-11,53.95,
TE011204,E199,customer_success,lodging,2025-08-02,234.18,
TE003344,E060,customer_success,meals,2026-01-02,24.88,
TE002210,E041,sales,rideshare,2026-04-07,84.02,
TE007212,E131,marketing,meals,2025-09-14,41.34,
TE002753,E049,engineering,rideshare,2026-02-06,41.58,
TE013084,E234,customer_success,software,2025-11-22,117.24,
TE006670,E121,marketing,lodging,2026-06-17,251.14,
TE014861,E266,marketing,meals,2026-04-09,33.08,
TE008550,E155,g_and_a,software,2025-08-18,137.46,
TE009340,E169,customer_success,meals,2025-07-18,73.33,
TE002702,E049,engineering,rideshare,2025-12-31,87.74,
TE002045,E037,sales,lodging,2026-02-24,363.55,
TE018137,E325,customer_success,software,2025-07-04,181.77,
TE010132,E181,customer_success,rideshare,2026-03-21,65.85,
TE006397,E114,customer_success,airfare,2025-10-30,538.55,economy
TE000020,E001,g_and_a,software,2025-11-16,61.96,
TE014616,E262,engineering,rideshare,2025-08-21,25.27,
TE015704,E279,marketing,meals,2026-02-01,35.58,
TE010722,E190,customer_success,rideshare,2025-12-14,84.55,
TE000087,E003,customer_success,lodging,2025-10-21,147.26,
TE019829,E356,marketing,rideshare,2026-01-23,19.57,
TE006426,E115,g_and_a,office_supplies,2026-03-09,60.84,
TE007227,E131,marketing,lodging,2025-12-07,313.7,
TE018904,E341,engineering,office_supplies,2026-01-31,61.02,
TE021134,E376,g_and_a,meals,2026-02-12,43.71,
TE020751,E370,marketing,software,2026-01-24,25.03,
TE002320,E042,sales,meals,2025-08-27,61.82,
TE018090,E324,engineering,rideshare,2025-10-13,29.19,
TE019152,E346,marketing,rideshare,2025-07-09,36.18,
TE004350,E078,g_and_a,meals,2026-04-15,40.96,
TE018274,E329,sales,meals,2025-11-19,23.15,
TE013156,E236,customer_success,conference,2025-10-22,356.71,
TE005469,E098,marketing,meals,2026-06-17,29.17,
TE017911,E322,engineering,rideshare,2025-07-01,50.17,
TE017611,E318,customer_success,meals,2026-02-15,31.31,
TE001136,E020,g_and_a,meals,2025-07-29,43.72,
TE019178,E346,marketing,meals,2025-07-25,73.82,
TE000870,E016,engineering,lodging,2025-08-13,221.72,
TE010915,E193,g_and_a,meals,2026-01-22,24.62,
TE003648,E066,sales,meals,2025-07-25,66.98,
TE002235,E041,sales,airfare,2026-02-28,1072.69,economy
TE002880,E051,g_and_a,airfare,2025-08-07,1066.2,economy
TE008426,E152,sales,meals,2026-04-29,27.98,
TE016577,E297,g_and_a,meals,2026-02-15,33.51,
TE020011,E358,marketing,meals,2025-07-07,41.25,
TE019864,E356,marketing,office_supplies,2025-12-01,70.96,
TE004943,E088,g_and_a,meals,2025-07-20,38.02,
TE006497,E116,sales,lodging,2026-05-21,315.67,
TE006850,E123,sales,meals,2025-10-31,37.73,
TE006187,E110,customer_success,airfare,2025-12-01,181.56,economy
TE016180,E288,customer_success,rideshare,2025-10-13,31.25,
TE020031,E359,g_and_a,meals,2026-01-09,19.44,
TE021065,E375,sales,rideshare,2026-05-16,12.59,
TE018387,E332,customer_success,airfare,2025-11-25,619.21,economy
TE012722,E227,g_and_a,meals,2026-02-06,23.69,
TE018828,E340,marketing,airfare,2026-04-05,256.24,economy
TE015081,E269,customer_success,rideshare,2025-07-18,55.62,
TE007210,E131,marketing,meals,2025-07-30,44.27,
TE014237,E255,customer_success,rideshare,2026-02-10,33.4,
TE002278,E042,sales,rideshare,2025-09-01,70.82,
TE005417,E097,marketing,meals,2026-05-15,20.5,
TE006992,E126,engineering,meals,2026-06-19,32.13,
TE016836,E302,g_and_a,meals,2025-09-04,25.86,
TE010375,E184,g_and_a,meals,2025-10-24,34.57,
TE016859,E302,g_and_a,lodging,2025-11-05,404.27,
TE021375,E089,engineering,meals,2026-06-12,242.45,
TE019801,E355,engineering,meals,2025-07-02,65.19,
TE004019,E072,engineering,lodging,2026-01-31,336.47,
TE001851,E034,engineering,office_supplies,2025-07-01,102.66,
TE011438,E203,customer_success,rideshare,2026-04-08,72.69,
TE007951,E143,engineering,rideshare,2025-12-13,42.12,
TE000213,E005,marketing,software,2025-10-26,37.67,
TE018313,E329,sales,office_supplies,2025-08-13,64.97,
TE009891,E177,engineering,lodging,2025-07-29,149.91,
TE004489,E080,customer_success,meals,2025-10-20,37.88,
TE013058,E234,customer_success,rideshare,2026-02-21,47.19,
TE000114,E003,customer_success,meals,2025-11-22,23.63,
TE006880,E124,engineering,software,2025-09-28,150.21,
TE002654,E048,g_and_a,rideshare,2026-01-21,18.22,
TE003076,E054,engineering,rideshare,2025-08-24,57.1,
TE018235,E328,engineering,airfare,2025-10-10,657.49,economy
TE012868,E230,marketing,meals,2025-07-18,59.22,
TE020336,E362,g_and_a,conference,2025-11-10,904.92,
TE010109,E180,customer_success,software,2025-09-21,76.05,
TE007163,E130,marketing,office_supplies,2025-07-06,107.12,
TE013479,E242,customer_success,rideshare,2026-02-12,80.46,
TE009882,E177,engineering,lodging,2026-06-18,423.85,
TE016849,E302,g_and_a,meals,2026-01-08,38.82,
TE007069,E128,customer_success,software,2026-01-12,64.27,
TE006222,E111,marketing,airfare,2026-04-16,1398.95,economy
TE016912,E303,engineering,lodging,2026-04-02,178.03,
TE002330,E043,customer_success,airfare,2026-05-14,951.58,economy
TE015289,E274,engineering,meals,2026-02-16,26.88,
TE006095,E109,sales,meals,2025-08-05,45.04,
TE012984,E233,customer_success,airfare,2026-04-18,517.32,economy
TE014811,E265,customer_success,meals,2026-03-21,33.45,
TE019818,E356,marketing,office_supplies,2025-08-27,74.47,
TE010929,E194,g_and_a,airfare,2025-11-29,310.23,economy
TE012453,E222,sales,meals,2025-08-18,53.54,
TE019029,E343,marketing,airfare,2026-05-22,685.23,economy
TE002013,E036,sales,meals,2025-07-14,23.63,
TE020703,E369,marketing,meals,2025-10-04,45.9,
TE015396,E276,g_and_a,conference,2026-06-24,1163.28,
TE013415,E241,customer_success,meals,2026-04-25,46.1,
TE015884,E282,engineering,meals,2025-11-06,66.07,
TE019843,E356,marketing,conference,2026-01-19,871.38,
TE013315,E240,engineering,conference,2026-04-05,1533.51,
TE016660,E299,sales,airfare,2026-06-07,413.4,economy
TE008456,E153,g_and_a,airfare,2025-12-04,358.72,economy
TE020421,E364,marketing,software,2026-02-20,100.28,
TE001019,E018,engineering,rideshare,2026-02-02,31.24,
TE021273,E379,marketing,rideshare,2026-02-14,42.4,
TE006202,E111,marketing,lodging,2026-03-02,319.69,
TE006318,E113,engineering,lodging,2026-03-12,410.35,
TE007518,E135,sales,software,2026-02-01,153.41,
TE002879,E051,g_and_a,office_supplies,2026-05-20,12.41,
TE019495,E351,engineering,rideshare,2026-03-02,44.12,
TE019105,E345,sales,meals,2025-10-23,56.29,
TE011482,E203,customer_success,meals,2025-08-11,43.12,
TE015077,E269,customer_success,rideshare,2026-01-05,37.5,
TE011315,E201,engineering,meals,2025-10-04,32.66,
TE004412,E080,customer_success,rideshare,2025-12-01,71.38,
TE000954,E017,customer_success,meals,2025-10-18,52.91,
TE020324,E362,g_and_a,software,2026-01-07,187.14,
TE008040,E145,customer_success,meals,2025-09-21,58.44,
TE001677,E030,sales,meals,2026-05-23,50.75,
TE012888,E231,engineering,lodging,2026-03-15,407.95,
TE006827,E123,sales,lodging,2026-05-09,329.09,
TE011864,E212,g_and_a,airfare,2026-06-21,311.27,economy
TE013826,E248,engineering,meals,2025-09-02,31.04,
TE012225,E218,g_and_a,conference,2025-10-15,991.28,
TE016165,E288,customer_success,meals,2025-10-14,56.59,
TE018077,E324,engineering,airfare,2025-09-27,1040.64,economy
TE007693,E138,engineering,software,2026-05-08,22.62,
TE008544,E155,g_and_a,rideshare,2026-05-27,16.17,
TE020877,E371,marketing,meals,2026-06-08,29.29,
TE012131,E217,customer_success,conference,2025-09-25,1196.37,
TE020130,E360,marketing,lodging,2026-02-20,391.63,
TE013141,E236,customer_success,software,2025-08-13,84.21,
TE019846,E356,marketing,rideshare,2025-10-05,86.94,
TE009421,E170,sales,software,2025-09-17,175.67,
TE014944,E267,marketing,software,2026-04-26,103.16,
TE004695,E085,engineering,lodging,2026-02-01,141.73,
TE002643,E048,g_and_a,meals,2025-09-14,58.85,
TE018255,E329,sales,rideshare,2025-09-09,39.27,
TE013867,E249,sales,meals,2026-04-22,63.21,
TE013168,E237,g_and_a,lodging,2026-02-17,294.89,
TE007302,E132,engineering,meals,2025-12-10,36.18,
TE019526,E351,engineering,meals,2025-12-29,27.64,
TE015110,E270,g_and_a,meals,2025-08-19,29.6,
TE005750,E103,g_and_a,meals,2026-06-12,70.3,
TE006071,E109,sales,meals,2025-10-26,35.84,
TE013298,E240,engineering,rideshare,2025-09-16,50.22,
TE016737,E300,sales,rideshare,2026-05-16,24.43,
TE009003,E162,marketing,lodging,2026-05-10,172.76,
TE004599,E083,g_and_a,conference,2025-09-10,307.73,
TE020819,E371,marketing,airfare,2025-08-27,341.98,economy
TE016018,E284,engineering,meals,2025-08-08,42.3,
TE006022,E108,marketing,rideshare,2026-01-12,54.62,
TE017240,E309,g_and_a,lodging,2025-08-05,347.31,
TE012508,E223,customer_success,rideshare,2025-07-06,43.57,
TE021227,E378,g_and_a,lodging,2025-10-28,345.31,
TE019926,E357,sales,meals,2025-11-02,39.04,
TE015153,E271,g_and_a,lodging,2025-12-14,325.35,
TE003217,E057,customer_success,software,2025-10-09,149.26,
TE019284,E348,engineering,meals,2025-09-28,47.5,
TE003092,E054,engineering,office_supplies,2025-09-22,71.21,
TE011448,E203,customer_success,meals,2026-04-07,54.91,
TE001978,E035,marketing,lodging,2026-01-12,276.51,
TE013874,E249,sales,meals,2026-05-10,71.67,
TE003588,E065,marketing,meals,2025-08-03,31.84,
TE001243,E021,marketing,meals,2025-12-03,21.41,
TE005295,E094,sales,meals,2026-02-22,54.48,
TE006140,E110,customer_success,meals,2025-10-05,19.37,
TE018755,E338,customer_success,airfare,2026-06-13,285.98,economy
TE002770,E049,engineering,airfare,2025-11-14,488.28,economy
TE003104,E054,engineering,meals,2026-02-07,39.81,
TE008410,E152,sales,meals,2025-07-10,43.39,
TE003832,E068,customer_success,meals,2025-11-22,63.08,
TE010288,E183,marketing,meals,2026-03-16,22.53,
TE004947,E088,g_and_a,office_supplies,2026-02-05,15.68,
TE006261,E112,sales,meals,2025-07-04,28.11,
TE021103,E376,g_and_a,office_supplies,2026-03-28,102.93,
TE008382,E151,marketing,meals,2026-02-23,72.51,
TE012099,E216,sales,meals,2026-04-16,49.56,
TE008831,E159,g_and_a,rideshare,2025-08-31,46.06,
TE002264,E042,sales,office_supplies,2025-08-09,35.77,
TE000603,E012,g_and_a,office_supplies,2025-07-31,20.33,
TE002965,E052,g_and_a,office_supplies,2026-06-16,76.97,
TE008436,E152,sales,meals,2026-03-30,24.37,
TE004541,E082,marketing,software,2025-07-18,124.59,
TE006340,E114,customer_success,meals,2026-01-24,35.86,
TE009120,E164,g_and_a,airfare,2025-09-12,604.96,economy
TE017807,E320,marketing,lodging,2025-08-03,216.05,
TE012455,E222,sales,meals,2025-11-16,36.51,
TE020790,E370,marketing,meals,2025-10-05,61.56,
TE007417,E133,sales,lodging,2026-03-16,363.66,
TE001086,E018,engineering,airfare,2025-10-09,1056.49,economy
TE001990,E035,marketing,meals,2026-03-12,14.1,
TE013036,E234,customer_success,office_supplies,2026-01-20,6.34,
TE008705,E157,sales,software,2026-01-18,73.39,
TE010886,E193,g_and_a,rideshare,2026-06-10,82.21,
TE008960,E162,marketing,rideshare,2025-07-01,17.45,
TE017532,E315,marketing,airfare,2026-06-02,750.88,economy
TE016143,E288,customer_success,meals,2026-02-10,67.64,
TE009705,E174,g_and_a,conference,2026-05-30,1129.5,
TE000396,E008,customer_success,lodging,2026-01-24,453.76,
TE017799,E320,marketing,rideshare,2025-11-21,86.38,
TE013659,E244,sales,meals,2025-09-13,48.34,
TE005301,E094,sales,rideshare,2025-12-09,69.99,
TE008704,E157,sales,software,2026-01-09,175.67,
TE008768,E158,engineering,office_supplies,2025-10-04,79.65,
TE011903,E212,g_and_a,meals,2025-07-25,49.57,
TE002775,E049,engineering,conference,2025-11-05,401.04,
TE014459,E259,sales,meals,2026-01-19,18.57,
TE000594,E011,marketing,conference,2026-03-03,1635.44,
TE021496,E077,customer_success,meals,2026-04-23,101.92,
TE009963,E177,engineering,lodging,2026-05-31,173.44,
TE005659,E101,customer_success,airfare,2025-07-26,874.2,economy
TE015372,E275,engineering,lodging,2026-05-05,290.53,
TE018681,E337,marketing,rideshare,2026-03-10,73.87,
TE019787,E355,engineering,lodging,2026-03-07,254.07,
TE004932,E088,g_and_a,meals,2026-06-12,50.11,
TE015308,E274,engineering,software,2025-10-21,36.02,
TE006177,E110,customer_success,meals,2026-02-24,53.92,
TE017901,E321,g_and_a,lodging,2026-04-16,196.77,
TE006448,E115,g_and_a,meals,2026-04-10,38.98,
TE013125,E236,customer_success,meals,2026-04-07,28.33,
TE003296,E059,g_and_a,meals,2026-06-09,46.62,
TE007036,E127,engineering,rideshare,2025-09-11,56.02,
TE011649,E208,g_and_a,rideshare,2025-11-01,62.48,
TE010393,E185,sales,lodging,2025-09-17,383.0,
TE017845,E321,g_and_a,lodging,2026-04-15,240.67,
TE006363,E114,customer_success,meals,2025-09-20,40.99,
TE019866,E356,marketing,office_supplies,2025-10-03,94.63,
TE010801,E191,sales,conference,2025-09-20,254.37,
TE013785,E247,engineering,meals,2025-07-03,44.43,
TE008743,E157,sales,conference,2025-11-19,977.69,
TE002778,E049,engineering,office_supplies,2025-07-15,10.77,
TE005728,E103,g_and_a,office_supplies,2025-12-29,118.21,
TE006762,E122,engineering,airfare,2025-07-06,1148.61,economy
TE003652,E066,sales,meals,2025-11-22,38.94,
TE014652,E262,engineering,lodging,2025-08-19,347.49,
TE020787,E370,marketing,rideshare,2025-11-11,86.27,
TE001904,E034,engineering,conference,2026-05-10,1432.08,
TE000063,E002,g_and_a,meals,2026-05-26,29.02,
TE010832,E191,sales,office_supplies,2026-03-21,65.17,
TE010352,E184,g_and_a,meals,2026-06-23,59.45,
TE009229,E166,engineering,lodging,2026-06-12,239.94,
TE015452,E276,g_and_a,meals,2025-09-30,66.5,
TE003266,E058,marketing,rideshare,2025-12-04,40.48,
TE008584,E155,g_and_a,meals,2025-09-27,35.98,
TE001565,E027,sales,rideshare,2026-05-19,25.83,
TE010549,E188,g_and_a,meals,2025-12-27,23.62,
TE017903,E322,engineering,meals,2026-03-21,72.19,
TE014702,E263,sales,meals,2026-04-26,14.16,
TE021254,E379,marketing,meals,2025-12-02,45.72,
TE015854,E281,customer_success,office_supplies,2026-02-04,53.92,
TE002675,E048,g_and_a,meals,2025-07-17,22.7,
TE004231,E075,marketing,meals,2026-01-31,41.62,
TE000997,E017,customer_success,lodging,2025-09-18,460.49,
TE017762,E319,g_and_a,software,2025-12-01,26.54,
TE001934,E035,marketing,meals,2025-07-30,70.47,
TE018268,E329,sales,software,2026-05-30,209.21,
TE020540,E366,marketing,rideshare,2026-02-22,61.29,
TE019294,E348,engineering,lodging,2026-04-19,177.57,
TE000471,E009,marketing,meals,2025-11-05,31.39,
TE015105,E270,g_and_a,meals,2025-10-03,24.21,
TE009796,E175,g_and_a,office_supplies,2026-04-19,36.11,
TE000803,E015,engineering,conference,2026-02-04,1749.71,
TE019382,E349,marketing,software,2026-01-08,60.24,
TE021230,E378,g_and_a,rideshare,2026-01-23,25.48,
TE020879,E371,marketing,lodging,2025-08-31,443.95,
TE004182,E074,g_and_a,meals,2026-05-17,32.58,
TE003871,E069,marketing,lodging,2026-04-11,335.8,
TE010388,E185,sales,meals,2026-03-01,21.47,
TE008379,E151,marketing,meals,2025-12-15,68.8,
TE019120,E345,sales,meals,2025-07-18,55.89,
TE001852,E034,engineering,software,2025-11-16,55.13,
TE017898,E321,g_and_a,meals,2026-06-04,55.5,
TE021509,E077,customer_success,lodging,2026-05-23,307.43,
TE003440,E061,engineering,conference,2025-12-05,937.9,
TE011802,E210,marketing,lodging,2025-10-11,166.42,
TE011828,E210,marketing,lodging,2025-12-17,468.34,
TE011648,E208,g_and_a,software,2025-10-14,125.67,
TE002854,E051,g_and_a,lodging,2026-02-21,140.77,
TE011585,E206,engineering,meals,2026-06-16,17.59,
TE019432,E350,engineering,rideshare,2025-11-07,52.78,
TE003608,E065,marketing,meals,2025-08-30,26.76,
TE008601,E155,g_and_a,meals,2026-04-28,14.12,
TE007495,E134,engineering,rideshare,2026-04-14,54.83,
TE016053,E284,engineering,rideshare,2025-11-07,72.96,
TE008714,E157,sales,airfare,2026-02-08,857.43,economy
TE009592,E173,engineering,meals,2026-05-28,39.68,
TE008954,E162,marketing,rideshare,2025-09-24,56.76,
TE009801,E175,g_and_a,meals,2026-04-24,72.61,
TE018866,E340,marketing,lodging,2026-06-13,414.7,
TE020283,E362,g_and_a,lodging,2026-06-22,206.64,
TE009747,E175,g_and_a,lodging,2026-03-12,169.21,
TE018954,E342,engineering,lodging,2026-02-05,282.31,
TE011330,E202,marketing,airfare,2025-09-17,750.61,economy
TE008062,E146,customer_success,conference,2026-03-26,763.04,
TE012061,E215,g_and_a,airfare,2026-04-16,1134.03,economy
TE005423,E097,marketing,airfare,2026-02-23,1347.04,economy
TE005209,E092,marketing,office_supplies,2025-10-28,110.91,
TE005314,E095,marketing,airfare,2025-12-21,1267.19,economy
TE002907,E051,g_and_a,meals,2026-03-30,65.99,
TE017654,E318,customer_success,office_supplies,2026-04-08,64.35,
TE005870,E105,engineering,software,2025-12-16,98.04,
TE017716,E319,g_and_a,rideshare,2025-08-22,78.44,
TE014681,E263,sales,meals,2026-05-24,29.26,
TE004918,E088,g_and_a,rideshare,2026-05-21,66.55,
TE008150,E147,customer_success,meals,2025-08-23,64.24,
TE013489,E242,customer_success,lodging,2026-02-10,404.71,
TE014795,E265,customer_success,lodging,2026-03-13,339.49,
TE014496,E260,marketing,lodging,2025-12-21,415.56,
TE004896,E087,sales,software,2026-05-11,219.52,
TE006019,E107,engineering,rideshare,2025-10-10,24.94,
TE014322,E256,g_and_a,meals,2026-05-17,44.21,
TE019092,E345,sales,lodging,2025-12-28,287.04,
TE012752,E227,g_and_a,office_supplies,2026-02-17,114.77,
TE005237,E093,g_and_a,rideshare,2026-02-07,27.77,
TE020894,E371,marketing,meals,2025-10-13,39.63,
TE003551,E065,marketing,airfare,2026-06-23,1347.94,economy
TE003798,E068,customer_success,lodging,2025-09-25,212.76,
TE019624,E352,customer_success,meals,2025-08-10,40.51,
TE003068,E054,engineering,software,2025-07-02,201.01,
TE017567,E316,g_and_a,office_supplies,2025-07-19,50.06,
TE019586,E352,customer_success,airfare,2025-07-19,644.66,economy
TE003672,E066,sales,meals,2025-11-10,49.9,
TE005603,E101,customer_success,meals,2026-03-16,65.07,
TE003031,E053,engineering,rideshare,2025-12-22,35.69,
TE016331,E291,g_and_a,lodging,2025-09-15,465.57,
TE017324,E311,engineering,rideshare,2025-09-02,78.58,
TE016784,E301,engineering,lodging,2025-08-21,169.46,
TE013718,E245,sales,software,2026-05-22,55.11,
TE020878,E371,marketing,software,2026-02-03,55.26,
TE015526,E277,marketing,meals,2025-12-21,37.11,
TE010220,E182,engineering,office_supplies,2026-05-04,20.66,
TE009507,E172,g_and_a,conference,2026-02-06,529.6,
TE019131,E345,sales,office_supplies,2025-09-11,83.19,
TE018862,E340,marketing,lodging,2026-01-27,430.22,
TE003683,E066,sales,rideshare,2025-08-27,40.84,
TE013820,E248,engineering,lodging,2026-03-20,358.42,
TE015191,E271,g_and_a,rideshare,2026-03-17,61.92,
TE007034,E127,engineering,meals,2026-03-13,73.6,
TE006633,E119,g_and_a,lodging,2025-08-07,429.19,
TE008206,E148,marketing,lodging,2026-04-10,264.4,
TE015717,E280,marketing,lodging,2025-12-30,260.73,
TE004277,E076,g_and_a,meals,2026-04-17,36.69,
TE019078,E345,sales,meals,2026-01-22,65.98,
TE016197,E289,marketing,airfare,2026-06-14,1007.14,economy
TE004371,E078,g_and_a,airfare,2026-06-19,347.11,economy
TE016677,E299,sales,meals,2026-04-01,27.12,
TE001985,E035,marketing,lodging,2025-10-03,164.06,
TE008821,E159,g_and_a,airfare,2025-11-02,1290.37,economy
TE021307,E380,engineering,airfare,2026-05-18,898.97,economy
TE003879,E069,marketing,lodging,2025-12-17,465.79,
TE016941,E304,marketing,airfare,2026-01-02,908.25,economy
TE014902,E266,marketing,airfare,2026-01-27,1018.47,economy
TE013574,E243,engineering,rideshare,2026-01-11,46.01,
TE011710,E209,marketing,rideshare,2026-01-22,60.71,
TE020192,E361,marketing,software,2025-07-01,215.81,
TE013374,E241,customer_success,airfare,2026-03-11,235.33,economy
TE017541,E315,marketing,meals,2026-05-21,28.79,
TE015476,E277,marketing,rideshare,2025-10-08,25.49,
TE007352,E133,sales,airfare,2026-03-26,397.07,economy
TE002262,E042,sales,airfare,2025-09-11,655.11,economy
TE011510,E204,marketing,meals,2026-06-06,42.46,
