robot_id,month,months_since_deploy,hours_available,hours_used,utilization,uptime,revenue,connectivity,edge_compute,field_service,incidents
RB0003,2025-08,7,341.7,256.1,0.7495,0.9708,5634.65,85.0,107.57,653.5,0
RB0003,2025-09,8,344.8,246.7,0.7154,0.9796,5427.14,85.0,103.61,436.05,0
RB0003,2025-10,9,344.4,293.7,0.8529,0.9785,6462.34,85.0,123.37,693.19,0
RB0003,2025-11,10,346.5,257.4,0.7427,0.9845,5662.21,85.0,108.1,825.83,0
RB0003,2025-12,11,344.7,251.1,0.7284,0.9794,5524.51,85.0,105.47,813.9,0
RB0003,2026-01,12,340.7,283.9,0.8333,0.968,6246.65,85.0,119.25,442.4,0
RB0003,2026-02,13,342.5,283.9,0.829,0.973,6245.86,85.0,119.24,769.76,0
RB0003,2026-03,14,339.7,239.6,0.7054,0.9651,5272.26,85.0,100.65,765.75,0
RB0003,2026-04,15,345.7,257.6,0.7453,0.982,5667.86,85.0,108.2,540.68,0
RB0003,2026-05,16,334.7,261.5,0.7814,0.9509,5753.81,85.0,109.85,423.69,0
RB0003,2026-06,17,336.2,263.6,0.784,0.9552,5799.22,85.0,110.71,563.93,0
RB0004,2025-01,0,338.3,48.4,0.143,0.9611,1016.31,85.0,20.33,607.84,0
RB0004,2025-02,1,337.8,102.5,0.3035,0.9597,2153.35,85.0,43.07,468.82,0
RB0004,2025-03,2,342.6,143.2,0.418,0.9734,3007.55,85.0,60.15,447.68,0
RB0004,2025-04,3,335.1,218.8,0.653,0.9521,4595.76,85.0,91.92,487.8,0
RB0004,2025-05,4,345.8,206.1,0.5961,0.9824,4328.69,85.0,86.57,523.45,0
RB0004,2025-06,5,338.8,224.1,0.6615,0.9625,4706.53,85.0,94.13,703.24,0
RB0004,2025-07,6,343.3,227.6,0.6629,0.9752,4779.01,85.0,95.58,530.1,0
RB0004,2025-08,7,344.9,216.6,0.6281,0.9797,4548.81,85.0,90.98,609.18,0
RB0004,2025-09,8,339.1,193.8,0.5715,0.9635,4070.46,85.0,81.41,566.24,0
RB0004,2025-10,9,338.3,196.1,0.5798,0.961,4118.84,85.0,82.38,430.65,0
RB0004,2025-11,10,339.1,215.7,0.6362,0.9632,4530.29,85.0,90.61,744.14,0
RB0004,2025-12,11,347.0,221.0,0.6368,0.9859,4640.78,85.0,92.82,829.5,0
RB0004,2026-01,12,335.4,219.8,0.6553,0.9528,4614.81,85.0,92.3,554.72,0
RB0004,2026-02,13,337.4,210.8,0.6248,0.9585,4426.55,85.0,88.53,761.34,0
RB0004,2026-03,14,336.8,222.3,0.6601,0.9569,4669.03,85.0,93.38,727.58,0
RB0004,2026-04,15,341.8,192.9,0.5643,0.9709,4049.88,85.0,81.0,814.71,0
RB0004,2026-05,16,341.8,194.0,0.5677,0.971,4075.02,85.0,81.5,669.78,0
RB0004,2026-06,17,340.1,192.3,0.5653,0.9663,4037.61,85.0,80.75,668.44,0
RB0005,2025-01,0,339.6,53.2,0.1567,0.9649,1117.95,85.0,22.36,811.02,0
RB0005,2025-02,1,336.7,99.5,0.2955,0.9566,2089.55,85.0,41.79,480.18,0
RB0005,2025-03,2,334.6,152.9,0.4569,0.9505,3210.25,85.0,64.21,425.43,0
RB0005,2025-04,3,338.5,205.3,0.6064,0.9616,4310.51,85.0,86.21,667.66,0
RB0005,2025-05,4,339.2,202.9,0.5983,0.9637,4261.94,85.0,85.24,783.21,0
RB0005,2025-06,5,335.0,218.9,0.6535,0.9517,4597.04,85.0,91.94,663.93,0
RB0005,2025-07,6,342.4,197.9,0.5779,0.9728,4155.87,85.0,83.12,501.26,0
RB0005,2025-08,7,344.4,198.4,0.5759,0.9785,4165.65,85.0,83.31,425.45,0
RB0005,2025-09,8,342.8,194.3,0.5669,0.9739,4080.9,85.0,81.62,482.53,0
RB0005,2025-10,9,344.8,204.8,0.5941,0.9796,4301.48,85.0,86.03,746.43,0
RB0005,2025-11,10,342.8,209.0,0.6097,0.9737,4388.85,85.0,87.78,649.88,0
RB0005,2025-12,11,342.2,216.5,0.6327,0.972,4545.8,85.0,90.92,485.36,0
RB0005,2026-01,12,340.3,210.0,0.6172,0.9669,4411.05,85.0,88.22,661.39,0
RB0005,2026-02,13,334.5,204.4,0.6111,0.9503,4293.17,85.0,85.86,502.32,0
RB0005,2026-03,14,338.7,198.5,0.5861,0.9621,4168.7,85.0,83.37,476.86,0
RB0005,2026-04,15,335.3,218.8,0.6527,0.9526,4595.49,85.0,91.91,429.37,0
RB0005,2026-05,16,342.7,195.4,0.57,0.9736,4102.41,85.0,82.05,746.37,0
RB0005,2026-06,17,336.2,213.1,0.634,0.955,4475.43,85.0,89.51,667.15,0
RB0006,2025-01,0,339.5,71.8,0.2116,0.9645,1580.14,85.0,30.17,729.71,0
RB0006,2025-02,1,345.4,124.0,0.3591,0.9814,2729.06,85.0,52.1,810.41,0
RB0006,2025-03,2,340.9,212.8,0.6241,0.9686,4681.06,85.0,89.37,479.42,0
RB0006,2025-04,3,338.9,290.1,0.8559,0.9628,6382.05,85.0,121.84,713.25,0
RB0006,2025-05,4,337.3,270.9,0.8031,0.9583,5959.8,85.0,113.78,548.16,0
RB0006,2025-06,5,344.5,269.1,0.7813,0.9786,5921.0,85.0,113.04,647.04,0
RB0006,2025-07,6,336.3,282.8,0.8409,0.9554,6221.47,85.0,118.77,589.45,0
RB0006,2025-08,7,341.1,290.1,0.8504,0.9691,6382.29,85.0,121.84,822.91,0
RB0006,2025-09,8,342.0,279.7,0.818,0.9716,6154.49,85.0,117.49,828.09,0
RB0006,2025-10,9,345.8,281.2,0.8131,0.9825,6186.02,85.0,118.1,442.32,0
RB0006,2025-11,10,340.5,246.6,0.7244,0.9672,5425.59,85.0,103.58,821.86,0
RB0006,2025-12,11,341.2,259.5,0.7606,0.9692,5708.7,85.0,108.98,722.79,1
RB0006,2026-01,12,341.1,244.7,0.7172,0.9691,5382.49,85.0,102.76,801.9,0
RB0006,2026-02,13,345.3,290.8,0.842,0.981,6396.8,85.0,122.12,573.65,0
RB0006,2026-03,14,337.9,278.1,0.823,0.9599,6118.18,85.0,116.8,698.87,0
RB0006,2026-04,15,347.4,279.3,0.804,0.9868,6144.33,85.0,117.3,604.41,0
RB0006,2026-05,16,346.6,264.9,0.7641,0.9848,5826.9,85.0,111.24,757.17,0
RB0006,2026-06,17,346.6,251.3,0.725,0.9845,5527.66,85.0,105.53,591.48,0
RB0007,2025-01,0,335.0,19.0,0.0567,0.9518,361.21,85.0,7.98,1105.05,0
RB0007,2025-02,1,339.5,40.5,0.1194,0.9644,770.16,85.0,17.02,1124.34,0
RB0007,2025-03,2,346.5,54.3,0.1568,0.9845,1032.31,85.0,22.82,598.01,0
RB0007,2025-04,3,343.2,82.4,0.2402,0.9749,1566.21,85.0,34.62,1036.09,0
RB0007,2025-05,4,343.0,82.8,0.2413,0.9744,1572.43,85.0,34.76,864.43,0
RB0007,2025-06,5,337.9,67.9,0.201,0.9599,1290.19,85.0,28.52,1009.55,0
RB0007,2025-07,6,345.8,71.8,0.2075,0.9823,1363.43,85.0,30.14,866.53,0
RB0007,2025-08,7,336.9,69.9,0.2073,0.9571,1327.17,85.0,29.34,702.22,0
RB0007,2025-09,8,340.1,74.2,0.2182,0.9662,1410.11,85.0,31.17,1054.81,0
RB0007,2025-10,9,343.1,69.1,0.2015,0.9747,1313.6,85.0,29.04,839.56,0
RB0007,2025-11,10,339.1,75.3,0.2221,0.9635,1430.97,85.0,31.63,755.48,0
RB0007,2025-12,11,341.4,68.2,0.1996,0.9698,1294.86,85.0,28.62,920.3,1
RB0007,2026-01,12,334.8,78.5,0.2344,0.9512,1491.41,85.0,32.97,1152.21,0
RB0007,2026-02,13,336.6,75.8,0.2252,0.9563,1440.58,85.0,31.84,1038.77,1
RB0007,2026-03,14,340.9,73.6,0.216,0.9686,1398.94,85.0,30.92,1172.51,0
RB0007,2026-04,15,346.5,77.2,0.2229,0.9843,1467.37,85.0,32.44,740.39,0
RB0007,2026-05,16,336.9,80.2,0.238,0.9571,1523.16,85.0,33.67,676.53,0
RB0007,2026-06,17,334.7,66.6,0.1989,0.9509,1265.08,85.0,27.97,1041.66,0
RB0008,2025-02,0,344.0,73.2,0.2128,0.9773,1610.17,85.0,30.74,784.08,0
RB0008,2025-03,1,343.3,137.5,0.4006,0.9752,3025.28,85.0,57.76,777.55,0
RB0008,2025-04,2,342.0,183.9,0.5376,0.9716,4044.87,85.0,77.22,609.86,0
RB0008,2025-05,3,346.7,275.3,0.7941,0.9849,6057.17,85.0,115.64,816.4,0
RB0008,2025-06,4,338.2,278.1,0.8222,0.9607,6117.31,85.0,116.78,714.43,0
RB0008,2025-07,5,341.6,247.1,0.7233,0.9703,5435.5,85.0,103.77,807.35,0
RB0008,2025-08,6,347.6,277.9,0.7995,0.9874,6112.97,85.0,116.7,548.05,0
RB0008,2025-09,7,342.8,259.6,0.7573,0.9739,5711.43,85.0,109.04,753.75,0
RB0008,2025-10,8,340.7,243.5,0.7147,0.9679,5356.7,85.0,102.26,701.44,0
RB0008,2025-11,9,338.9,286.2,0.8447,0.9627,6297.21,85.0,120.22,664.62,0
RB0008,2025-12,10,336.2,282.0,0.8388,0.9552,6204.58,85.0,118.45,682.45,0
RB0008,2026-01,11,343.3,277.8,0.8092,0.9753,6111.29,85.0,116.67,539.71,0
RB0008,2026-02,12,339.4,249.6,0.7355,0.9641,5491.51,85.0,104.84,581.25,0
RB0008,2026-03,13,341.3,239.6,0.7022,0.9695,5271.95,85.0,100.65,517.89,0
RB0008,2026-04,14,338.5,279.3,0.825,0.9618,6144.43,85.0,117.3,594.27,0
RB0008,2026-05,15,343.7,281.2,0.8182,0.9763,6185.9,85.0,118.09,825.67,0
RB0008,2026-06,16,334.4,262.8,0.7859,0.9501,5782.62,85.0,110.4,608.43,0
RB0009,2025-02,0,347.1,53.6,0.1544,0.9862,1125.36,85.0,22.51,744.27,0
RB0009,2025-03,1,347.8,97.6,0.2806,0.9882,2049.75,85.0,40.99,513.57,0
RB0009,2025-04,2,338.0,148.1,0.438,0.9603,3109.17,85.0,62.18,733.01,0
RB0009,2025-05,3,347.4,203.1,0.5846,0.9871,4265.67,85.0,85.31,563.52,0
RB0009,2025-06,4,338.0,216.1,0.6395,0.9601,4538.56,85.0,90.77,483.13,0
RB0009,2025-07,5,345.7,200.4,0.5796,0.9821,4207.58,85.0,84.15,432.41,0
RB0009,2025-08,6,334.5,204.7,0.6119,0.9503,4298.54,85.0,85.97,455.62,0
RB0009,2025-09,7,339.1,217.8,0.6423,0.9634,4574.4,85.0,91.49,839.2,0
RB0009,2025-10,8,336.4,190.9,0.5676,0.9556,4009.21,85.0,80.18,582.0,0
RB0009,2025-11,9,345.7,205.1,0.5934,0.982,4307.57,85.0,86.15,689.11,0
RB0009,2025-12,10,346.9,215.6,0.6216,0.9855,4528.08,85.0,90.56,808.29,0
RB0009,2026-01,11,336.1,214.6,0.6384,0.9548,4505.67,85.0,90.11,592.74,0
RB0009,2026-02,12,342.5,203.4,0.5938,0.973,4270.71,85.0,85.41,683.94,0
RB0009,2026-03,13,341.9,198.8,0.5814,0.9714,4174.35,85.0,83.49,584.34,0
RB0009,2026-04,14,340.5,205.1,0.6025,0.9672,4307.86,85.0,86.16,559.5,0
RB0009,2026-05,15,345.5,205.2,0.5938,0.9815,4308.3,85.0,86.17,737.95,0
RB0009,2026-06,16,344.3,194.7,0.5655,0.9782,4089.4,85.0,81.79,791.56,0
RB0010,2025-02,0,340.9,69.5,0.2039,0.9684,1529.35,85.0,29.2,834.28,1
RB0010,2025-03,1,336.3,123.7,0.3678,0.9553,2720.96,85.0,51.95,592.73,0
RB0010,2025-04,2,342.2,216.5,0.6327,0.9721,4763.43,85.0,90.94,682.81,0
RB0010,2025-05,3,339.0,283.3,0.8359,0.9629,6233.41,85.0,119.0,438.59,0
RB0010,2025-06,4,337.7,240.4,0.7118,0.9594,5288.63,85.0,100.96,486.64,1
RB0010,2025-07,5,344.0,282.7,0.8217,0.9774,6219.02,85.0,118.73,638.84,0
RB0010,2025-08,6,337.5,245.0,0.7259,0.9589,5389.94,85.0,102.9,786.87,0
RB0010,2025-09,7,338.2,256.3,0.7578,0.9607,5638.38,85.0,107.64,822.85,0
RB0010,2025-10,8,348.0,248.1,0.7131,0.9886,5459.14,85.0,104.22,557.95,0
RB0010,2025-11,9,342.9,257.2,0.75,0.9742,5657.83,85.0,108.01,613.21,0
RB0010,2025-12,10,345.3,257.9,0.7468,0.9809,5672.97,85.0,108.3,764.2,0
RB0010,2026-01,11,345.1,255.3,0.7397,0.9803,5615.83,85.0,107.21,482.68,0
RB0010,2026-02,12,337.1,240.3,0.7129,0.9576,5286.86,85.0,100.93,781.11,0
RB0010,2026-03,13,347.6,294.4,0.8468,0.9876,6475.98,85.0,123.63,672.47,0
RB0010,2026-04,14,343.6,286.5,0.8339,0.9761,6303.37,85.0,120.34,778.76,0
RB0010,2026-05,15,345.4,244.3,0.7071,0.9814,5373.62,85.0,102.59,790.84,0
RB0010,2026-06,16,336.6,269.4,0.8003,0.9561,5925.9,85.0,113.13,740.68,0
RB0011,2025-02,0,337.4,55.4,0.1643,0.9585,1163.91,85.0,23.28,481.07,0
RB0011,2025-03,1,346.6,107.3,0.3095,0.9846,2252.61,85.0,45.05,545.45,0
RB0011,2025-04,2,345.0,157.4,0.4562,0.9802,3305.48,85.0,66.11,807.63,0
RB0011,2025-05,3,347.6,196.6,0.5657,0.9875,4129.31,85.0,82.59,759.51,0
RB0011,2025-06,4,342.4,208.1,0.6077,0.9727,4369.3,85.0,87.39,552.08,0
RB0011,2025-07,5,345.8,200.2,0.5789,0.9825,4204.45,85.0,84.09,752.34,0
RB0011,2025-08,6,345.6,194.2,0.5618,0.9818,4077.46,85.0,81.55,603.84,0
RB0011,2025-09,7,335.3,219.9,0.6559,0.9525,4618.42,85.0,92.37,707.38,0
RB0011,2025-10,8,342.6,192.4,0.5617,0.9734,4041.36,85.0,80.83,641.37,0
RB0011,2025-11,9,345.0,216.3,0.627,0.9802,4543.09,85.0,90.86,558.6,0
RB0011,2025-12,10,340.4,226.0,0.6639,0.9671,4745.79,85.0,94.92,752.05,0
RB0011,2026-01,11,345.6,202.9,0.5872,0.9818,4261.55,85.0,85.23,465.19,0
RB0011,2026-02,12,338.5,223.7,0.6609,0.9617,4698.51,85.0,93.97,472.83,1
RB0011,2026-03,13,342.1,195.8,0.5724,0.972,4112.61,85.0,82.25,579.12,0
RB0011,2026-04,14,338.1,204.9,0.6058,0.9606,4301.89,85.0,86.04,580.04,0
RB0011,2026-05,15,346.6,195.2,0.5633,0.9846,4099.64,85.0,81.99,619.37,0
RB0011,2026-06,16,346.9,198.2,0.5713,0.9855,4161.79,85.0,83.24,554.49,0
RB0012,2025-02,0,335.2,18.3,0.0547,0.9522,348.07,85.0,7.69,5630.4,1
RB0012,2025-03,1,307.3,35.9,0.117,0.8729,682.83,85.0,15.09,4597.63,0
RB0012,2025-04,2,318.6,51.7,0.1622,0.9052,981.62,85.0,21.7,3353.06,0
RB0012,2025-05,3,313.2,71.2,0.2274,0.8899,1353.44,85.0,29.92,3964.68,0
RB0012,2025-06,4,337.2,71.0,0.2105,0.9581,1348.87,85.0,29.82,5724.64,0
RB0012,2025-07,5,313.5,71.3,0.2274,0.8905,1354.11,85.0,29.93,4106.36,0
RB0012,2025-08,6,326.3,77.5,0.2374,0.9271,1472.04,85.0,32.54,5692.99,0
RB0012,2025-09,7,342.7,71.3,0.208,0.9737,1354.29,85.0,29.94,4939.06,1
RB0012,2025-10,8,342.2,77.3,0.226,0.9722,1469.24,85.0,32.48,6011.36,1
RB0012,2025-11,9,316.1,66.4,0.21,0.898,1261.48,85.0,27.89,5080.53,0
RB0012,2025-12,10,325.4,70.7,0.2173,0.9243,1343.51,85.0,29.7,5924.9,1
RB0012,2026-01,11,314.4,69.2,0.22,0.8931,1314.28,85.0,29.05,4635.18,0
RB0012,2026-02,12,334.7,80.5,0.2404,0.9508,1528.64,85.0,33.79,6199.48,0
RB0012,2026-03,13,326.3,69.8,0.2139,0.9269,1325.73,85.0,29.31,4482.11,1
RB0012,2026-04,14,326.6,66.8,0.2045,0.9278,1268.79,85.0,28.05,4654.82,1
RB0012,2026-05,15,326.3,73.4,0.2249,0.9269,1393.93,85.0,30.81,5908.24,1
RB0012,2026-06,16,337.3,79.7,0.2363,0.9583,1514.16,85.0,33.47,4797.75,0
RB0013,2025-02,0,334.5,62.7,0.1874,0.9503,1379.45,85.0,26.33,635.05,0
RB0013,2025-03,1,348.4,123.3,0.354,0.9897,2713.18,85.0,51.8,783.82,1
RB0013,2025-04,2,339.2,210.9,0.6215,0.9638,4638.81,85.0,88.56,421.42,0
RB0013,2025-05,3,345.3,243.3,0.7047,0.9809,5352.97,85.0,102.19,584.21,0
RB0013,2025-06,4,345.3,288.9,0.8367,0.981,6356.07,85.0,121.34,619.52,0
RB0013,2025-07,5,338.9,270.9,0.7993,0.9629,5959.73,85.0,113.78,746.9,0
RB0013,2025-08,6,342.5,291.3,0.8504,0.973,6407.89,85.0,122.33,446.69,1
RB0013,2025-09,7,342.4,278.2,0.8125,0.9728,6120.67,85.0,116.85,702.19,0
RB0013,2025-10,8,346.7,266.2,0.7676,0.985,5855.51,85.0,111.79,517.56,0
RB0013,2025-11,9,346.9,293.5,0.846,0.9856,6457.02,85.0,123.27,661.37,0
RB0013,2025-12,10,336.8,283.5,0.8418,0.9568,6236.95,85.0,119.07,517.94,0
RB0013,2026-01,11,343.4,261.3,0.7609,0.9754,5747.71,85.0,109.73,801.89,0
RB0013,2026-02,12,342.5,268.7,0.7844,0.973,5910.67,85.0,112.84,463.65,0
RB0013,2026-03,13,345.4,246.4,0.7134,0.9813,5420.86,85.0,103.49,735.05,0
RB0013,2026-04,14,337.7,266.3,0.7886,0.9593,5858.31,85.0,111.84,827.74,0
RB0013,2026-05,15,340.2,270.7,0.7956,0.9664,5954.31,85.0,113.67,807.54,0
RB0013,2026-06,16,342.7,253.8,0.7406,0.9735,5583.28,85.0,106.59,746.02,0
RB0014,2025-02,0,345.8,37.8,0.1093,0.9824,755.89,85.0,15.87,624.72,0
RB0014,2025-03,1,346.4,87.1,0.2513,0.9842,1741.47,85.0,36.57,508.45,0
RB0014,2025-04,2,340.7,127.8,0.3752,0.9678,2556.58,85.0,53.69,941.85,0
RB0014,2025-05,3,342.5,151.1,0.4411,0.973,3021.2,85.0,63.45,780.08,0
RB0014,2025-06,4,337.5,174.9,0.5181,0.9588,3497.26,85.0,73.44,947.82,0
RB0014,2025-07,5,347.9,161.9,0.4652,0.9885,3237.34,85.0,67.98,964.43,0
RB0014,2025-08,6,337.9,163.1,0.4826,0.9601,3261.74,85.0,68.5,612.59,0
RB0014,2025-09,7,345.4,167.2,0.4839,0.9813,3343.3,85.0,70.21,831.43,0
RB0014,2025-10,8,338.2,170.7,0.5049,0.9607,3414.85,85.0,71.71,800.67,0
RB0014,2025-11,9,335.1,169.5,0.5057,0.952,3389.13,85.0,71.17,1000.82,0
RB0014,2025-12,10,338.6,155.7,0.46,0.9618,3114.98,85.0,65.41,930.71,0
RB0014,2026-01,11,344.5,172.0,0.4995,0.9786,3440.96,85.0,72.26,854.35,0
RB0014,2026-02,12,341.7,157.0,0.4595,0.9707,3140.2,85.0,65.94,662.51,0
RB0014,2026-03,13,347.7,183.6,0.528,0.9878,3671.71,85.0,77.11,600.36,0
RB0014,2026-04,14,337.2,174.7,0.5181,0.9578,3493.39,85.0,73.36,588.72,0
RB0014,2026-05,15,341.7,178.4,0.5222,0.9706,3568.29,85.0,74.93,707.44,0
RB0014,2026-06,16,340.9,173.8,0.5097,0.9685,3475.11,85.0,72.98,611.93,1
RB0015,2025-02,0,336.9,47.4,0.1408,0.957,995.89,85.0,19.92,779.16,0
RB0015,2025-03,1,341.7,102.7,0.3006,0.9706,2156.64,85.0,43.13,621.99,0
RB0015,2025-04,2,337.4,147.2,0.4363,0.9586,3091.21,85.0,61.82,769.97,0
RB0015,2025-05,3,339.2,198.7,0.5856,0.9637,4171.7,85.0,83.43,797.03,0
RB0015,2025-06,4,347.6,229.7,0.6608,0.9875,4823.49,85.0,96.47,563.21,0
RB0015,2025-07,5,335.4,200.6,0.5982,0.9527,4212.9,85.0,84.26,597.64,0
RB0015,2025-08,6,335.5,195.9,0.5838,0.9532,4113.57,85.0,82.27,653.86,0
RB0015,2025-09,7,336.2,216.3,0.6435,0.9551,4543.26,85.0,90.87,625.66,0
RB0015,2025-10,8,338.3,192.3,0.5686,0.961,4038.98,85.0,80.78,753.62,0
RB0015,2025-11,9,338.5,205.9,0.6083,0.9617,4323.86,85.0,86.48,774.57,0
RB0015,2025-12,10,335.7,199.5,0.5941,0.9538,4188.64,85.0,83.77,674.95,0
RB0015,2026-01,11,341.9,202.7,0.5927,0.9714,4256.03,85.0,85.12,623.35,0
RB0015,2026-02,12,342.4,218.2,0.6372,0.9727,4581.64,85.0,91.63,505.21,1
RB0015,2026-03,13,341.7,206.4,0.6042,0.9706,4335.02,85.0,86.7,483.95,0
RB0015,2026-04,14,338.3,197.1,0.5825,0.9612,4138.46,85.0,82.77,673.14,0
RB0015,2026-05,15,344.6,199.3,0.5782,0.9791,4184.85,85.0,83.7,446.34,0
RB0015,2026-06,16,340.2,187.1,0.55,0.9665,3929.52,85.0,78.59,694.1,1
RB0016,2025-03,0,348.0,17.4,0.0501,0.9887,331.03,85.0,7.32,915.83,0
RB0016,2025-04,1,339.8,40.7,0.1197,0.9653,772.66,85.0,17.08,1021.13,0
RB0016,2025-05,2,344.2,55.1,0.1601,0.9777,1046.71,85.0,23.14,594.19,0
RB0016,2025-06,3,336.4,81.2,0.2413,0.9557,1542.54,85.0,34.1,885.04,0
RB0016,2025-07,4,340.2,72.8,0.2141,0.9665,1384.08,85.0,30.6,971.04,0
RB0016,2025-08,5,335.9,70.0,0.2084,0.9542,1329.77,85.0,29.39,1008.12,0
RB0016,2025-09,6,334.9,77.3,0.2309,0.9513,1469.15,85.0,32.48,1074.25,0
RB0016,2025-10,7,337.4,78.5,0.2325,0.9585,1490.63,85.0,32.95,594.24,0
RB0016,2025-11,8,347.4,75.4,0.2171,0.9871,1432.98,85.0,31.68,712.7,0
RB0016,2025-12,9,339.9,74.6,0.2195,0.9656,1417.47,85.0,31.33,946.65,1
RB0016,2026-01,10,334.9,80.3,0.2399,0.9514,1526.57,85.0,33.75,692.09,0
RB0016,2026-02,11,342.3,78.8,0.2303,0.9725,1497.79,85.0,33.11,813.76,0
RB0016,2026-03,12,343.2,82.4,0.24,0.9751,1565.34,85.0,34.6,1058.3,0
RB0016,2026-04,13,341.1,76.4,0.2239,0.969,1451.12,85.0,32.08,998.94,0
RB0016,2026-05,14,337.2,75.6,0.2241,0.9579,1435.56,85.0,31.73,708.5,0
RB0016,2026-06,15,338.9,74.1,0.2188,0.9627,1408.7,85.0,31.14,1137.82,0
RB0017,2025-03,0,339.7,37.3,0.1098,0.9651,746.25,85.0,15.67,877.49,0
RB0017,2025-04,1,335.3,76.8,0.2292,0.9526,1536.94,85.0,32.28,573.84,0
RB0017,2025-05,2,344.1,129.2,0.3754,0.9776,2583.65,85.0,54.26,685.27,0
RB0017,2025-06,3,338.4,176.5,0.5215,0.9615,3529.75,85.0,74.12,934.91,0
RB0017,2025-07,4,347.1,159.7,0.4603,0.9859,3194.76,85.0,67.09,797.2,0
RB0017,2025-08,5,337.9,164.5,0.4868,0.9601,3290.07,85.0,69.09,802.75,0
