contract,obligation,ssp,invoice_line,allocated
C-1015,platform,180000.00,163201.92,163201.92
C-1015,support,36000.00,32640.38,32640.38
C-1015,implementation,22500.00,20400.24,20400.24
C-1015,usage_credits,90000.00,81600.96,81600.97
C-1016,platform,900000.00,802231.31,764743.86
C-1016,support,180000.00,160446.26,152948.77
C-1016,implementation,75000.00,0.00,63728.66
C-1016,usage_credits,450000.00,401115.65,382371.93
C-1017,platform,60000.00,51377.14,51377.14
C-1017,support,12000.00,10275.43,10275.43
C-1017,implementation,15000.00,12844.28,12844.28
C-1017,usage_credits,30000.00,25688.57,25688.57
C-1018,platform,180000.00,152477.68,152477.68
C-1018,support,36000.00,30495.54,30495.54
C-1018,implementation,45000.00,38119.42,38119.42
C-1018,usage_credits,90000.00,76238.84,76238.84
C-1019,platform,60000.00,54297.29,47336.10
C-1019,support,12000.00,10859.46,9467.22
C-1019,implementation,15000.00,0.00,11834.02
C-1019,usage_credits,30000.00,27148.64,23668.05
C-1020,platform,180000.00,159737.65,159737.65
C-1020,support,36000.00,31947.53,31947.53
C-1020,implementation,22500.00,19967.21,19967.21
C-1020,usage_credits,90000.00,79868.83,79868.83
C-1021,platform,120000.00,93633.79,93633.79
C-1021,support,24000.00,18726.76,18726.76
C-1021,implementation,15000.00,11704.22,11704.22
C-1021,usage_credits,60000.00,46816.90,46816.90
C-1022,platform,360000.00,317818.74,302967.39
C-1022,support,72000.00,63563.75,60593.48
C-1022,implementation,30000.00,0.00,25247.28
C-1022,usage_credits,180000.00,158909.37,151483.70
C-1023,platform,270000.00,214533.95,214533.95
C-1023,support,54000.00,42906.79,42906.79
C-1023,implementation,22500.00,17877.83,17877.83
C-1023,usage_credits,135000.00,107266.98,107266.98
C-1024,platform,360000.00,295544.07,295544.07
C-1024,support,72000.00,59108.81,59108.81
C-1024,implementation,30000.00,24628.67,24628.67
C-1024,usage_credits,180000.00,147772.03,147772.04
C-1025,platform,180000.00,183758.89,160200.06
C-1025,support,36000.00,36751.78,32040.01
C-1025,implementation,45000.00,0.00,40050.02
C-1025,usage_credits,90000.00,91879.45,80100.03
C-1026,platform,180000.00,148933.67,148933.67
C-1026,support,36000.00,29786.73,29786.73
C-1026,implementation,22500.00,18616.71,18616.71
C-1026,usage_credits,90000.00,74466.83,74466.83
C-1027,platform,60000.00,53241.87,53241.87
C-1027,support,12000.00,10648.37,10648.37
C-1027,implementation,15000.00,13310.47,13310.47
C-1027,usage_credits,30000.00,26620.94,26620.94
C-1028,platform,360000.00,320377.82,298434.13
C-1028,support,72000.00,64075.56,59686.83
C-1028,implementation,45000.00,0.00,37304.27
C-1028,usage_credits,180000.00,160188.91,149217.06
C-1029,platform,240000.00,203386.60,203386.60
C-1029,support,48000.00,40677.32,40677.32
C-1029,implementation,30000.00,25423.32,25423.32
C-1029,usage_credits,120000.00,101693.30,101693.30
C-1030,platform,180000.00,165209.97,165209.97
C-1030,support,36000.00,33041.99,33041.99
C-1030,implementation,15000.00,13767.50,13767.50
C-1030,usage_credits,90000.00,82604.99,82604.99
C-1031,platform,120000.00,107385.99,100030.78
C-1031,support,24000.00,21477.20,20006.16
C-1031,implementation,15000.00,0.00,12503.85
C-1031,usage_credits,60000.00,53692.99,50015.39
C-1032,platform,540000.00,440598.83,440598.83
C-1032,support,108000.00,88119.77,88119.77
C-1032,implementation,45000.00,36716.57,36716.57
C-1032,usage_credits,270000.00,220299.41,220299.41
C-1033,platform,600000.00,504453.46,504453.46
C-1033,support,120000.00,100890.69,100890.69
C-1033,implementation,75000.00,63056.68,63056.68
C-1033,usage_credits,300000.00,252226.73,252226.73
C-1034,platform,180000.00,157358.08,146580.13
C-1034,support,36000.00,31471.62,29316.03
C-1034,implementation,22500.00,0.00,18322.52
C-1034,usage_credits,90000.00,78679.04,73290.06
C-1035,platform,360000.00,316103.97,316103.97
C-1035,support,72000.00,63220.79,63220.79
C-1035,implementation,45000.00,39513.00,39513.00
C-1035,usage_credits,180000.00,158051.98,158051.98
C-1036,platform,540000.00,476235.68,476235.68
C-1036,support,108000.00,95247.14,95247.14
C-1036,implementation,45000.00,39686.31,39686.31
C-1036,usage_credits,270000.00,238117.84,238117.84
C-1037,platform,60000.00,54266.88,47309.58
C-1037,support,12000.00,10853.38,9461.92
C-1037,implementation,15000.00,0.00,11827.40
C-1037,usage_credits,30000.00,27133.44,23654.79
C-1038,platform,360000.00,289615.56,289615.56
C-1038,support,72000.00,57923.11,57923.11
C-1038,implementation,30000.00,24134.63,24134.63
C-1038,usage_credits,180000.00,144807.78,144807.79
C-1039,platform,240000.00,211289.52,211289.52
C-1039,support,48000.00,42257.90,42257.90
C-1039,implementation,30000.00,26411.19,26411.19
C-1039,usage_credits,120000.00,105644.76,105644.77
C-1040,platform,360000.00,321460.74,299442.88
C-1040,support,72000.00,64292.15,59888.58
C-1040,implementation,45000.00,0.00,37430.36
C-1040,usage_credits,180000.00,160730.37,149721.44
